query,query_coords,top5RBP,top5RBP_adjpval,top5RBP_pval,top5hitpct,top5rpm,top5fc,hit_totalcount,transcript_totalcount,medlen,AARS,AATF,ABCF1,ADAT1,AGGF1,AKAP1,AKAP8L,APEX1,APOBEC3C,AQR,BUD13,CPEB4,CPSF6,CSTF2T,DDX1,DDX21,DDX24,DDX3X,DDX42,DDX43,DDX47,DDX51,DDX52,DDX55,DDX6,DGCR8,DHX30,DROSHA,EEF2,EFTUD2,EIF3G,EIF4E,EIF4G2,ELAC2,ELAVL1,EWSR1,EXOSC10,EXOSC5,FAM120A,FASTKD2,FMR1,FTO,FUS,FXR1,FXR2,GARS,GEMIN5,GNL3,GPKOW,GRWD1,GTF2F1,HLTF,HNRNPA1,HNRNPC,HNRNPK,HNRNPL,HNRNPM,HNRNPUL1,HNRNPU,IGF2BP1,IGF2BP2,ILF3,KHDRBS1,KHSRP,LARP4,LARP7,LIN28B,LSM11,MATR3,MBNL1,METAP2,METTL1,MORC2,MTPAP,NCBP2,NIPBL,NOLC1,NONO,NPM1,NSUN2,PABPC4,PCBP1,PHF6,PPIL4,PRPF8,PTBP1,PUM1,PUM2,PUS1,QKI,RBFOX2,RBM15,RBM22,RNF187,RPS10,RPS11,RPS3,RPS6,RYBP,SAFB2,SAFB,SBDS,SDAD1,SERBP1,SF3B1,SF3B4,SLBP,SLTM,SMNDC1,SND1,SRSF1,SRSF7,SRSF9,SSB,SUPV3L1,TAF15,TARDBP,TBRG4,TIA1,TRA2A,TROVE2,U2AF1,U2AF2,UCHL5,UPF1,UTP18,UTP3,WDR3,WDR43,WRN,XRCC6,XRN2,YBX3,YWHAG,ZC3H11A,ZC3H8,ZNF622,ZNF800,ZRANB2
XISTint1,XIST_int1_0_316,RBM15;UCHL5;RBM22;YWHAG;HNRNPC,1;1;1;1;0,1;0.883611577;0.994850752;1;0,0.2,675.8217;302.3825;145.4243;71.7449;50.8328,152.1633;68.6349;33.5275;17.0474;12.37,110765,4860,114,1,1,1,3.73154882473415e-51,0.999999998,1,1,1,1,1,1,1.58874851547661e-06,1,1,1,1,0.005865565,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,4.14042452470119e-159,1,1,1,1,1,1,1,1,1,1,1.04972332228924e-60,0.999944715,1,1.2396308077873e-06,1,0,1,7.52255647887139e-07,1,1,1,1.75184107794689e-07,1,1,5.3919433506136e-20,0,0.999999466,1,0.593908793,1,0,1,1,1,0.999626799,1,1,1,1,1,0.999984693,0.593867212,1,1,1,1,1,3.41566297495614e-127,1,1.92277055293332e-08,1,1.59836536033306e-75,1,1,0.994850752,1,1,1,1,1,1,1,1,1,1,1,0.999999997,1,1,1,1,0.268720382,1,1,1,1,1,1,1,1,0.24252251,1,0.86216075,2.0417203454326e-15,2.8435163088905e-201,0.883611577,1,1,1,1,1,1,0.998943953,1,1,1,1,1,0.533712304,1,1
XISTrA,XIST_rA_316_743,RBM15;NIPBL;UCHL5;SDAD1;SRSF1,0.001184435;0.23394712375;0.943899947;9.4426400970868e-10;0.23394712375,0.000473774;0.152693367;0.943899947;1.88852801941736e-10;0.187157699,0.4,2302.9227;319.9974;282.7897;260.8828;200.6509,224.931;32.1158;28.4978;26.3677;20.5108,14861,3616,123,0.49472997,4.78111096636829e-13,0.052650236,8.55660305844117e-99,0.523394042,2.81358357855765e-08,0.003890576,1.63185466139676e-17,0.890600668,0.990255466,0.37702015,0.003472405,0.96737781,0.929011302,3.16871880081958e-05,0.022674762,0.131064186,1.05650134712803e-12,0.162578233,0.610697353,2.94212544323347e-09,1.88261070017782e-08,6.72925595191265e-18,0.929290207,0.042262316,0.005311406,6.79611597080317e-16,3.63863277423058e-12,2.00859936466597e-10,0.66271855,2.50206255860542e-06,6.08540425729568e-16,0.892789097,1.19787380492042e-14,0,0.853726507,0.05132016,2.25853457707063e-103,0.603922242,0.649414174,1.15522463010133e-09,0.000567012,1,0.00010875,1.64105413010137e-09,0.000800134,2.03198948682105e-33,0.126573556,0.000169731,0.990012555,0.838950994,0.999737017,1,5.12345921920063e-98,9.07037930467754e-15,1,8.55494158118558e-32,0.999999983,1,0.744397682,0.0106047,1,1,3.43108933150728e-66,0.906456296,3.35135764109096e-08,0.937063164,0.997901869,1.35876517946203e-226,0.166205788,0.074174043,1,1.23387581116219e-54,0.000404312,3.44836672404136e-20,0.152693367,0.677422501,2.24281072840194e-05,0.244976154,3.09169648397418e-05,0.774252412,4.27892988684655e-09,8.94129345173472e-07,0.999997413,0.31012547,5.54707755490792e-151,0.022600904,0.372389444,1.24935623460225e-06,9.29460074652935e-05,0.248747563,0.000473774,0.043080934,1,0.00399661,0.000780949,0.039495648,0.040915967,0.998014596,1,1,0.000211796,1.88852801941736e-10,6.33379551055406e-09,0.024337656,0.985932412,0.409596395,0.999929532,0.187113716,0.003747445,0.187157699,0.663508937,4.46832073164663e-07,2.7005822152692e-13,0.725368452,1,0.000642342,0.08546722,4.70578002918804e-73,0.985330242,1.35745218374498e-05,8.63511495190689e-64,4.35192248001388e-99,0.943899947,0.962340544,0.341254052,0.02466891,0.395689845,0.967179323,5.2481324773342e-06,0.001296869,0.000160208,0.870939397,0.996618318,0.988249734,0.993703222,0.490054048,0.329820419,4.9328891538617e-11
XISTrF,XIST_rF_743_1807,HNRNPM;RBM15;EXOSC5;UCHL5;FXR2,0;8.55654436576273e-08;1.91598647124411e-238;5.2559719956357e-27;4.59122282824523e-40,0;8.55654436576273e-08;7.66394588497646e-239;4.20477759650856e-27;2.75473369694714e-40,1,2292.1648;1570.2157;1478.4924;1338.911;547.3371,82.0025;56.4896;53.2482;48.3156;20.3423,15302,4079,263,1.32842551026336e-63,3.34705707152635e-65,0.002749412,1.40025067699449e-174,1.62017339824071e-08,0.003588873,1.75973192676333e-76,4.07162661555077e-16,1.28759308896031e-18,7.2228002654493e-27,2.85066909225558e-18,5.08759871230712e-05,8.09423975528354e-44,2.75682216853084e-128,1.26473253459523e-87,9.9051644305488e-25,5.85102261116663e-12,7.44936966640004e-31,1.41658561385934e-69,6.01803997349382e-26,2.0597209986129e-53,8.45612866812764e-71,3.15564314718122e-65,1.14522878415073e-07,1.29894003145496e-66,2.11683451898572e-18,4.67258901258473e-74,9.23956505512778e-129,4.5692688594896e-19,2.45574756658668e-76,5.32932833519656e-35,1.25045695289934e-13,1.140566270293e-84,6.72109157009162e-189,0.9965347,2.2696835922636e-107,2.18563664895748e-31,7.66394588497646e-239,7.05196576636341e-24,1.18252411674936e-93,3.02974220277178e-24,1.84251790827052e-105,7.27950465808597e-154,8.62692272616842e-13,2.75473369694714e-40,1.16526107817865e-11,3.49933346916285e-52,1.60008518777999e-19,2.74382164861198e-73,5.23287645118018e-14,1.29798847048754e-171,1.68404810192402e-20,1.35991997414207e-264,0.995446976,1,1,0,1.14656926227241e-127,3.5050673144659e-268,1.68692408948045e-05,4.02116220341276e-08,0.000538924,0.999993199,3.04471924618643e-28,2.51640459536795e-51,3.13784414948773e-26,9.56628906395449e-15,4.21616943168019e-22,0.982832113,0.016007758,2.9016459306292e-15,1.06358576654854e-62,6.11885891631062e-181,3.21485616282532e-31,6.89435669738608e-43,4.15690911332991e-12,6.30768326535492e-20,6.07070416194385e-77,3.61928822170508e-21,1.08888609751728e-10,0.033238978,0.245132627,9.74911407897421e-30,2.25538742513299e-30,7.96962875638983e-32,0.955069675,6.15592911917363e-07,2.07662352462133e-05,5.4989324395366e-16,0.999957646,2.58311482583154e-117,8.55654436576273e-08,2.20201825194948e-09,0.0160295,3.70474486186471e-21,5.76914308778893e-11,2.51581458477003e-15,6.05776789417611e-20,0.008617864,2.19353755577994e-186,3.31204918396609e-33,1.55590874365723e-11,0.015352116,0.135342384,6.02926302729321e-59,5.26304839322694e-18,1.53111501607082e-17,8.44808258824274e-64,2.60183478820916e-37,3.32490338039697e-10,1.51397451573584e-33,8.09143876325395e-27,3.42974618923851e-15,0.003045234,2.40234720051288e-26,6.35697770729748e-254,6.58328526780662e-105,1.04369731854392e-97,8.50804790388979e-44,3.99893596179714e-33,5.07782753130731e-48,2.75630947526027e-21,0.001940597,4.20477759650856e-27,7.1709040831391e-06,5.9613052434101e-19,2.80379149290246e-28,8.70274741606975e-34,5.94746279756494e-19,2.26898656901853e-69,9.81236592524847e-40,3.4686553526485e-68,0.612743305,2.32599377964837e-21,2.33598075001696e-52,5.0443468118177e-47,5.23876056680521e-11,5.03404290907339e-09,1.77306750714223e-80
XISTint2,XIST_int2_1807_1951,EXOSC5;HNRNPM;TIA1;HNRNPK;UCHL5,0.000114681850374906;6.13008990256775e-59;1.19831001379109e-102;0;0.456020699,9.17454802999249e-05;3.67805394154065e-59;4.79324005516436e-103;0;0.456020699,0.8,199.972;106.2703;77.4418;65.1659;58.32,48.5402;26.2641;19.4106;16.4922;14.8646,46445,5477,48,0.01496914,5.94078970218879e-07,1.2795375997839e-15,2.95470420090075e-13,0.983756872,1.45040109319689e-18,1.80693381416187e-09,2.87873723338452e-34,1.34612532498248e-08,1.05811712959388e-14,5.08191587913308e-13,0.979682559,0.803113387,6.5642556971362e-21,2.86609348271807e-35,4.15386691215448e-08,7.44700892309879e-11,4.73093858110934e-14,4.1651069866547e-12,2.54008850282574e-10,6.15823195206605e-26,6.98668397751023e-22,2.63904181611959e-49,7.32996554963192e-27,9.68547950369963e-06,3.36891022862746e-32,2.54124793285923e-11,1.93072271909471e-25,4.3361128572663e-16,0.000250412,0.000471293,1.23069649305753e-16,8.33889179977805e-17,1.07275219398857e-08,7.75743416986801e-30,2.63709375905405e-26,0.000126053,9.17454802999249e-05,0.002206769,0.999999764,2.9064653132886e-28,4.33169512314492e-06,0.404800134,4.49112407407347e-23,1.58009837664043e-30,3.64039354412244e-12,2.2384679081705e-24,0.150287551,0.648174175,0.152367201,2.59181395363239e-11,1,1,8.9135496262498e-175,0,0.999996728,3.67805394154065e-59,0.575474715,0.999999984,0.345531613,2.07880635428309e-15,4.54906918333974e-112,1,0.981007805,0.999996091,1.37529985005883e-11,0.414436439,5.70304370757827e-12,6.10973616307631e-188,8.88088735072984e-18,3.1508120345704e-23,1,3.85289174334113e-08,2.29651198216928e-11,7.86196544324006e-20,0.278526086,1.19296207421949e-10,2.65271058878832e-99,0.031821201,0.020318543,8.38231613541834e-11,3.45759658028154e-100,8.42165035096451e-33,0.854002388,8.45423783552895e-36,5.48109712410586e-91,5.45790906035505e-10,0.007875946,7.07093358471431e-09,0.494406651,9.7438662061642e-06,0.487070899,1.03803264031843e-06,1,1.53675971187137e-20,2.81071411488902e-13,1.38693471228631e-07,9.95942659659334e-48,0.215757398,1,0.99712557,4.74032911830804e-07,1.1740750584228e-07,0.000230004,0.023022308,9.32998914762998e-09,0.120955032,0.001108071,7.71374290202942e-22,1.47321506369077e-21,2.97819722004409e-32,0.079990882,5.06307151995034e-14,0.041738326,0.353371441,1,2.22321248048381e-20,4.05575953359166e-05,4.79324005516436e-103,0.004599923,2.88178662653257e-15,1.01063555379705e-31,1.070926789836e-28,0.456020699,2.37405962283742e-09,0.000237642,2.10237820405364e-06,0.573115541,0.521992588,8.87246679339378e-19,1.15485636515386e-13,8.86386086156329e-35,6.67828331407995e-09,5.08549073292549e-05,0.352320749,0.624533419,1.91721547800718e-05,6.46926646477413e-07,8.22025342554478e-14
XISTrB1,XIST_rB1_1951_2041,HNRNPK;ILF3;CSTF2T;PCBP1;DROSHA,0;0.52187632;7.96587504025783e-40;5.57814308311712e-129;3.67898314579151e-20,0;0.52187632;4.7795250241547e-40;2.23125723324685e-129;2.94318651663321e-20,0.8,41.2885;17.5834;10.6802;8.2477;6.8758,145.9918;62.747;38.5053;29.9633;25.1457,13189,4262,37,0.073229078,7.24128695202051e-18,1.23661444014979e-53,0.000499041,0.598445033,1.13504283578552e-40,3.70748287319648e-07,2.04670978062231e-53,1.34243928026802e-06,6.38523286849344e-18,0.944328721,0.899806261,0.99877881,4.7795250241547e-40,3.67023069704711e-84,3.76932776278632e-14,0.99999446,3.91825322751786e-18,3.89275409564257e-63,0.000346003,3.37987380942855e-42,2.65462423378352e-50,3.26657646881484e-29,8.00151562644809e-37,2.96115863311206e-06,4.71962314689548e-27,1.8755417644235e-50,2.94318651663321e-20,8.01218959067855e-52,0.007200098,1.19713225963214e-10,4.89015894461347e-71,6.01948208761246e-40,6.1019473868382e-39,1,1.59049042779725e-42,0.091019411,1,2.63601295576884e-05,0.945692624,2.73112282431873e-23,0.009294066,0.035801855,3.01379773909093e-30,5.57623611757676e-52,2.06273945482624e-20,4.35729872638452e-50,0.019984334,1,1,1.80834344333027e-17,1,1,1,0,0.905940704,0.681513621,0.924444491,1,0.999999923,8.22341921645856e-53,0.52187632,1,1,0.999895816,9.18581716821324e-54,1,5.30505197060216e-17,0.999972673,2.28094206287028e-39,2.31116560989946e-29,1,3.29439337693308e-28,0.000762295,1.58942768106503e-25,1.8632431531063e-07,0.00049389,1.45800017694448e-53,0.322822443,0.278305324,1.2732959565835e-10,2.23125723324685e-129,4.25813448540805e-58,0.999999906,2.88546457584294e-10,0.001934318,1.40552917443083e-08,0.999894759,1.24149691882261e-11,0.422087634,1,6.26984302737492e-08,0.001730482,0.125413214,1.53520595673322e-15,2.42114268797514e-29,2.23981660252575e-16,4.31581640741149e-73,2.26044794446553e-22,1,0.999999999,3.5858137968578e-13,6.41604924290198e-56,2.48497677910022e-36,1.67923740751959e-07,0.161299764,0.00110656,4.85206027059889e-82,8.36476538434648e-10,0.999947628,9.15496078916344e-19,0.257915477,4.56176053411377e-95,3.22690938358083e-19,0.01207889,1,1.07827974995925e-22,0.05350658,1.56983482316575e-39,0.410034275,0.051826384,2.61452247385466e-09,0.385127436,1,0.761635633,2.48112123193888e-13,1.41628712696672e-12,6.64741574004297e-09,0.0039709,6.21891917215154e-13,0.999996375,3.85629558798141e-99,3.96880083071217e-05,4.58790980144021e-12,0.562396981,0.037591128,0.99999965,4.78704896826339e-05,5.17576461420166e-19
XISTint3,XIST_int3_2041_2781,HNRNPM;HNRNPK;KHSRP;EXOSC5;ILF3,1;1;0;0;1,0.999999326;1;0;0;1,0.4,306.4245;179.9498;118.3448;85.7545;85.3208,30.5043;18.3266;12.3949;9.2569;9.2152,146856,4929,386,1,1,1,0.871515664,1,1,1,1,1,1,1,5.24207340248866e-28,1,1,1,1,0.996161412,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,6.89513857610966e-138,1,1,0.004025883,1,3.22122541953285e-294,1,5.99095654776439e-254,0.999999326,1,1,2.27763552686987e-45,1,1,8.25734157786673e-82,0,1,1,1.81098328355348e-14,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.67974309443436e-116,1,0,1,1,3.50323375965739e-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.085566288,1,1,1,1,1,1,1,1,1,1,1,0.299856217,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.980544565,1,1
XISTrB2,XIST_rB2_2781_2919,HNRNPK;DROSHA;DDX42;PUM1;DDX47,0;3.49358203894814e-45;1.22204285092861e-69;5.80023946736418e-08;6.23447098426807e-67,0;2.79486563115851e-45;4.88817140371443e-70;5.80023946736418e-08;3.74068259056084e-67,1,350.6136;58.5477;16.1884;14.9146;9.4526,100.8688;17.6767;5.6111;5.2483;3.6925,9311,3692,38,0.017949277,2.86039182358471e-30,1.012772149844e-54,2.11528414456163e-13,0.999999983,1.78801775905317e-63,1.19640480229034e-08,8.41789513278171e-86,8.19687340173935e-05,2.84060605455373e-27,0.999999997,0.092177668,1,4.01526124840808e-46,1.36994719379248e-128,2.12943467758688e-15,1,3.49621475467563e-34,4.88817140371443e-70,0.820128781,3.74068259056084e-67,3.92937065031347e-72,2.97191112642331e-34,6.97390849906157e-29,6.6747721378576e-10,1.40952542952638e-29,1.04710331772122e-75,2.79486563115851e-45,2.30627736454836e-71,0.000128856,5.14154366793894e-08,9.3586930406975e-134,5.68520355817361e-42,1.9708403395335e-80,1,2.5691492081435e-63,0.980393181,1,0.007809801,0.982424793,4.54732822994735e-25,7.66597366733926e-05,8.7077791385338e-12,8.08337812313358e-26,8.57751023754679e-64,6.72255000619993e-25,2.04370002367136e-85,0.963767184,1,1,1.14098822256477e-21,1,1,1,0,1,0.0261082,0.995714094,1,1,2.07849962863906e-30,0.781542088,1,1,0.999798483,2.22084218265165e-66,1,1.10800338402609e-13,0.868544605,9.07112618133776e-51,1.91760862016038e-26,1,1.73543647059404e-58,0.060203184,1.09624478197097e-34,4.77325203915601e-13,0.005417779,8.26607157205276e-66,0.997872283,0.004870963,4.741172281229e-12,2.06532067662074e-140,1.5730880405187e-52,1,3.71046645963929e-13,0.209337314,5.80023946736418e-08,0.999999453,5.68400273764569e-08,0.999951955,1,4.06548537137521e-06,0.030307273,0.788215953,1.39561774280325e-25,8.86583251818468e-32,2.45640108608824e-07,6.37244102028016e-62,4.25748656136649e-30,1,1,5.43366022074393e-12,4.89378492512358e-88,1.20878112563035e-45,1.55165229464275e-05,0.00236189,0.021960965,1.14953434409655e-78,2.87082992826386e-08,1,1.60842984741488e-18,0.999999591,3.15100842485776e-135,9.63612528174471e-29,0.005331854,1,3.8783248529662e-31,0.24106182,8.56503927610503e-66,0.999323265,0.949772362,0.000154246,0.999999529,1,0.014136359,2.40234499204792e-16,8.74313381912335e-18,8.26057592515826e-08,0.335665164,1.25003815116296e-16,0.999991229,1.35234237326647e-143,0.916826898,2.02900246781726e-07,0.215008616,0.519025939,1,3.6684935034648e-07,3.05421817748568e-23
XISTint4,XIST_int4_2919_4516,HNRNPK;HNRNPU;DDX42;DROSHA;ILF3,1;1;1;1;1,1;1;1;1;1,0,687.9125;224.6321;39.2311;38.9086;36.5675,29.2588;10.2277;2.6116;2.5983;2.5022,130479,4903,390,1,1,1,1,1,1,1,1,1,1,1,0.946398167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,9.15787215348005e-185,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,9.54830239426034e-11,1,1,5.65315726349043e-305,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.60550727017225e-59,1,1.73460291805525e-14,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.81523782077057e-120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
XISTint5,XIST_int5_4516_6113,HNRNPU;HNRNPK;LIN28B;HNRNPL;HNRNPA1,1;1;1;0;1,1;1;1;0;1,0.2,173.9745;123.8782;108.0825;55.7087;54.2986,8.5213;6.3555;5.6726;3.4084;3.3474,138802,4984,544,1,1,1,1,1,1,1,1,1,1,1,0.00911888,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2.22503669519534e-73,1,1,1,1,1,1,1,1,1,1,0.366819201,1,1,1,1,9.27432027037436e-08,1,0,1,1,1,7.25939813702152e-06,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.655084139,1,1.69307457291353e-27,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.73770884600833e-173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
XISTrD,XIST_rD_6113_8140,HNRNPK;HNRNPU;DDX42;HNRNPL;HNRNPA1,0;1;0.0110478333333333;1.55888741186982e-52;1,0;1;0.0066287;6.23554964747929e-53;1,0.6,1372.0742;274.1589;132.548;117.404;69.279,47.4764;10.2866;5.4898;4.9768;3.3467,7121,2923,245,0.99999989,0.818605719,0.059602703,0.218390051,0.000292938,3.33091823394322e-06,0.117450062,8.42538620337034e-06,0.167674236,0.591322552,0.999984382,0.999999895,0.999999999,1.0191910252596e-11,3.27991728952733e-09,0.866094528,0.830078063,0.99981707,0.0066287,0.99986397,0.017916901,0.013889527,0.000187728,3.34811343476376e-10,0.767400011,1.65617285697452e-06,0.018132012,0.625925239,0.358479904,0.999235339,0.999564002,0.916530868,0.038550218,0.91703216,0.514068858,3.18732031146492e-05,0.99999999,0.999997401,0.740790568,1,0.924807052,1,1,0.133153373,0.590973198,0.780628695,0.012847489,0.999317646,1,1,4.03276840617367e-13,1,1,0.99999996,0,6.23554964747929e-53,0.999999836,0.999982781,1,0.010273653,4.84606584497399e-06,3.57717888952205e-36,1,0.999997973,1,0.19323248,1,0.23661981,1.49814057779507e-123,1.12587759651538e-06,0.035023393,1,0.18991162,0.918748874,0.458998961,1,0.273451516,2.91724706505194e-13,0.996506946,0.651105683,0.005417536,1.3880468909001e-62,5.78345832032518e-05,1,0.49475725,4.68769489543208e-126,0.973036898,0.84236386,0.029386013,0.032860405,0.088942285,0.999999894,0.769495377,1,0.597061315,0.023493239,0.878695912,0.000317063,0.999709212,1,1,0.924675281,0.463956495,0.413867628,0.997617283,0.862753489,0.655201464,0.991774826,0.002408366,0.001368211,0.925331986,1,0.14555627,0.97063034,0.929444681,1,1.4751805924134e-09,0.997940074,1.2530495541844e-12,1,0.047381191,0.000227418,1.93489839260696e-20,1,0.006673967,0.980003233,0.962863309,0.99955882,0.999998228,0.648509259,1,1.89142848925123e-06,0.047056537,0.933298247,0.99999959,0.999950652,0.99999999,0.999995468,0.100368613
