K=4,,,,,,,
,,p0.05_pval,p0.05_totaln,p0.01_pval,p0.01_totaln,p0.001_pval,p0.001_totaln
XrA,RBM15_SRSF1,0.3294713,14861,0.4156289,632,0.5,1
XrE,PTBP1_MATRN3_TIA1,< 2.2e-230,46013,< 2.2e-230,26740,1.23E-55,220
M1,TRA2A_KHDRBS1,1.15E-229,39992,3.49E-157,22473,0.2413793,15
M3,U2AF1_U2AF2,6.26E-19,133433,6.84E-47,25732,0.5,1
M6,U2AF1_U2AF2,0.6783675,154322,1.29E-10,64695,0.01298865,49
,,,,,,,
,,,,,,,
K=5,,,,,,,
,,p0.05_pval,p0.05_totaln,p0.01_pval,p0.01_totaln,p0.001_pval,p0.001_totaln
XrA,RBM15_SRSF1,0.07231199,33224,0.9721481,4881,0.5,1
XrE,PTBP1_MATRN3_TIA1,9.283994e-72,4172,6.915119e-68,3364,1.760049e-29,421
M1,TRA2A_KHDRBS1,< 2.2e-230,101113,1.116272e-233,35686,0.05241698,33
M3,U2AF1_U2AF2,1.223769e-64,125513,3.65404e-30,20225,0.5,1
M6,U2AF1_U2AF2,1.91516e-06,151329,1.496673e-20,44216,0.9090909,6
,,,,,,,
,,,,,,,
K=6,,,,,,,
,,p0.05_pval,p0.05_totaln,p0.01_pval,p0.01_totaln,p0.001_pval,p0.001_totaln
XrA,RBM15_SRSF1,1.731215e-40,13045,2.408084e-05,5384,0.1388374,396
XrE,PTBP1_MATRN3_TIA1,1.27878e-140,34627,1.517357e-189,18643,1.926229e-89,2357
M1,TRA2A_KHDRBS1,< 2.2e-230,86980,1.023026e-251,32589,2.731968e-12,624
M3,U2AF1_U2AF2,5.986673e-21,105688,2.085618e-13,20774,0.6824414,11
M6,U2AF1_U2AF2,0.0737701,117893,0.000558604,32793,0.5,49
