"qchunk","unsplice_3_UTR","unsplice_5_UTR","unsplice_CDS_regions","unsplice_distal_introns","unsplice_exons","unsplice_proximal_introns","unsplice_splice_sites_3","unsplice_splice_sites_5","unsplice_TES_regions","unsplice_TSS_regions"
"MALAT1chk1",1,0.758620689655172,0.991570881226054,0.049808429118774,0.959961685823755,0.992903548225887,0.915708812260536,0.991570881226054,0.99683908045977,0.701149425287356
"MALAT1chk2",1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5
"MALAT1chk3",1,1,1,1,0.5,1,0.5,0.5,1,0.5
"MALAT1chk4",0.921588310658511,0.999901031357192,0.580721929405452,2.17945430730315e-10,0.999765488268959,0.999245654852237,0.994058223492185,0.712534862743601,0.999999999167249,1
"MALAT1chk5",0.958009975273733,0.99999999999944,0.97495017225071,6.96191881183809e-08,0.999999999181893,0.999999966992439,0.999999998962837,0.995063817903898,0.999999999849898,1
"MALAT1chk6",0.950524178459422,0.5,0.343199185450283,0.00466087262385211,0.665314776432067,0.740752535374329,0.419604843925518,0.5,0.999905194353558,0.852616988266029
"MALAT1chk7",1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5
"MALAT1chk8",1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
"MALAT1chk9",1,1,1,1,0.5,0.5,1,0.5,1,1
"NEAT1chk1",0.185783374766738,1.89994945284082e-18,9.23827568851478e-12,0.999999999949828,1.52886445341205e-18,1.9563947886405e-19,3.51096251244658e-21,9.72161100109117e-06,1.39481761463117e-06,5.00811733645084e-25
"NEAT1chk2",1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5
"NEAT1chk3",1,1,1,1,0.5,1,0.5,0.5,0.5,0.5
"NEAT1chk4",0.984737874720924,1,0.995139840720975,2.17732716650241e-15,0.999999999959294,0.999999999545171,0.999999997131408,0.987879304860944,0.999999999999996,1
"NEAT1chk5",1,1,1,1,0.5,1,1,1,0.5,1
"NEAT1chk6",1,1,1,1,0.5,1,1,1,1,1
"NEAT1chk7",1,1,1,2.05880610287247e-253,1,1,1,1,1,1
"NEAT1chk8",0.772727272727273,1,1,0.5,0.727272727272727,0.96969696969697,1,1,0.5,0.772727272727273
"NEAT1chk9",1,1,1,0,1,1,1,1,1,1
"NEAT1chk10",1,1,1,0,1,1,1,1,1,1
"NEAT1chk11",1,1,1,0,1,1,1,1,1,1
"NEAT1chk12",0.999999967945944,0.999999999747903,0.999999999999984,5.57876749629113e-17,1,1,1,0.999999999999988,1,1
"NEAT1chk13",1,1,1,1,1,1,1,1,1,1
"NEAT1chk14",1,1,1,1,0.5,1,1,1,1,1
"NEAT1chk15",1,1,1,1.27601595436748e-54,1,1,1,1,1,1
"NEAT1chk16",1,1,1,0,1,1,1,1,1,1
"NEAT1chk18",1,1,1,1,0.5,1,1,1,1,1
"NEAT1chk19",1,1,1,1,0.5,1,1,1,1,1
"NEAT1chk20",1,1,1,1,0.5,1,1,1,1,0.5
"NEAT1chk21",1,1,1,1,0.5,1,1,1,0.5,0.5
"NEAT1chk22",0.00010466314813957,6.30984809281703e-05,6.51547795415497e-10,0.999999665112435,2.45051861208736e-08,4.35695000748305e-11,1.64670798652901e-10,1.02482425335451e-08,4.39632395864421e-06,3.1454617653466e-12
"XISTint1",1,1,1,1,0.5,1,1,1,1,0.5
"XISTint2",1,1,1,1,0.5,0.5,0.5,1,1,0.5
"XISTint3",1,1,1,1,1,0.5,0.5,1,1,1
"XISTint4",0.951111111111111,1,0.999033816425121,0.111111111111111,0.990846681922197,0.997787948131198,0.997101449275362,0.997101449275362,0.997101449275362,0.983574879227053
"XISTint5",1,1,1,1,1,0.985714285714286,1,0.928571428571429,0.928571428571429,1
"XISTint6",0.944019138755981,1,0.9977607726308,0.0259170653907496,0.965003845777572,0.99717990001536,0.9977607726308,0.999059524504936,0.994050052990412,0.94866281994215
"XISTint7",1,1,1,1,0.5,0.5,0.833333333333333,1,1,0.5
"XISTint8",1,1,1,0.5,1,1,1,0.5,1,1
"XISTint10",1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5
"XISTint11",1,1,1,1.28486175903837e-192,1,1,1,1,1,1
"XISTint12",1,1,1,8.05401334460594e-185,1,1,1,1,1,1
"XISTint13",0.99999805270159,1,0.999999997743482,8.4247269585363e-44,1,1,1,0.99999363110493,1,1
"XISTint14",1,1,1,7.68424420392968e-209,1,1,1,1,1,1
"XISTrA",1,1,1,1,0.5,1,1,1,1,0.5
"XISTrB1",0.0331294324654642,0.193539431995941,0.0324738391093086,0.999998169534681,0.00014052539790137,0.029313044904918,0.154620780092522,0.000468128017460047,1.26381046867789e-05,4.7391306018474e-06
"XISTrB2",0.0889976789681762,0.185083877376684,0.247084435519384,0.999991831491903,0.00666965530849971,0.0141199708629957,0.0714622865902447,0.390736000750482,0.0694339851341008,0.00361716878472641
"XISTrD",1,1,1,1,0.5,1,1,1,1,0.5
"XISTrE",0.996286176212869,0.994199185662168,0.999999997372585,0.00338551951602609,0.999993950871653,0.997736995036077,0.99998365410607,0.999633394909334,0.999755845830458,0.997622264459489
"XISTrF",1,1,1,1,0.5,0.5,0.5,1,1,0.5
