"qchunk","unsplice_3_UTR_adjp","unsplice_5_UTR_adjp","unsplice_CDS_regions_adjp","unsplice_distal_introns_adjp","unsplice_exons_adjp","unsplice_proximal_introns_adjp","unsplice_splice_sites_3_adjp","unsplice_splice_sites_5_adjp","unsplice_TES_regions_adjp","unsplice_TSS_regions_adjp"
"MALAT1chk1",1,1,1,3.10252485524279e-09,1,1,1,1,1,1
"MALAT1chk2",1,1,1,1,1,1,1,1,1,1
"MALAT1chk3",1,1,1,0.433673469387755,1,1,1,1,1,1
"MALAT1chk4",1,1,1,5.2438315582139e-19,1,1,1,1,1,1
"MALAT1chk5",1,1,1,0.0156212761750526,1,1,1,1,1,1
"MALAT1chk6",1,1,1,0.00416845698059862,1,1,1,1,1,1
"MALAT1chk7",1,1,1,1,1,1,1,1,1,1
"MALAT1chk8",1,1,1,1,1,1,1,1,1,1
"MALAT1chk9",1,1,1,4.3556612732952e-11,1,1,1,1,1,1
"NEAT1chk1",0.000621680964126244,2.12023537502908e-143,9.96949232355723e-76,1,6.27075585694607e-135,1.33324214627795e-118,1.23482578530275e-166,3.07670481856791e-32,1.00168703334566e-26,2.39172783273208e-181
"NEAT1chk2",1,1,1,1,1,1,1,1,1,1
"NEAT1chk3",1,1,1,1,1,1,1,1,1,1
"NEAT1chk4",1,1,1,4.03649541742632e-15,1,1,1,1,1,1
"NEAT1chk5",1,1,1,1,1,0.344914791657907,1,1,1,0.510906342569427
"NEAT1chk6",1,1,1,1,1,1,1,1,1,1
"NEAT1chk7",1,1,1,2.46464615646087e-168,1,1,1,1,1,1
"NEAT1chk8",1,1,1,1,1,1,1,1,1,1
"NEAT1chk9",1,1,1,0,1,1,1,1,1,1
"NEAT1chk10",1,1,1,0,1,1,1,1,1,1
"NEAT1chk11",1,1,1,0,1,1,1,1,1,1
"NEAT1chk12",1,1,1,4.01867752602006e-27,1,1,1,1,1,1
"NEAT1chk13",1,1,1,1,1,1,1,1,1,1
"NEAT1chk14",1,1,1,1,1,1,1,1,1,1
"NEAT1chk15",1,1,1,4.86130991347805e-77,1,1,1,1,1,1
"NEAT1chk16",1,1,1,7.38057784673763e-238,1,1,1,1,1,1
"NEAT1chk17",1,1,1,2.75344955483734e-21,1,1,1,1,1,1
"NEAT1chk18",1,1,1,7.83158184495174e-18,1,1,1,1,1,1
"NEAT1chk19",1,1,1,1,1,1,1,1,1,1
"NEAT1chk20",1,1,1,7.33699437634411e-07,1,1,1,1,1,1
"NEAT1chk21",1,1,1,0.796875,1,1,1,1,1,1
"NEAT1chk22",1,1,0.0852070478282656,1,0.770227006915627,0.383178780028066,0.340641312492892,1,0.0182983807423272,0.258860100232002
"XISTint1",1,1,1,0.0165664626601233,1,1,1,1,1,1
"XISTint2",1,1,1,1,0.344663446944758,0.344914791657907,1,1,0.0989390141377455,0.526882881283119
"XISTint3",1,1,1,2.6909127099582e-06,1,1,1,1,1,1
"XISTint4",1,1,1,0.384846384846385,1,1,1,1,1,1
"XISTint5",1,1,1,0.796875,1,1,1,1,1,1
"XISTint6",1,1,1,0.106440071556351,1,1,1,1,1,1
"XISTint7",1,1,1,0.511796733212341,1,1,1,1,1,1
"XISTint8",1,1,1,8.11798081607872e-05,1,1,1,1,1,1
"XISTint9",1,1,1,1,1,1,1,1,1,0.51
"XISTint10",1,1,1,1,1,1,1,1,1,1
"XISTint11",1,1,1,7.17371004298753e-53,1,1,1,1,1,1
"XISTint12",1,1,1,4.95442193877168e-44,1,1,1,1,1,1
"XISTint13",1,1,1,7.40261075407334e-11,1,1,1,1,1,1
"XISTint14",1,1,1,2.20406951979892e-05,1,1,1,1,1,1
"XISTrA",1,1,1,0.000395567707614114,1,1,1,1,1,1
"XISTrB1",0.000819453559038779,1.56862200168646e-21,2.53287707592688e-25,1,6.31281103864122e-36,8.97706087654526e-10,7.90121839058186e-17,2.721055126005e-11,1.58450069827874e-10,8.65522049818236e-70
"XISTrB2",1,4.55724011808908e-19,8.47368519445041e-19,1,2.37307013307254e-34,1.47197609279795e-15,1.00112534582888e-16,3.46823393639151e-07,1.39344127030359e-10,4.15386022766855e-53
"XISTrD",1,1,1,0.796875,1,1,1,1,1,1
"XISTrE",1,1,1,1.20078716310361e-34,1,1,1,1,1,1
"XISTrF",1,1,1,1,1,1,1,1,1,1
