"qchunk","unsplice_lncRNA_adjp","unsplice_other_adjp","unsplice_protein_coding_adjp"
"MALAT1chk1",2.7108060680217e-13,1,1
"MALAT1chk2",1,1,0.0205448717331547
"MALAT1chk3",1,1,1.20201878567143e-50
"MALAT1chk4",0.684584701272123,1,1
"MALAT1chk5",2.40196904479747e-64,1,1
"MALAT1chk6",1,1,1
"MALAT1chk7",1,1,1.36034615976717e-08
"MALAT1chk8",1,1,0.97254375385128
"MALAT1chk9",1,1,1.13970705594401e-56
"NEAT1chk1",1,1.24451746664185e-36,5.03263182199916e-69
"NEAT1chk2",1,0.0852466033564838,6.08676447648587e-13
"NEAT1chk3",1,1,1.40252497177698e-22
"NEAT1chk4",1.69024094402081e-13,1,1
"NEAT1chk5",1,1,1.45776409036481e-17
"NEAT1chk6",1,0.776501302052295,1
"NEAT1chk7",1.45568558770893e-11,1,1
"NEAT1chk8",1,1,1.55287188317237e-08
"NEAT1chk9",9.38729741425253e-11,1,1
"NEAT1chk10",1.94740335268479e-22,1,1
"NEAT1chk11",2.32564418142166e-38,1,1
"NEAT1chk12",1,1,1
"NEAT1chk13",2.95946448798053e-06,1,1
"NEAT1chk14",1,1,2.7646154688326e-20
"NEAT1chk15",1.25418087619581e-12,1,1
"NEAT1chk16",0.000568526867234002,1,1
"NEAT1chk17",1,1,2.5675698428013e-89
"NEAT1chk18",1,1,6.17061544088672e-53
"NEAT1chk19",1,1,3.29874045824495e-17
"NEAT1chk20",1,1,9.62923721480886e-42
"NEAT1chk21",1,2.40232760598846e-33,3.62488864442824e-57
"NEAT1chk22",1,1.58161372802647e-28,2.49656743515639e-50
"XISTint1",1,1,0.160840598150075
"XISTint2",1,0.0155677557782286,3.35963885983229e-09
"XISTint3",1,1,1.38122701978497e-12
"XISTint4",1.78203233290848e-24,1,1
"XISTint5",0.000355046867638606,1,1
"XISTint6",1.68702691846556e-24,1,1
"XISTint7",0.000610893900828102,1,1
"XISTint8",3.95585077713454e-13,1,1
"XISTint9",0.00697683787076703,1,1
"XISTint10",1,1,0.00162882316686286
"XISTint11",2.98301061743221e-75,1,1
"XISTint12",1.33001261792751e-118,1,1
"XISTint13",9.04053564742688e-66,1,1
"XISTint14",1.32613035664245e-48,1,1
"XISTrA",1,0.0841287053553599,0.00225735684877748
"XISTrB1",1,4.70453181406153e-06,6.42341713093928e-06
"XISTrB2",1,0.0007828289064373,7.77987411758154e-08
"XISTrD",0.849332335156651,0.826705229583134,0.620495134857198
"XISTrE",1,1,1
"XISTrF",1,0.257799255889789,1.82880981458943e-08
