"qchunk","unsplice_3_UTR","unsplice_5_UTR","unsplice_CDS_regions","unsplice_distal_introns","unsplice_exons","unsplice_proximal_introns","unsplice_splice_sites_3","unsplice_splice_sites_5","unsplice_TES_regions","unsplice_TSS_regions"
"MALAT1chk1",0.999999999991983,1,0.999999999999834,5.76197204037658e-23,1,0.999999999999995,0.999999999999994,1,1,1
"MALAT1chk2",0.99999999999572,0.894397048850543,0.999999999975759,4.4273778697779e-12,1,0.734106727369093,0.999934767579541,0.999999996626918,0.999999999989226,0.992474551907767
"MALAT1chk3",0.999999999999242,1,0.853436881010092,1.05230043215956e-120,1,1,1,0.978705818001364,1,1
"MALAT1chk4",1,1,1,0,1,1,1,1,1,1
"MALAT1chk5",1,1,1,0,1,1,1,1,1,1
"MALAT1chk6",1,1,1,0,1,1,1,1,1,1
"MALAT1chk7",0.5,0.729914232662109,0.0232932517318605,0.715144088214363,0.147858225052416,0.0622953862311829,0.0552762301594733,0.0224972455675663,0.688463566530294,0.993595943359479
"MALAT1chk8",0.946515660871139,0.953730260278893,0.995266308976192,8.99355337437718e-05,0.990344426705032,0.999961336432592,0.982933083660721,0.955060289470389,0.999971667772982,0.99998815594692
"MALAT1chk9",0.999999999859165,0.99999695521932,1,2.15134814286762e-13,1,0.998162437350005,1,1,0.999792753877539,0.99777629601487
"NEAT1chk1",2.10536257426771e-70,0,0,1,0,0,0,0,3.04496639041258e-290,0
"NEAT1chk2",0.916433100043976,0.00258500824183033,0.913118654712659,0.25675746489672,0.783884180321559,0.241763993118145,0.333161932784035,0.85065989279736,0.982002796983193,0.0601618086772314
"NEAT1chk3",0.824927108420392,0.00378074344674914,0.00381473326102819,0.277999891274327,0.30342240573065,7.77007356892287e-12,7.91973481266884e-11,0.000795654126222054,0.999999983722759,0.0134980540117553
"NEAT1chk4",1,1,1,0,1,1,1,1,1,1
"NEAT1chk5",0.0313482445141828,0.428160262146262,0.237496967979137,0.942192854877294,0.00401895999749107,0.283983515298193,0.291201161246271,0.111072003428213,0.0181370673642165,0.000610760923769281
"NEAT1chk6",1,1,1,1,0.8,1,1,1,1,1
"NEAT1chk7",1,1,1,0,1,1,1,1,1,1
"NEAT1chk8",1,0.999999999999952,1,1.30357154576645e-38,1,1,1,1,1,0.999999999999999
"NEAT1chk9",1,1,1,0,1,1,1,1,1,1
"NEAT1chk10",1,1,1,0,1,1,1,1,1,1
"NEAT1chk11",1,1,1,0,1,1,1,1,1,1
"NEAT1chk12",1,1,1,0,1,1,1,1,1,1
"NEAT1chk13",1,1,1,9.84004495622667e-248,1,1,1,1,1,1
"NEAT1chk14",0.862385789543017,0.8232037532644,0.993348731783531,0.0709942421846106,0.991512357814893,0.231854863657408,0.99621407336058,0.982357737550818,0.97157807989507,0.230103536896956
"NEAT1chk15",1,1,1,0,1,1,1,1,1,1
"NEAT1chk16",1,1,1,0,1,1,1,1,1,1
"NEAT1chk17",1,1,0.92604966462301,2.22348514875611e-74,1,0.93557181861875,0.999884187469464,0.996504849432322,1,1
"NEAT1chk18",0.999824703771232,0.99655719026181,0.999999999988635,0.40135873922836,0.999999940828657,0.721775686043754,0.999999999961524,0.999999572309218,0.330672524170051,0.985729833723104
"NEAT1chk19",0.999999695982814,0.978180557964231,0.999999585242907,8.63062338765935e-13,0.999999999969411,0.999252721694741,0.999998182663013,0.999991955964528,0.999999972031301,0.999997126397934
"NEAT1chk20",0.668696855438596,0.99045365408322,0.952028519297655,0.0241302179617555,0.87304526666592,0.779686136594684,0.943868060420689,0.939988842244868,0.381749404881796,0.5
"NEAT1chk21",9.49205563799153e-32,1.85854104910291e-09,4.56399350001157e-45,1,1.24958384231024e-58,1.35351781214311e-64,1.78822749205716e-63,1.39190614817062e-53,5.26425396860095e-43,4.69589577993764e-66
"NEAT1chk22",2.78378174914969e-193,7.10736935160151e-238,0,1,0,0,0,0,0,0
"XISTint1",1,1,1,6.13670338007324e-65,1,1,1,1,1,1
"XISTint2",0.321175123252634,0.955134238812062,0.908742096514441,0.999997592094327,0.0354200444720659,4.24518333421789e-08,0.767433351125959,9.22824083400026e-05,1.72430180958635e-05,8.75275794974298e-07
"XISTint3",0.99999999999615,1,1,5.50076997578023e-87,1,1,1,1,1,1
"XISTint4",1,1,1,0,1,1,1,1,1,1
"XISTint5",1,1,1,0,1,1,1,1,1,1
"XISTint6",1,1,1,0,1,1,1,1,1,1
"XISTint7",1,1,1,0,1,1,1,1,1,1
"XISTint8",1,1,1,1.13668821617601e-269,1,1,1,1,1,1
"XISTint9",1,1,1,0.8,0.5,0.2,0.5,0.5,0.2,0.2
"XISTint10",0.898614308179684,0.752808988764045,0.378892678700503,0.309443908575982,0.826648485586202,0.864599502073685,0.608221412437667,0.275086403300934,0.785065413035962,0.965507145363127
"XISTint11",1,1,1,0,1,1,1,1,1,1
"XISTint12",1,1,1,0,1,1,1,1,1,1
"XISTint13",1,1,1,0,1,1,1,1,1,1
"XISTint14",1,1,1,0,1,1,1,1,1,1
"XISTrA",0.984263285502613,0.25250047785999,0.996963613213874,0.077788244757777,0.912866860889447,0.991345239069625,0.948399184263412,0.987411766052779,0.998456738658833,0.33003882907332
"XISTrB1",8.1566408068288e-08,1.20121948406291e-20,3.54220877246622e-34,1,1.62274040121023e-53,7.35113155158757e-12,2.06034836527624e-14,2.28309911732831e-19,3.60488559910894e-28,8.49783637544115e-90
"XISTrB2",8.59824163255122e-10,4.08538601712261e-65,2.76109031097014e-43,1,1.80719031815601e-126,5.7181059800674e-54,1.47205834817855e-49,3.73069067820579e-34,3.6049656660948e-58,7.8975933104412e-219
"XISTrD",0.863919684756133,0.638148525019014,0.902107354278908,0.00532322550164774,0.864652209500331,0.998857771430551,0.976539141680975,0.760554798787138,0.978941948478002,0.93902618644989
"XISTrE",1,1,1,0,1,1,1,1,1,1
"XISTrF",0.999609876706895,0.231660091477014,0.970693828805757,0.659747949226253,0.877901212525201,0.00991245639494924,0.328504112947171,0.911578939233924,0.608870503096474,0.00400593191740329
