"qchunk","unsplice_lncRNA.bed","unsplice_other.bed","unsplice_protein_coding.bed"
"MALAT1chk1",1.12983932533382e-11,0.999999894758904,1
"MALAT1chk2",1,0.999999999999998,4.87988937350296e-34
"MALAT1chk3",1,1,5.04376311687641e-60
"MALAT1chk4",0.00186516349977927,1,1
"MALAT1chk5",6.21754102522809e-32,1,1
"MALAT1chk6",0.999999415215551,1,0.815158338116559
"MALAT1chk7",1,1,1.95569920264897e-13
"MALAT1chk8",0.999999999507454,0.999913443368447,8.20287734697292e-08
"MALAT1chk9",1,0.988086925833572,2.083575363485e-236
"NEAT1chk1",1,7.51129191076074e-28,1.23812107296e-53
"NEAT1chk2",0.999999999997955,0.0330626407448911,8.82781004364806e-16
"NEAT1chk3",1,0.999999994379141,2.47400449869222e-162
"NEAT1chk4",1.31260876958008e-11,1,1
"NEAT1chk5",1,0.000339286000271171,2.7867048734685e-24
"NEAT1chk6",0.999999665700996,0.708456516905496,6.89706720389621e-07
"NEAT1chk7",0.000289110229405278,1,1
"NEAT1chk8",1,0.997379294262366,1.44093291173402e-38
"NEAT1chk9",4.00813196692113e-05,1,1
"NEAT1chk10",5.16558882780461e-12,1,1
"NEAT1chk11",1.35165991518834e-25,1,1
"NEAT1chk12",1,1,1.23763045485592e-06
"NEAT1chk13",0.999843702877081,1,0.943498235261634
"NEAT1chk14",1,0.565768007885335,4.8357318042244e-53
"NEAT1chk15",0.0169883091685022,1,0.999999999999999
"NEAT1chk16",1,1,0.000824974368551568
"NEAT1chk17",1,1,9.53744322731942e-320
"NEAT1chk18",1,0.812010143577877,4.32569928275673e-80
"NEAT1chk19",1,0.999999996243486,2.68620266452771e-248
"NEAT1chk20",0.999999999999941,0.180516250277294,1.4788068655143e-14
"NEAT1chk21",1,6.10768026453047e-24,2.00967751249084e-127
"NEAT1chk22",1,4.46529135180681e-35,2.16463183246611e-55
"XISTint1",0.522826805379455,1,0.968386049811791
"XISTint2",1,0.193321134497692,4.17860866808057e-38
"XISTint3",1,1,1.22003344290568e-44
"XISTint4",3.04013283714023e-22,1,1
"XISTint5",2.2979571258908e-16,1,1
"XISTint6",3.4224418267643e-07,1,1
"XISTint7",0.743246502582004,1,0.999991520884829
"XISTint8",3.6246691305148e-06,1,1
"XISTint9",0.363431498068651,0.172927813176559,0.684031747022216
"XISTint10",0.978580386695823,0.63161159146331,0.00508664110431147
"XISTint11",3.23272414446383e-36,1,1
"XISTint12",1.41272173562211e-49,1,1
"XISTint13",8.67089188330115e-15,1,1
"XISTint14",0.0935133595331807,1,0.99999999999712
"XISTrA",0.247954186798315,0.950561951093248,0.943585877617671
"XISTrB1",0.975119977906149,0.0567305465249399,0.00394409128536522
"XISTrB2",0.99999999709888,0.07595357435163,5.57635132341526e-11
"XISTrD",0.195856363975595,0.126642619732726,0.913802498020221
"XISTrE",0.0423999131811153,0.999999985789367,0.999640314154654
"XISTrF",1,0.301114417518601,2.07319725525338e-25
