query,query_coords,top5RBP,top5RBP_adjpval,top5RBP_pval,top5hitpct,top5rpm,top5fc,hit_totalcount,transcript_totalcount,medlen,AARS,AATF,ABCF1,ADAT1,AGGF1,AKAP1,AKAP8L,APEX1,APOBEC3C,AQR,BUD13,CPEB4,CPSF6,CSTF2T,DDX1,DDX21,DDX24,DDX3X,DDX42,DDX43,DDX47,DDX51,DDX52,DDX55,DDX6,DGCR8,DHX30,DROSHA,EEF2,EFTUD2,EIF3G,EIF4E,EIF4G2,ELAC2,ELAVL1,EWSR1,EXOSC10,EXOSC5,FAM120A,FASTKD2,FMR1,FTO,FUS,FXR1,FXR2,GARS,GEMIN5,GNL3,GPKOW,GRWD1,GTF2F1,HLTF,HNRNPA1,HNRNPC,HNRNPK,HNRNPL,HNRNPM,HNRNPUL1,HNRNPU,IGF2BP1,IGF2BP2,ILF3,KHDRBS1,KHSRP,LARP4,LARP7,LIN28B,LSM11,MATR3,MBNL1,METAP2,METTL1,MORC2,MTPAP,NCBP2,NIPBL,NOLC1,NONO,NPM1,NSUN2,PABPC4,PCBP1,PHF6,PPIL4,PRPF8,PTBP1,PUM1,PUM2,PUS1,QKI,RBFOX2,RBM15,RBM22,RNF187,RPS10,RPS11,RPS3,RPS6,RYBP,SAFB2,SAFB,SBDS,SDAD1,SERBP1,SF3B1,SF3B4,SLBP,SLTM,SMNDC1,SND1,SRSF1,SRSF7,SRSF9,SSB,SUPV3L1,TAF15,TARDBP,TBRG4,TIA1,TRA2A,TROVE2,U2AF1,U2AF2,UCHL5,UPF1,UTP18,UTP3,WDR3,WDR43,WRN,XRCC6,XRN2,YBX3,YWHAG,ZC3H11A,ZC3H8,ZNF622,ZNF800,ZRANB2
XISTrA,XIST_rA_316_743,RBM15;NIPBL;UCHL5;SDAD1;SRSF1,0.001184435;0.23394712375;0.943899947;9.4426400970868e-10;0.23394712375,0.000473774;0.152693367;0.943899947;1.88852801941736e-10;0.187157699,0.4,2302.9227;319.9974;282.7897;260.8828;200.6509,224.931;32.1158;28.4978;26.3677;20.5108,14861,3616,123,0.49472997,4.78111096636829e-13,0.052650236,8.55660305844117e-99,0.523394042,2.81358357855765e-08,0.003890576,1.63185466139676e-17,0.890600668,0.990255466,0.37702015,0.003472405,0.96737781,0.929011302,3.16871880081958e-05,0.022674762,0.131064186,1.05650134712803e-12,0.162578233,0.610697353,2.94212544323347e-09,1.88261070017782e-08,6.72925595191265e-18,0.929290207,0.042262316,0.005311406,6.79611597080317e-16,3.63863277423058e-12,2.00859936466597e-10,0.66271855,2.50206255860542e-06,6.08540425729568e-16,0.892789097,1.19787380492042e-14,0,0.853726507,0.05132016,2.25853457707063e-103,0.603922242,0.649414174,1.15522463010133e-09,0.000567012,1,0.00010875,1.64105413010137e-09,0.000800134,2.03198948682105e-33,0.126573556,0.000169731,0.990012555,0.838950994,0.999737017,1,5.12345921920063e-98,9.07037930467754e-15,1,8.55494158118558e-32,0.999999983,1,0.744397682,0.0106047,1,1,3.43108933150728e-66,0.906456296,3.35135764109096e-08,0.937063164,0.997901869,1.35876517946203e-226,0.166205788,0.074174043,1,1.23387581116219e-54,0.000404312,3.44836672404136e-20,0.152693367,0.677422501,2.24281072840194e-05,0.244976154,3.09169648397418e-05,0.774252412,4.27892988684655e-09,8.94129345173472e-07,0.999997413,0.31012547,5.54707755490792e-151,0.022600904,0.372389444,1.24935623460225e-06,9.29460074652935e-05,0.248747563,0.000473774,0.043080934,1,0.00399661,0.000780949,0.039495648,0.040915967,0.998014596,1,1,0.000211796,1.88852801941736e-10,6.33379551055406e-09,0.024337656,0.985932412,0.409596395,0.999929532,0.187113716,0.003747445,0.187157699,0.663508937,4.46832073164663e-07,2.7005822152692e-13,0.725368452,1,0.000642342,0.08546722,4.70578002918804e-73,0.985330242,1.35745218374498e-05,8.63511495190689e-64,4.35192248001388e-99,0.943899947,0.962340544,0.341254052,0.02466891,0.395689845,0.967179323,5.2481324773342e-06,0.001296869,0.000160208,0.870939397,0.996618318,0.988249734,0.993703222,0.490054048,0.329820419,4.9328891538617e-11
XISTrF,XIST_rF_743_1807,HNRNPM;RBM15;EXOSC5;UCHL5;FXR2,0;8.55654436576273e-08;1.91598647124411e-238;5.2559719956357e-27;4.59122282824523e-40,0;8.55654436576273e-08;7.66394588497646e-239;4.20477759650856e-27;2.75473369694714e-40,1,2292.1648;1570.2157;1478.4924;1338.911;547.3371,82.0025;56.4896;53.2482;48.3156;20.3423,15302,4079,263,1.32842551026336e-63,3.34705707152635e-65,0.002749412,1.40025067699449e-174,1.62017339824071e-08,0.003588873,1.75973192676333e-76,4.07162661555077e-16,1.28759308896031e-18,7.2228002654493e-27,2.85066909225558e-18,5.08759871230712e-05,8.09423975528354e-44,2.75682216853084e-128,1.26473253459523e-87,9.9051644305488e-25,5.85102261116663e-12,7.44936966640004e-31,1.41658561385934e-69,6.01803997349382e-26,2.0597209986129e-53,8.45612866812764e-71,3.15564314718122e-65,1.14522878415073e-07,1.29894003145496e-66,2.11683451898572e-18,4.67258901258473e-74,9.23956505512778e-129,4.5692688594896e-19,2.45574756658668e-76,5.32932833519656e-35,1.25045695289934e-13,1.140566270293e-84,6.72109157009162e-189,0.9965347,2.2696835922636e-107,2.18563664895748e-31,7.66394588497646e-239,7.05196576636341e-24,1.18252411674936e-93,3.02974220277178e-24,1.84251790827052e-105,7.27950465808597e-154,8.62692272616842e-13,2.75473369694714e-40,1.16526107817865e-11,3.49933346916285e-52,1.60008518777999e-19,2.74382164861198e-73,5.23287645118018e-14,1.29798847048754e-171,1.68404810192402e-20,1.35991997414207e-264,0.995446976,1,1,0,1.14656926227241e-127,3.5050673144659e-268,1.68692408948045e-05,4.02116220341276e-08,0.000538924,0.999993199,3.04471924618643e-28,2.51640459536795e-51,3.13784414948773e-26,9.56628906395449e-15,4.21616943168019e-22,0.982832113,0.016007758,2.9016459306292e-15,1.06358576654854e-62,6.11885891631062e-181,3.21485616282532e-31,6.89435669738608e-43,4.15690911332991e-12,6.30768326535492e-20,6.07070416194385e-77,3.61928822170508e-21,1.08888609751728e-10,0.033238978,0.245132627,9.74911407897421e-30,2.25538742513299e-30,7.96962875638983e-32,0.955069675,6.15592911917363e-07,2.07662352462133e-05,5.4989324395366e-16,0.999957646,2.58311482583154e-117,8.55654436576273e-08,2.20201825194948e-09,0.0160295,3.70474486186471e-21,5.76914308778893e-11,2.51581458477003e-15,6.05776789417611e-20,0.008617864,2.19353755577994e-186,3.31204918396609e-33,1.55590874365723e-11,0.015352116,0.135342384,6.02926302729321e-59,5.26304839322694e-18,1.53111501607082e-17,8.44808258824274e-64,2.60183478820916e-37,3.32490338039697e-10,1.51397451573584e-33,8.09143876325395e-27,3.42974618923851e-15,0.003045234,2.40234720051288e-26,6.35697770729748e-254,6.58328526780662e-105,1.04369731854392e-97,8.50804790388979e-44,3.99893596179714e-33,5.07782753130731e-48,2.75630947526027e-21,0.001940597,4.20477759650856e-27,7.1709040831391e-06,5.9613052434101e-19,2.80379149290246e-28,8.70274741606975e-34,5.94746279756494e-19,2.26898656901853e-69,9.81236592524847e-40,3.4686553526485e-68,0.612743305,2.32599377964837e-21,2.33598075001696e-52,5.0443468118177e-47,5.23876056680521e-11,5.03404290907339e-09,1.77306750714223e-80
XISTrB1,XIST_rB1_1951_2041,HNRNPK;ILF3;CSTF2T;PCBP1;DROSHA,0;0.52187632;7.96587504025783e-40;5.57814308311712e-129;3.67898314579151e-20,0;0.52187632;4.7795250241547e-40;2.23125723324685e-129;2.94318651663321e-20,0.8,41.2885;17.5834;10.6802;8.2477;6.8758,145.9918;62.747;38.5053;29.9633;25.1457,13189,4262,37,0.073229078,7.24128695202051e-18,1.23661444014979e-53,0.000499041,0.598445033,1.13504283578552e-40,3.70748287319648e-07,2.04670978062231e-53,1.34243928026802e-06,6.38523286849344e-18,0.944328721,0.899806261,0.99877881,4.7795250241547e-40,3.67023069704711e-84,3.76932776278632e-14,0.99999446,3.91825322751786e-18,3.89275409564257e-63,0.000346003,3.37987380942855e-42,2.65462423378352e-50,3.26657646881484e-29,8.00151562644809e-37,2.96115863311206e-06,4.71962314689548e-27,1.8755417644235e-50,2.94318651663321e-20,8.01218959067855e-52,0.007200098,1.19713225963214e-10,4.89015894461347e-71,6.01948208761246e-40,6.1019473868382e-39,1,1.59049042779725e-42,0.091019411,1,2.63601295576884e-05,0.945692624,2.73112282431873e-23,0.009294066,0.035801855,3.01379773909093e-30,5.57623611757676e-52,2.06273945482624e-20,4.35729872638452e-50,0.019984334,1,1,1.80834344333027e-17,1,1,1,0,0.905940704,0.681513621,0.924444491,1,0.999999923,8.22341921645856e-53,0.52187632,1,1,0.999895816,9.18581716821324e-54,1,5.30505197060216e-17,0.999972673,2.28094206287028e-39,2.31116560989946e-29,1,3.29439337693308e-28,0.000762295,1.58942768106503e-25,1.8632431531063e-07,0.00049389,1.45800017694448e-53,0.322822443,0.278305324,1.2732959565835e-10,2.23125723324685e-129,4.25813448540805e-58,0.999999906,2.88546457584294e-10,0.001934318,1.40552917443083e-08,0.999894759,1.24149691882261e-11,0.422087634,1,6.26984302737492e-08,0.001730482,0.125413214,1.53520595673322e-15,2.42114268797514e-29,2.23981660252575e-16,4.31581640741149e-73,2.26044794446553e-22,1,0.999999999,3.5858137968578e-13,6.41604924290198e-56,2.48497677910022e-36,1.67923740751959e-07,0.161299764,0.00110656,4.85206027059889e-82,8.36476538434648e-10,0.999947628,9.15496078916344e-19,0.257915477,4.56176053411377e-95,3.22690938358083e-19,0.01207889,1,1.07827974995925e-22,0.05350658,1.56983482316575e-39,0.410034275,0.051826384,2.61452247385466e-09,0.385127436,1,0.761635633,2.48112123193888e-13,1.41628712696672e-12,6.64741574004297e-09,0.0039709,6.21891917215154e-13,0.999996375,3.85629558798141e-99,3.96880083071217e-05,4.58790980144021e-12,0.562396981,0.037591128,0.99999965,4.78704896826339e-05,5.17576461420166e-19
XISTrB2,XIST_rB2_2781_2919,HNRNPK;DROSHA;DDX42;PUM1;DDX47,0;3.49358203894814e-45;1.22204285092861e-69;5.80023946736418e-08;6.23447098426807e-67,0;2.79486563115851e-45;4.88817140371443e-70;5.80023946736418e-08;3.74068259056084e-67,1,350.6136;58.5477;16.1884;14.9146;9.4526,100.8688;17.6767;5.6111;5.2483;3.6925,9311,3692,38,0.017949277,2.86039182358471e-30,1.012772149844e-54,2.11528414456163e-13,0.999999983,1.78801775905317e-63,1.19640480229034e-08,8.41789513278171e-86,8.19687340173935e-05,2.84060605455373e-27,0.999999997,0.092177668,1,4.01526124840808e-46,1.36994719379248e-128,2.12943467758688e-15,1,3.49621475467563e-34,4.88817140371443e-70,0.820128781,3.74068259056084e-67,3.92937065031347e-72,2.97191112642331e-34,6.97390849906157e-29,6.6747721378576e-10,1.40952542952638e-29,1.04710331772122e-75,2.79486563115851e-45,2.30627736454836e-71,0.000128856,5.14154366793894e-08,9.3586930406975e-134,5.68520355817361e-42,1.9708403395335e-80,1,2.5691492081435e-63,0.980393181,1,0.007809801,0.982424793,4.54732822994735e-25,7.66597366733926e-05,8.7077791385338e-12,8.08337812313358e-26,8.57751023754679e-64,6.72255000619993e-25,2.04370002367136e-85,0.963767184,1,1,1.14098822256477e-21,1,1,1,0,1,0.0261082,0.995714094,1,1,2.07849962863906e-30,0.781542088,1,1,0.999798483,2.22084218265165e-66,1,1.10800338402609e-13,0.868544605,9.07112618133776e-51,1.91760862016038e-26,1,1.73543647059404e-58,0.060203184,1.09624478197097e-34,4.77325203915601e-13,0.005417779,8.26607157205276e-66,0.997872283,0.004870963,4.741172281229e-12,2.06532067662074e-140,1.5730880405187e-52,1,3.71046645963929e-13,0.209337314,5.80023946736418e-08,0.999999453,5.68400273764569e-08,0.999951955,1,4.06548537137521e-06,0.030307273,0.788215953,1.39561774280325e-25,8.86583251818468e-32,2.45640108608824e-07,6.37244102028016e-62,4.25748656136649e-30,1,1,5.43366022074393e-12,4.89378492512358e-88,1.20878112563035e-45,1.55165229464275e-05,0.00236189,0.021960965,1.14953434409655e-78,2.87082992826386e-08,1,1.60842984741488e-18,0.999999591,3.15100842485776e-135,9.63612528174471e-29,0.005331854,1,3.8783248529662e-31,0.24106182,8.56503927610503e-66,0.999323265,0.949772362,0.000154246,0.999999529,1,0.014136359,2.40234499204792e-16,8.74313381912335e-18,8.26057592515826e-08,0.335665164,1.25003815116296e-16,0.999991229,1.35234237326647e-143,0.916826898,2.02900246781726e-07,0.215008616,0.519025939,1,3.6684935034648e-07,3.05421817748568e-23
XISTrD,XIST_rD_6113_8140,HNRNPK;HNRNPU;DDX42;HNRNPL;HNRNPA1,0;1;0.0110478333333333;1.55888741186982e-52;1,0;1;0.0066287;6.23554964747929e-53;1,0.6,1372.0742;274.1589;132.548;117.404;69.279,47.4764;10.2866;5.4898;4.9768;3.3467,7121,2923,245,0.99999989,0.818605719,0.059602703,0.218390051,0.000292938,3.33091823394322e-06,0.117450062,8.42538620337034e-06,0.167674236,0.591322552,0.999984382,0.999999895,0.999999999,1.0191910252596e-11,3.27991728952733e-09,0.866094528,0.830078063,0.99981707,0.0066287,0.99986397,0.017916901,0.013889527,0.000187728,3.34811343476376e-10,0.767400011,1.65617285697452e-06,0.018132012,0.625925239,0.358479904,0.999235339,0.999564002,0.916530868,0.038550218,0.91703216,0.514068858,3.18732031146492e-05,0.99999999,0.999997401,0.740790568,1,0.924807052,1,1,0.133153373,0.590973198,0.780628695,0.012847489,0.999317646,1,1,4.03276840617367e-13,1,1,0.99999996,0,6.23554964747929e-53,0.999999836,0.999982781,1,0.010273653,4.84606584497399e-06,3.57717888952205e-36,1,0.999997973,1,0.19323248,1,0.23661981,1.49814057779507e-123,1.12587759651538e-06,0.035023393,1,0.18991162,0.918748874,0.458998961,1,0.273451516,2.91724706505194e-13,0.996506946,0.651105683,0.005417536,1.3880468909001e-62,5.78345832032518e-05,1,0.49475725,4.68769489543208e-126,0.973036898,0.84236386,0.029386013,0.032860405,0.088942285,0.999999894,0.769495377,1,0.597061315,0.023493239,0.878695912,0.000317063,0.999709212,1,1,0.924675281,0.463956495,0.413867628,0.997617283,0.862753489,0.655201464,0.991774826,0.002408366,0.001368211,0.925331986,1,0.14555627,0.97063034,0.929444681,1,1.4751805924134e-09,0.997940074,1.2530495541844e-12,1,0.047381191,0.000227418,1.93489839260696e-20,1,0.006673967,0.980003233,0.962863309,0.99955882,0.999998228,0.648509259,1,1.89142848925123e-06,0.047056537,0.933298247,0.99999959,0.999950652,0.99999999,0.999995468,0.100368613
XISTrE,XIST_rE_11922_12586,PTBP1;MATR3;MBNL1;TIA1;SND1,0;0;1;3.42740953984327e-138;0.2368518525,0;0;1;2.05644572390596e-138;0.189481482,0.6,3717.4101;1321.115;302.6957;201.5005;145.1482,173.3181;62.2394;15.0313;10.3404;7.7282,46013,4375,200,1,1,1,3.11073601745977e-110,1,1,1,1,1,1,1,0.99999984,1,1,1,1,0.999761291,0.999993454,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.979099713,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0.999999971,1,1,1,1,6.51721259020603e-32,4.4125078947728e-47,0.294586078,3.58506092221983e-169,1,1,0.655815837,1,1,1,0,1,1,1,1,0,1,1,1,0.082947168,1,1,1,1,0.395342719,0.999999997,0.988358621,1,1,1,1,1,0,1,0.025086834,0.999988429,4.91398086997636e-62,0.013550171,1,0.999999501,1,1,1,1,1,1,1,1,0.999999365,1,1,1,1,1,1,1,0.189481482,1,1,1,0.999999954,1,1,0.000117792,1,2.05644572390596e-138,1,0.004163119,1.33773434232128e-39,4.24371066844631e-219,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999861635
NEAT1chk1,NEAT1chk1_0_1000,U2AF2;CSTF2T;U2AF1;HNRNPU;HNRNPA1,2.61295037950384e-37;0;0;0;3.16536721526772e-154,2.61295037950384e-37;0;0;0;2.53229377221418e-154,1,4459.6314;3855.2714;3822.4944;3516.2574;3195.4836,28.4276;24.7107;24.5091;22.6257;20.6528,29121,5780,339,0,0,0,0,4.8599402393275e-117,0,0,0,8.06204424313163e-288,0,0,7.6985369082513e-23,1.38506112633234e-260,0,0,0,1.92198403423072e-213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.52056493340225e-32,0,0,0,0,0,0,0,0,0,2.17356530013118e-79,1.87078053249507e-40,4.28024429267878e-176,0,1,2.53229377221418e-154,1,0,1,0,0,0,0.999993887,0,4.27560136900144e-06,1,1,1.4150196054662e-215,0,7.13302999773407e-27,0,1,0,0,1.41126394610244e-126,0,0,0,0,0,0,2.71931981345949e-42,7.51872659900204e-22,2.78459450173491e-225,0,0,2.11043467639679e-43,0,1.4773922914456e-253,0,0.211479598,7.39979119961513e-223,1,0,0,1.10484885300046e-100,8.23180768401962e-83,0,0,0,0,0,5.61765948322138e-10,0.998992003,9.14383171625757e-181,0,4.05856213493377e-205,3.18130256144305e-295,0,2.65132128501761e-102,0,0,1.50487728095886e-26,0,0,0,2.94611654974158e-95,4.30375833737758e-122,2.05358024253663e-291,0,0,0,0,5.90070127732265e-209,0,2.61295037950384e-37,2.62475303720541e-150,3.06379768274523e-118,0,0,1.02247852041194e-234,8.74877056826475e-286,0,0,0,5.71561638150666e-212,0,0,0,6.41548647992197e-188,1.49587433284117e-262,0
NEAT1chk9,NEAT1chk9_8000_9000,KHSRP;MATR3;ELAVL1;HNRNPL;U2AF2,0;0;0;0;6.24569801771905e-185,0;0;0;0;6.24569801771905e-185,1,353.4404;269.3047;244.1902;220.9785;144.8426,9.8276;7.7262;7.099;6.5192;4.6176,175541,5264,502,1,1,1,1,1,1,1,1,1,1,1,1.74630734608546e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,5.09846532881798e-162,1,1,1,1,1,1,1,1,1,1,7.97445024455235e-46,1,1,0.831007539,1,2.59805431790347e-216,1,0,1,1,1,1.34967030297335e-17,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.98969347919186e-97,1,0,1,1,0.999999908,1,1,1,1,1,1,1,0.999891395,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.24569801771905e-185,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NEAT1chk10,NEAT1chk10_9000_10000,KHSRP;ELAVL1;U2AF2;MATR3;CPEB4,0;0;5.74946399551375e-207;0;0.00017676,0;0;4.599571196411e-207;0;0.00017676,1,1547.081;469.0702;377.5445;334.5221;330.3868,54.3079;17.1628;14.0091;12.5267;12.3842,196776,5315,416,1,1,1,1,1,1,1,1,1,1,1,0.00017676,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1.04064319067233e-171,1,1,1,1,1,1,1,1,1,1,6.87179252537617e-51,1,1,0.999962051,1,6.75978234343248e-242,1,0,1,1,1,2.57433441388081e-22,1,1,0,0,1,1,0.999999956,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.07460360029093e-92,1,0,1,1,0.999917521,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.599571196411e-207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NEAT1chk11,NEAT1chk11_10000_11000,U2AF2;ELAVL1;KHSRP;HNRNPL;TIA1,3.90961083791696e-143;0;0;0;1,3.12768867033357e-143;0;0;0;1,0.8,281.8054;270.1972;264.5384;220.3685;53.3604,10.1112;9.7359;9.5529;8.1249;2.7252,183042,5250,474,1,1,1,1,1,1,1,1,1,1,1,0.059027454,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1.3882223841577e-100,1,1,1,1,1,1,1,1,1,1,4.68893041303037e-18,1,1,0.999999978,1,2.19736306949479e-293,1,0,1,1,1,8.52059893760084e-09,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.80476127775623e-67,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.12768867033357e-143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
