query,query_coords,top5RBP,top5RBP_adjpval,top5RBP_pval,top5hitpct,top5rpm,top5fc,hit_totalcount,transcript_totalcount,medlen,AARS,AATF,ABCF1,ADAT1,AGGF1,AKAP1,AKAP8L,APEX1,APOBEC3C,AQR,BUD13,CPEB4,CPSF6,CSTF2T,DDX1,DDX21,DDX24,DDX3X,DDX42,DDX43,DDX47,DDX51,DDX52,DDX55,DDX6,DGCR8,DHX30,DROSHA,EEF2,EFTUD2,EIF3G,EIF4E,EIF4G2,ELAC2,ELAVL1,EWSR1,EXOSC10,EXOSC5,FAM120A,FASTKD2,FMR1,FTO,FUS,FXR1,FXR2,GARS,GEMIN5,GNL3,GPKOW,GRWD1,GTF2F1,HLTF,HNRNPA1,HNRNPC,HNRNPK,HNRNPL,HNRNPM,HNRNPUL1,HNRNPU,IGF2BP1,IGF2BP2,ILF3,KHDRBS1,KHSRP,LARP4,LARP7,LIN28B,LSM11,MATR3,MBNL1,METAP2,METTL1,MORC2,MTPAP,NCBP2,NIPBL,NOLC1,NONO,NPM1,NSUN2,PABPC4,PCBP1,PHF6,PPIL4,PRPF8,PTBP1,PUM1,PUM2,PUS1,QKI,RBFOX2,RBM15,RBM22,RNF187,RPS10,RPS11,RPS3,RPS6,RYBP,SAFB2,SAFB,SBDS,SDAD1,SERBP1,SF3B1,SF3B4,SLBP,SLTM,SMNDC1,SND1,SRSF1,SRSF7,SRSF9,SSB,SUPV3L1,TAF15,TARDBP,TBRG4,TIA1,TRA2A,TROVE2,U2AF1,U2AF2,UCHL5,UPF1,UTP18,UTP3,WDR3,WDR43,WRN,XRCC6,XRN2,YBX3,YWHAG,ZC3H11A,ZC3H8,ZNF622,ZNF800,ZRANB2
XISTrA,XIST_rA_316_743,RBM15;NIPBL;UCHL5;SDAD1;SRSF1,1.00085944837763e-101;8.66865825568005e-23;3.12784877647984e-14;6.11648551997843e-39;5.73995438634025e-74,2.00171889675526e-102;6.93492660454404e-23;3.12784877647984e-14;3.66989131198706e-39;2.2959817545361e-74,1,2302.9227;319.9974;282.7897;260.8828;200.6509,224.931;32.1158;28.4978;26.3677;20.5108,13045,4410,129,2.48215445756908e-18,3.47186053243859e-58,2.04718731852237e-28,1.09989056192943e-94,3.64172789327133e-08,1.49191337673124e-17,1.1241047163033e-23,7.94090343843084e-87,3.91080007053343e-31,2.44450569405897e-56,2.78047257021218e-30,2.09818357997519e-05,3.51501093538228e-17,4.63339356582697e-60,1.17445289944187e-92,2.09943173880423e-56,1.59379016934828e-05,3.73907254041751e-157,8.12057932537191e-103,8.91809236210928e-49,1.96589385949384e-74,8.98850460323773e-77,2.31633052882843e-65,2.4160300038466e-43,7.96683208560839e-36,5.51091218010227e-68,3.44865562985452e-57,9.17049828579794e-87,6.30785655813597e-77,5.64240473636569e-42,4.45420435671915e-73,3.24825512430351e-146,8.26948890032779e-77,7.59550695068927e-119,1.41519155701911e-95,4.85625354858048e-51,6.46432980161032e-39,4.47229826381006e-53,1.08502395173748e-14,2.86236507273663e-21,1.53894937122931e-71,7.4025195219322e-86,6.07087058603025e-11,1.91977028784248e-48,6.76366994776994e-103,1.82565603714464e-39,1.13516909335299e-149,5.47680651996443e-25,1.90536499497458e-19,7.3899634683393e-19,5.53711040941085e-41,0.660629925,0.999770334,5.58323410971537e-29,5.41589120835488e-26,1,5.24238239631914e-111,8.2145625233616e-09,0.997962645,0.434181843,6.56474688473391e-62,1,1,0.003009713,1.35034658710959e-12,3.92920347801951e-89,6.4225797955892e-10,8.87233907087924e-43,0.003648784,1.5101229298391e-22,5.26900344780255e-44,1.63556019239873e-07,1.01524156559412e-138,2.87217125183511e-66,1.12409364509069e-129,6.93492660454404e-23,4.01333188778191e-44,8.36911698422028e-125,9.10555251182011e-20,0.000180077,3.47533954850781e-18,4.14874847589968e-46,1.18740828491037e-64,9.79379793872106e-15,7.67771392754203e-68,8.93393778766108e-31,1.09893812009135e-20,4.40443077537125e-07,3.66378997995457e-30,0.015903561,8.28325202572964e-11,2.00171889675526e-102,1.00040972246154e-36,0.000134378,2.58101057663965e-40,4.48386691319705e-51,4.57477233714126e-61,1.79207587745048e-101,1.5727225493267e-23,1,0.842959419,6.32739733126173e-44,3.66989131198706e-39,1.25291291214779e-23,2.51415637298413e-17,6.8528249317154e-11,3.13707373451277e-19,1.38914346225537e-79,2.45218558769936e-53,4.06776681524667e-14,2.2959817545361e-74,1.25096082308328e-54,3.07094110189936e-92,4.75775095419145e-17,3.11588196343921e-07,0.392436035,1.11842418948716e-20,3.48313949384388e-40,2.40393688558783e-130,5.73338983023389e-40,1.24168308286105e-47,2.13860949003114e-101,2.21553227664617e-50,3.12784877647984e-14,0.888713045,7.42209823195042e-27,1.13031339606589e-44,5.29810063987344e-11,8.36770166738655e-27,3.53855573861663e-60,2.1099747856576e-28,1.02144332105617e-122,2.70615723195099e-34,1.16642856608534e-43,8.70498258318076e-07,1.07594002024099e-17,5.95588899184823e-30,7.63699817438163e-16,3.57858627729566e-79
XISTrF,XIST_rF_743_1807,HNRNPM;RBM15;EXOSC5;UCHL5;FXR2,0;3.17407835687551e-59;0;2.51673834790367e-39;1.69975015698513e-88,0;2.53926268550041e-59;0;2.51673834790367e-39;1.01985009419108e-88,1,2292.1648;1570.2157;1478.4924;1338.911;547.3371,82.0025;56.4896;53.2482;48.3156;20.3423,38387,5316,279,1.21216994636848e-58,4.08261539289838e-84,3.33721417026892e-23,6.44103246700806e-180,5.39512831971007e-10,6.84525138017439e-08,6.89858458882362e-74,2.93158505960086e-45,2.75400021441322e-38,3.92052736286179e-94,2.35181382022706e-48,0.000128301,6.73280036141635e-43,2.76954261896186e-154,4.62548324063036e-154,1.19971333296635e-63,8.54903503358946e-20,8.26875449737908e-91,1.78912522154639e-124,2.79023962820673e-60,4.46236770217139e-96,5.2676388148494e-133,5.50375702101505e-117,6.47106782285198e-30,8.282275280164e-83,3.58070477525983e-67,8.37353844849964e-118,1.15444832137227e-138,6.8737465867204e-51,1.6806930704144e-119,1.03286691796677e-72,3.41442170112674e-79,2.29627107787962e-142,2.87967341791237e-280,1,1.13913884668372e-153,7.8520239102299e-53,0,9.24423826946192e-44,5.88314232997273e-74,6.29501398565666e-69,5.06525848933638e-105,4.78141576587426e-156,2.70134835923142e-41,1.01985009419108e-88,1.36702057501071e-21,3.00302375382045e-139,1.27936862674043e-33,1.18524306651307e-43,1.83988107049076e-36,4.42470125427785e-162,9.98570829529895e-05,9.10632680615875e-231,1,0.999998993,0.999998926,0,1.22778273946147e-115,8.76999822850347e-210,3.96698497810042e-12,1.47400909496647e-44,1,1,7.74553560505268e-57,1.15285253138307e-19,3.2213907084862e-67,2.45546276139609e-27,9.85585721786195e-64,3.82920419577097e-09,5.42347834812309e-11,4.73705457362736e-40,4.65229636749674e-40,5.33326418007028e-219,1.44051871306169e-72,4.25779082654253e-126,3.76893663029188e-19,2.24279564169984e-69,1.23274236101529e-228,4.87816662827838e-24,0.00078616,9.62517738479649e-12,1.25557812965235e-12,9.00945963241299e-88,1.46386216318894e-33,3.48304335648612e-107,0.089919311,1.84285679549705e-27,1.03429725812252e-09,3.952149435217e-47,0.805287103,1.55269626368441e-120,2.53926268550041e-59,1.52338455020493e-38,0.010170112,3.5256972602366e-43,1.00503609240649e-37,1.02964030407412e-60,2.61282569559215e-70,2.15526885030451e-05,9.75651462110568e-35,8.7059737402089e-18,4.67868906745325e-30,7.77067771095604e-18,1.60724171813115e-11,3.82702466401938e-43,1.1599017772074e-28,6.07853322088002e-22,7.83562494085073e-98,2.7470242749107e-98,7.07636199988471e-21,1.2497403489336e-79,1.99019307907206e-72,3.20947328295129e-51,0.000236452,9.66170442440469e-21,4.22571047212067e-192,1.17327061535492e-104,2.49010327725368e-117,1.35296906757167e-148,1.35618324170452e-49,3.93747032525116e-56,1.54938338960396e-58,1.76259978543147e-18,2.51673834790367e-39,0.015667054,2.06290057890315e-37,1.02422921102243e-60,3.07238502841426e-20,1.7636413951914e-30,2.99164018216277e-68,1.82681860659515e-34,2.80669127544499e-155,1.03506743746588e-20,9.65114537529101e-52,2.93494895472873e-29,2.99507420319681e-43,2.44092366207474e-39,2.2229567498975e-20,1.19827746328539e-159
XISTrB1,XIST_rB1_1951_2041,HNRNPK;ILF3;CSTF2T;PCBP1;DROSHA,1.26850566461682e-129;0.999999999999999;2.7562039590206e-162;4.08985049265315e-152;2.96357528370764e-128,7.61103398770091e-130;0.999999999999999;5.51240791804121e-163;1.63594019706126e-152;2.37086022696611e-128,0.8,41.2885;17.5834;10.6802;8.2477;6.8758,145.9918;62.747;38.5053;29.9633;25.1457,22874,5572,53,1.53217654177393e-32,1.57576484210468e-97,1.24079252235351e-85,6.66010544268427e-79,2.76837527976137e-06,4.37999250530253e-45,8.27059377288861e-22,4.19727270708669e-181,8.9875168199435e-67,4.7384156913158e-101,2.42335034204888e-12,0.002553,7.25967946361807e-14,5.51240791804121e-163,7.53055820628318e-267,6.40771380999895e-94,0.999999968,0,2.40137462016789e-216,4.86418637150176e-90,7.71412783700117e-178,8.24297978656845e-169,2.17866256382089e-112,6.06170331699438e-103,1.64923876415017e-64,1.61030351849063e-152,5.28122376210852e-131,2.37086022696611e-128,2.27244163881796e-158,1.82159083869612e-48,1.91206110136226e-146,0,6.7530796868834e-185,1.05241713122273e-265,1,1.54439455706425e-168,3.42004723656841e-58,1.7176939453896e-20,5.9029816247642e-18,2.49186635142203e-29,6.0358665157361e-126,1.64869187629311e-107,6.11158450676835e-54,1.14428752972922e-102,3.01724047084934e-221,2.76921741504831e-77,6.483895909989e-251,4.82694960647797e-38,0.994599801,3.15122290403217e-15,4.52884694085359e-120,1,2.04237844461228e-06,1,7.61103398770091e-130,1,2.16844811131131e-222,1.20251594341059e-15,6.52758891288633e-05,0.999999999,2.12160291952965e-108,1,1,1,3.08242104052243e-10,2.37678680093867e-199,0.362021667,3.35042773596264e-73,1,3.21251768126587e-78,3.1505607523102e-80,5.53809330516901e-12,2.50700370091455e-203,1.3466216115244e-78,5.14529571254182e-242,4.66503869299188e-29,7.56273244503567e-84,0,2.17082679549506e-34,4.3339399949057e-11,2.11401563859216e-45,1.63594019706126e-152,1.27184705688717e-167,6.35400113293579e-11,9.36076186785914e-101,5.15390407245888e-51,1.15068811702588e-26,0.021335481,1.40235559492147e-53,0.017403096,6.89228741436159e-05,4.48146194948378e-181,2.75132750601508e-48,3.00252624365525e-24,8.29473908908839e-100,2.31529111566145e-112,4.32337649702594e-134,1.86223033649436e-275,1.51961021839021e-68,1,0.999998375,7.8094724633069e-99,2.38768816626261e-93,4.09629583657545e-56,1.00136141077236e-19,1.33130376061644e-09,8.91194210977092e-45,1.24650474187055e-259,9.68050013703675e-96,0.000453764,3.08005001646319e-143,2.35018306727456e-107,3.26611840800234e-246,3.52478152657705e-30,6.81104748615184e-11,1.31050269128139e-06,5.44095797589647e-53,7.73152878380381e-47,6.81998145447488e-226,4.75655903416628e-75,4.29174548964694e-38,2.94202742684069e-116,3.7308908437859e-17,0.001715216,0.936563981,2.05444803726857e-65,2.29569675240621e-84,5.34356908145294e-22,2.1467869190418e-17,8.20252420820533e-107,7.77456421620804e-10,0,1.06521175380827e-45,1.26214953051661e-124,3.27093257436847e-10,1.94623980844795e-26,6.61193906543376e-17,1.73965366079943e-28,2.32058892644926e-157
XISTrB2,XIST_rB2_2781_2919,HNRNPK;DROSHA;DDX42;PUM1;DDX47,3.30684903632122e-144;2.04361335106304e-68;1.88269961633175e-116;1.23897415348223e-15;1.51654580162599e-99,6.61369807264245e-145;1.63489068085043e-68;7.530798465327e-117;1.23897415348223e-15;9.09927480975597e-100,1,350.6136;58.5477;16.1884;14.9146;9.4526,100.8688;17.6767;5.6111;5.2483;3.6925,14733,4972,48,2.63459112521594e-15,9.7241356097375e-54,1.20097474911869e-53,1.92980447619686e-36,0.723257656,1.63672951892867e-34,3.18575528800456e-09,9.22973189918647e-112,8.37785244704425e-24,6.05382780347676e-44,0.008417559,0.469200155,0.019330707,3.89523772071998e-95,6.09097123947782e-165,2.53777674406651e-50,1,4.18673025063126e-163,7.530798465327e-117,2.68977112086782e-32,9.09927480975597e-100,3.43342444549407e-106,1.05457919146781e-57,4.36762613091012e-52,3.56040168542257e-26,1.31518782797256e-82,1.48100287319083e-62,1.63489068085043e-68,5.36657475572201e-103,5.67308225711156e-16,2.45740502607646e-76,7.05995289555046e-211,8.13874622577592e-95,1.6331025743852e-146,1,2.70368140501606e-111,3.479625734058e-18,0.005578147,2.13252752322149e-05,1.9320983894446e-06,1.22535084902713e-70,9.35462257091992e-52,1.31342968403567e-19,7.53136160484142e-62,2.09273025672479e-136,4.95781028940579e-49,1.6749753965232e-147,9.77516050132549e-09,0.99999999,0.233773286,3.32267081025978e-58,1,0.000644316,1,6.61369807264245e-145,1,2.19007507154469e-93,2.11918373329351e-05,0.00671566,1,8.28129160798445e-58,1,1,1,0.027299777,9.07702950393106e-110,0.998454316,1.42310034948356e-42,0.997586188,1.33533757367843e-47,3.42091528131445e-42,0.01144761,3.47272566993679e-105,4.3662945947455e-37,1.39143883934444e-124,1.83703386087821e-20,1.82542705647765e-46,1.71640321505574e-201,1.8203210930863e-09,1.21675833287724e-09,1.73196247398787e-19,1.46350967364979e-95,3.85410424117556e-108,0.016920988,2.8930933946194e-49,6.09996981205277e-13,1.23897415348223e-15,0.738319197,4.88243461756352e-20,0.440317505,0.764660668,2.80460310403756e-84,1.00693728968818e-24,9.05266079794995e-09,4.18928827986316e-58,4.27113521094357e-55,1.2676602109367e-57,3.68727519282019e-152,9.01345290429729e-49,1,0.99991241,3.41903846725443e-39,1.72531381652392e-68,5.26663552454656e-37,1.01960030927427e-05,0.047063214,1.70939561276254e-15,2.37721877034438e-156,3.17608082023193e-43,0.753216581,1.89941882750295e-66,7.64125748369909e-30,1.23868132975194e-151,1.8678767618974e-21,0.000155224,0.949721286,6.21888666685477e-32,4.46585903306558e-19,3.54023013052486e-142,1.93960557584643e-22,7.95271679057786e-23,7.95570988963214e-49,0.000314829,0.999610208,0.712832629,5.99143536445769e-35,9.43389016955806e-43,9.27182311648722e-13,7.10956003863784e-05,5.28060499031086e-58,0.041857235,6.62509398088482e-185,7.21528547983187e-23,1.63556151712755e-56,0.000622905,2.03350378052801e-11,0.000158324,4.24381359150958e-14,1.46514054761573e-74
XISTrD,XIST_rD_6113_8140,HNRNPK;HNRNPU;DDX42;HNRNPL;HNRNPA1,1.33339338409254e-180;0.000977114961441336;3.25460906056985e-10;1.7025154724297e-51;0.876096931508768,2.66678676818509e-181;0.000781691969153069;1.95276543634191e-10;6.81006188971878e-52;0.876096931508768,0.8,1372.0742;274.1589;132.548;117.404;69.279,47.4764;10.2866;5.4898;4.9768;3.3467,12393,3917,251,0.052967769,1.94814302213793e-09,1.51160762240929e-07,0.000885665,0.179502404,3.2556367897298e-06,0.347342578,0.000116285,4.43787898837453e-08,7.45432662426096e-10,0.782439611,0.995433733,0.32726626,1.39071013887438e-20,1.15725852348933e-24,6.63381785316992e-05,0.712246953,1.87274507928868e-05,1.95276543634191e-10,0.09268788,1.21944670339082e-12,2.49835390958754e-12,5.45909711950116e-11,3.29776977438601e-15,0.005377698,9.96958581612401e-20,6.44528517809577e-14,8.27566072900274e-05,2.7870027057156e-05,0.00152033,0.006761998,0.000217734,1.17031269768002e-28,3.74078143564538e-31,1,1.39924418223801e-14,0.906913208,0.000376168,7.85919417838296e-06,0.999494176,0.000296097,0.682835192,0.001174986,1.67182122286559e-09,7.3668101601581e-06,0.002276847,7.9304392858871e-15,0.031901988,0.999999926,0.972267059,5.39688363411682e-09,1,0.876096932,1,2.66678676818509e-181,6.81006188971878e-52,1.77857059334822e-11,0.00024005,0.000781692,4.9068052569257e-16,2.18387322127386e-23,0.890948349,1,4.86189392338651e-12,0.999386993,4.15724450188905e-11,0.068441033,4.31052383403584e-07,4.99643911575469e-25,6.00839489840994e-10,3.18449925376266e-05,0.999917907,2.04464921879724e-15,0.000958658,1.88301644224511e-07,0.564985577,6.02453529980769e-07,1.40368222197877e-42,0.026135043,0.213016917,1.45523391256656e-06,4.12496546384863e-36,6.70099548075576e-15,0.96261106,3.22521731354582e-12,4.10435777465111e-16,0.419778801,0.004148991,2.99139379972628e-05,0.000282573,0.000621297,0.006958668,1.51400682574811e-05,0.998958091,0.40502858,4.32747696128312e-07,0.000985516,2.56667625439183e-14,0.209654747,1,0.956249557,4.55924980856155e-05,0.001472171,6.47315487583814e-05,0.020902132,0.007033646,2.69441624213299e-06,4.77760066081532e-07,4.06590706144519e-14,0.018182998,0.000322083,1.69476289395338e-07,5.99016609747249e-06,0.13029576,0.439594718,0.45514812,3.07395645642865e-44,0.000163921,2.16440822514111e-19,0.86916791,2.03826686180963e-06,3.01098494162883e-09,3.12231901165803e-10,0.996862225,0.006131671,0.045480998,7.11451252744718e-06,0.079028184,0.875370852,9.11015655142799e-06,0.999999831,3.76055502776931e-19,1.94710736184245e-12,9.07769232207646e-05,0.171363648,0.015856249,0.886733679,0.897342675,3.27902554328352e-18
XISTrE,XIST_rE_11922_12586,PTBP1;MATR3;MBNL1;TIA1;SND1,3.60244006427112e-196;0;0.991930576119699;3.0593742400845e-104;1.26789672368952e-20,1.44097602570845e-196;0;0.991930576119699;1.8356245440507e-104;1.01431737895162e-20,0.8,3717.4101;1321.115;302.6957;201.5005;145.1482,173.3181;62.2394;15.0313;10.3404;7.7282,34627,4581,213,0.938481769,0.99919149,0.999984288,6.83089881065181e-18,0.969488084,0.999999595,1,0.962100119,0.612012642,0.284816259,0.486299899,0.761656374,0.882758197,0.999999999,0.999763332,0.514509549,0.008357532,2.43389057720237e-05,0.999999103,0.454007438,0.947571236,0.999702316,0.989487914,0.977394913,0.999184049,0.086480311,0.917379588,0.999991398,0.998160369,0.974696248,0.304505411,0.999999767,0.948939807,3.71020636663381e-06,1.95905887203915e-90,1,0.900595158,3.27011549424845e-163,0.996699645,0.999996269,0.287782455,0.907201355,1,0.05093744,0.775125727,0.987557551,1.20997337193765e-07,0.008572589,0.050920292,0.012708092,1,1,0.999360119,1,1.57571743214561e-58,7.15262111411132e-60,1.85434902505183e-150,0.175899858,1,1.97888764965096e-12,0.000292724,1,1,1.75835521409463e-258,1,0.99999983,2.82410325792562e-08,0.998080026,0,0.991930576,0.999984124,1,9.4199291333508e-06,0.282424514,0.015609166,1,0.994277238,7.64784945768334e-40,0.056856522,0.85476671,0.999612875,0.730240003,0.998162193,0.928504299,2.16668712566451e-07,1.44097602570845e-196,0.513308547,7.6353180637606e-05,6.29362079748294e-05,4.33805731242151e-47,3.43772391690653e-06,0.99999915,3.55119604860221e-24,1,0.97182803,0.873391307,0.003131154,0.969147484,1,1,1,0.115818508,0.999999972,0.965900319,0.324295523,0.736956777,0.158561872,1,0.198331546,1.01431737895162e-20,0.873443063,0.000114883,0.999999943,0.985367957,0.998111391,1,2.75679318781729e-06,0.388168156,1.8356245440507e-104,0.738981756,3.17039680207857e-10,1.24158571355705e-29,6.33298216078946e-94,0.058842498,0.999999944,0.999999951,0.99545697,0.999999677,0.981137737,0.999911362,0.999999976,1,2.14717076110071e-06,0.999999998,1,0.961578273,1.33480978120869e-05,0.963073574,5.20531438065327e-09
NEAT1chk1,NEAT1chk1_0_1000,U2AF2;CSTF2T;U2AF1;HNRNPU;HNRNPA1,1.10449783655619e-71;0;0;0;0,1.10449783655619e-71;0;0;0;0,1,4459.6314;3855.2714;3822.4944;3516.2574;3195.4836,28.4276;24.7107;24.5091;22.6257;20.6528,33821,5638,604,0,0,0,0,3.54323809942332e-102,0,0,0,0,0,0,7.28376084628507e-12,5.72240173798469e-301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.92062836714016e-27,0,0,0,0,0,0,0,0,0,3.16516734778304e-113,1.72621697524482e-46,2.97171197132153e-250,0,1,0,1,0,1,0,0,0,3.66386477559678e-09,0,2.19592258915816e-69,1,1,1.63219953381792e-188,0,6.75016679106844e-75,0,1,0,0,1.34091290252084e-111,0,0,0,0,0,0,1.49257815031873e-85,5.57471289220247e-14,0,0,0,4.87665804261869e-71,0,6.293949655347e-227,0,4.25502332696467e-06,1.26111833090577e-259,1,0,0,2.53520473337449e-109,1.6790153810422e-46,0,0,0,0,1.06025953649052e-286,5.98438561482982e-13,0.999997802,1.31061733327024e-178,0,4.79927352364302e-216,3.02469565357903e-296,0,1.10679050418743e-140,0,0,3.59612082012035e-88,0,0,0,3.65063875746226e-68,1.04230490929308e-150,0,0,0,0,0,0,0,1.10449783655619e-71,1.08593710315397e-240,3.52291010853921e-220,0,0,1.0457162307407e-226,2.24685957105344e-306,0,0,0,0,0,0,0,1.85781746158682e-268,5.19725585846085e-303,0
NEAT1chk9,NEAT1chk9_8000_9000,KHSRP;MATR3;ELAVL1;HNRNPL;U2AF2,0;0;0;0;1.04006207444742e-72,0;0;0;0;1.04006207444742e-72,1,353.4404;269.3047;244.1902;220.9785;144.8426,9.8276;7.7262;7.099;6.5192;4.6176,142492,5010,609,1,1,1,1,1,1,1,1,1,1,1,0.000185455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2.7030616453899e-170,1,1,1,1,1,1,1,1,1,1,6.35925158713609e-38,1,1,1.93438515136728e-05,1,5.19901798375597e-14,1,0,1,1,1,1.23338264371296e-06,1,1,0,0,1,1,0.999999709,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.28369925760404e-37,1,0,1,1,1,1,1,1,1,1,1,1,0.999951902,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.04006207444742e-72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NEAT1chk10,NEAT1chk10_9000_10000,KHSRP;ELAVL1;U2AF2;MATR3;CPEB4,0;0;3.70932347706136e-143;0;2.47834626600185e-10,0;0;2.96745878164909e-143;0;2.47834626600185e-10,1,1547.081;469.0702;377.5445;334.5221;330.3868,54.3079;17.1628;14.0091;12.5267;12.3842,152188,5056,556,1,1,1,1,1,1,1,1,1,1,1,2.47834626600185e-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,3.28309643254187e-246,1,1,1,1,1,1,1,1,1,1,1.24662271212572e-47,1,1,1.50577699140539e-07,1,3.22469155892778e-33,1,0,1,1,1,2.59166038537969e-24,1,1,0,0,1,1,0.956207998,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.14077015922794e-47,1,0,1,1,0.999959408,1,1,1,1,1,1,1,0.281140062,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.96745878164909e-143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NEAT1chk11,NEAT1chk11_10000_11000,U2AF2;ELAVL1;KHSRP;HNRNPL;TIA1,1.9900726746195e-131;0;0;0;1,1.5920581396956e-131;0;0;0;1,0.8,281.8054;270.1972;264.5384;220.3685;53.3604,10.1112;9.7359;9.5529;8.1249;2.7252,142609,5011,601,1,1,1,1,1,1,1,1,1,1,1,0.01855596,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,5.67012864018373e-101,1,1,1,1,1,1,1,1,1,1,5.53080441303102e-22,1,1,0.000543418,1,6.41345299458507e-177,1,0,1,1,1,5.06156182159303e-15,1,1,0,0,1,1,0.999999971,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.91539275001279e-41,1,0,1,1,1,1,1,1,1,1,1,1,0.97803535,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5920581396956e-131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
