"RBP","experiment","exp_count","control","ctrl_count","exp_name","ctrl_name"
"AARS","AARS_strand-specific_ENCFF502RSZ_ENCFF692AEZ_f128_f32_+_peaks.bam",2019929,"ENCFF273HDK_strand-specific_f128_f32_+_peaks.bam",20807594,"AARS_eCLIP","AARS_control"
"AATF","AATF_strand-specific_ENCFF473EVT_ENCFF645UGJ_f128_f32_+_peaks.bam",2115865,"ENCFF064UJY_strand-specific_f128_f32_+_peaks.bam",19297346,"AATF_eCLIP","AATF_control"
"ABCF1","ABCF1_strand-specific_ENCFF811EXB_ENCFF983ABI_f128_f32_+_peaks.bam",1039660,"ENCFF499MQV_strand-specific_f128_f32_+_peaks.bam",5891730,"ABCF1_eCLIP","ABCF1_control"
"ADAT1","ADAT1_strand-specific-reverse_ENCFF863PXE_ENCFF409XLY_F16_+_peaks.bam",5613713,"ENCFF237CPS_strand-specific-reverse_ENCFF838PYM_strand-specific-reverse_F16_+_peaks.bam",11594974,"ADAT1_eCLIP","ADAT1_control"
"AGGF1","AGGF1_strand-specific_ENCFF604NYA_ENCFF251DMV_f128_f32_+_peaks.bam",8371263,"ENCFF132SLV_strand-specific_f128_f32_+_peaks.bam",17563550,"AGGF1_eCLIP","AGGF1_control"
"AKAP1","AKAP1_strand-specific_ENCFF016YOC_ENCFF710RUU_f128_f32_+_peaks.bam",2288463,"ENCFF091PQO_strand-specific_f128_f32_+_peaks.bam",8933254,"AKAP1_eCLIP","AKAP1_control"
"AKAP8L","AKAP8L_strand-specific_ENCFF941SIX_ENCFF143KCR_f128_f32_+_peaks.bam",7070179,"ENCFF013ZUT_strand-specific_f128_f32_+_peaks.bam",13607308,"AKAP8L_eCLIP","AKAP8L_control"
"APEX1","APEX1_strand-specific-reverse_ENCFF111VDP_ENCFF504OBG_F16_+_peaks.bam",1604525,"ENCFF216GUI_strand-specific-reverse_ENCFF599OGU_strand-specific-reverse_F16_+_peaks.bam",3811628,"APEX1_eCLIP","APEX1_control"
"APOBEC3C","APOBEC3C_strand-specific_ENCFF943EZJ_ENCFF284TAX_f128_f32_+_peaks.bam",2711191,"ENCFF854OMC_strand-specific_f128_f32_+_peaks.bam",4379138,"APOBEC3C_eCLIP","APOBEC3C_control"
"AQR","AQR_strand-specific_ENCFF374DAW_ENCFF436KLO_f128_f32_+_peaks.bam",5676588,"ENCFF899ROO_strand-specific_f128_f32_+_peaks.bam",15998062,"AQR_eCLIP","AQR_control"
"BUD13","BUD13_strand-specific_ENCFF563BNB_ENCFF086LQG_f128_f32_+_peaks.bam",17177602,"ENCFF102FKE_strand-specific_f128_f32_+_peaks.bam",18200388,"BUD13_eCLIP","BUD13_control"
"CPEB4","CPEB4_strand-specific_ENCFF216ENA_ENCFF038VZO_f128_f32_+_peaks.bam",1794616,"ENCFF790WEA_strand-specific_f128_f32_+_peaks.bam",8286924,"CPEB4_eCLIP","CPEB4_control"
"CPSF6","CPSF6_strand-specific_ENCFF751GZQ_ENCFF550ZSZ_f128_f32_+_peaks.bam",4506747,"ENCFF842FFD_strand-specific_f128_f32_+_peaks.bam",5633298,"CPSF6_eCLIP","CPSF6_control"
"CSTF2T","CSTF2T_strand-specific_ENCFF859CZM_ENCFF513VDW_f128_f32_+_peaks.bam",11491169,"ENCFF234QSA_strand-specific_f128_f32_+_peaks.bam",10476896,"CSTF2T_eCLIP","CSTF2T_control"
"DDX1","DDX1_strand-specific-reverse_ENCFF184QVM_ENCFF484APP_F16_+_peaks.bam",6477621,"ENCFF469LIC_strand-specific-reverse_ENCFF809EQN_strand-specific-reverse_F16_+_peaks.bam",6577850,"DDX1_eCLIP","DDX1_control"
"DDX21","DDX21_strand-specific_ENCFF455REV_ENCFF655QSG_f128_f32_+_peaks.bam",2361850,"ENCFF212EDY_strand-specific_f128_f32_+_peaks.bam",6787406,"DDX21_eCLIP","DDX21_control"
"DDX24","DDX24_strand-specific_ENCFF768FYI_ENCFF023VLF_f128_f32_+_peaks.bam",4037268,"ENCFF407HUR_strand-specific_f128_f32_+_peaks.bam",15540588,"DDX24_eCLIP","DDX24_control"
"DDX3X","DDX3X_strand-specific_ENCFF969SMQ_ENCFF343OME_f128_f32_+_peaks.bam",5180477,"ENCFF057VZS_strand-specific_f128_f32_+_peaks.bam",10881440,"DDX3X_eCLIP","DDX3X_control"
"DDX42","DDX42_strand-specific_ENCFF220NDA_ENCFF106FPU_f128_f32_+_peaks.bam",3350406,"ENCFF378IEN_strand-specific_f128_f32_+_peaks.bam",9207904,"DDX42_eCLIP","DDX42_control"
"DDX43","DDX43_strand-specific-reverse_ENCFF006VBB_ENCFF781FNG_F16_+_peaks.bam",10939305,"ENCFF280KEZ_strand-specific-reverse_ENCFF730DCR_strand-specific-reverse_F16_+_peaks.bam",7364414,"DDX43_eCLIP","DDX43_control"
"DDX47","DDX47_strand-specific-reverse_ENCFF782BXA_ENCFF433TOE_F16_+_peaks.bam",2468504,"ENCFF655QAC_strand-specific-reverse_ENCFF858EZY_strand-specific-reverse_F16_+_peaks.bam",3194336,"DDX47_eCLIP","DDX47_control"
"DDX51","DDX51_strand-specific_ENCFF931ZGZ_ENCFF486XDM_f128_f32_+_peaks.bam",2603385,"ENCFF224JPZ_strand-specific_f128_f32_+_peaks.bam",13818222,"DDX51_eCLIP","DDX51_control"
"DDX52","DDX52_strand-specific_ENCFF529NNX_ENCFF729XQQ_f128_f32_+_peaks.bam",4566335,"ENCFF953PIV_strand-specific_f128_f32_+_peaks.bam",17303448,"DDX52_eCLIP","DDX52_control"
"DDX55","DDX55_strand-specific_ENCFF162LAM_ENCFF553EAL_f128_f32_+_peaks.bam",4929987,"ENCFF252ZZN_strand-specific_f128_f32_+_peaks.bam",12121050,"DDX55_eCLIP","DDX55_control"
"DDX6","DDX6_strand-specific_ENCFF515CUN_ENCFF242MDU_f128_f32_+_peaks.bam",3053479,"ENCFF593SPI_strand-specific_f128_f32_+_peaks.bam",11796366,"DDX6_eCLIP","DDX6_control"
"DGCR8","DGCR8_strand-specific_ENCFF843HDQ_ENCFF023RGT_f128_f32_+_peaks.bam",4333418,"ENCFF379FKC_strand-specific_f128_f32_+_peaks.bam",6516202,"DGCR8_eCLIP","DGCR8_control"
"DHX30","DHX30_strand-specific_ENCFF845MNN_ENCFF445FRC_f128_f32_+_peaks.bam",3378797,"ENCFF703NSH_strand-specific_f128_f32_+_peaks.bam",21936392,"DHX30_eCLIP","DHX30_control"
"DROSHA","DROSHA_strand-specific_ENCFF773TEA_ENCFF233UZH_f128_f32_+_peaks.bam",4189597,"ENCFF826DXS_strand-specific_f128_f32_+_peaks.bam",27635010,"DROSHA_eCLIP","DROSHA_control"
"EEF2","EEF2_strand-specific-reverse_ENCFF641FYU_ENCFF590IGQ_F16_+_peaks.bam",1882788,"ENCFF130MAI_strand-specific-reverse_ENCFF756QRD_strand-specific-reverse_F16_+_peaks.bam",7749980,"EEF2_eCLIP","EEF2_control"
"EFTUD2","EFTUD2_strand-specific_ENCFF187FER_ENCFF703QKL_f128_f32_+_peaks.bam",4779780,"ENCFF640KTQ_strand-specific_f128_f32_+_peaks.bam",16559098,"EFTUD2_eCLIP","EFTUD2_control"
"EIF3G","EIF3G_strand-specific_ENCFF724QGF_ENCFF605PZM_f128_f32_+_peaks.bam",1170172,"ENCFF759JDI_strand-specific_f128_f32_+_peaks.bam",2666166,"EIF3G_eCLIP","EIF3G_control"
"EIF4E","EIF4E_strand-specific-reverse_ENCFF967PSC_ENCFF748VHF_F16_+_peaks.bam",2128070,"ENCFF568VFK_strand-specific-reverse_ENCFF717CGC_strand-specific-reverse_F16_+_peaks.bam",5033183,"EIF4E_eCLIP","EIF4E_control"
"EIF4G2","EIF4G2_strand-specific_ENCFF996PFW_ENCFF626NQT_f128_f32_+_peaks.bam",3523608,"ENCFF956SAT_strand-specific_f128_f32_+_peaks.bam",8031506,"EIF4G2_eCLIP","EIF4G2_control"
"ELAC2","ELAC2_strand-specific-reverse_ENCFF871ZNQ_ENCFF121HUI_F16_+_peaks.bam",14815559,"ENCFF163KLQ_strand-specific-reverse_ENCFF920UJU_strand-specific-reverse_F16_+_peaks.bam",11215354,"ELAC2_eCLIP","ELAC2_control"
"ELAVL1","ELAVL1_strand-specific-reverse_ENCFF085ZSE_ENCFF245TBA_F16_+_peaks.bam",21658660,"ENCFF162XUI_strand-specific-reverse_ENCFF604KNU_strand-specific-reverse_F16_+_peaks.bam",6502059,"ELAVL1_eCLIP","ELAVL1_control"
"EWSR1","EWSR1_strand-specific_ENCFF842YPC_ENCFF975NJX_f128_f32_+_peaks.bam",6721025,"ENCFF810PWF_strand-specific_f128_f32_+_peaks.bam",8268998,"EWSR1_eCLIP","EWSR1_control"
"EXOSC10","EXOSC10_strand-specific-reverse_ENCFF338WDB_ENCFF267USI_F16_+_peaks.bam",3992692,"ENCFF020RMT_strand-specific-reverse_ENCFF650HUV_strand-specific-reverse_F16_+_peaks.bam",6639046,"EXOSC10_eCLIP","EXOSC10_control"
"EXOSC5","EXOSC5_strand-specific_ENCFF344ZBI_ENCFF925JID_f128_f32_+_peaks.bam",7312234,"ENCFF332UNI_strand-specific_f128_f32_+_peaks.bam",9003550,"EXOSC5_eCLIP","EXOSC5_control"
"FAM120A","FAM120A_strand-specific_ENCFF184QYU_ENCFF499ZKI_f128_f32_+_peaks.bam",4970367,"ENCFF948CVQ_strand-specific_f128_f32_+_peaks.bam",10196598,"FAM120A_eCLIP","FAM120A_control"
"FASTKD2","FASTKD2_strand-specific_ENCFF769KHB_ENCFF278SLD_f128_f32_+_peaks.bam",4053260,"ENCFF367FDD_strand-specific_f128_f32_+_peaks.bam",23470564,"FASTKD2_eCLIP","FASTKD2_control"
"FMR1","FMR1_strand-specific-reverse_ENCFF116JQY_ENCFF060SQN_F16_+_peaks.bam",3158841,"ENCFF730RDB_strand-specific-reverse_ENCFF862NOB_strand-specific-reverse_F16_+_peaks.bam",2408038,"FMR1_eCLIP","FMR1_control"
"FTO","FTO_strand-specific_ENCFF462TDG_ENCFF666GWV_f128_f32_+_peaks.bam",5091301,"ENCFF506OAM_strand-specific_f128_f32_+_peaks.bam",12034546,"FTO_eCLIP","FTO_control"
"FUS","FUS_strand-specific_ENCFF210ZRQ_ENCFF341YQM_f128_f32_+_peaks.bam",22875407,"ENCFF447LJU_strand-specific_f128_f32_+_peaks.bam",8385282,"FUS_eCLIP","FUS_control"
"FXR1","FXR1_strand-specific-reverse_ENCFF269EKI_ENCFF212YVC_F16_+_peaks.bam",2302216,"ENCFF066WHM_strand-specific-reverse_ENCFF111AQC_strand-specific-reverse_F16_+_peaks.bam",4821517,"FXR1_eCLIP","FXR1_control"
"FXR2","FXR2_strand-specific-reverse_ENCFF301ANL_ENCFF272ZMQ_F16_+_peaks.bam",3276384,"ENCFF909PYJ_strand-specific-reverse_ENCFF970KWZ_strand-specific-reverse_F16_+_peaks.bam",8024028,"FXR2_eCLIP","FXR2_control"
"GARS","GARS_strand-specific-reverse_ENCFF548HWJ_ENCFF852FHN_F16_+_peaks.bam",1298285,"ENCFF327VVV_strand-specific-reverse_ENCFF807OEK_strand-specific-reverse_F16_+_peaks.bam",3463460,"GARS_eCLIP","GARS_control"
"GEMIN5","GEMIN5_strand-specific_ENCFF091VCD_ENCFF072KEM_f128_f32_+_peaks.bam",4046233,"ENCFF945AUF_strand-specific_f128_f32_+_peaks.bam",29852472,"GEMIN5_eCLIP","GEMIN5_control"
"GNL3","GNL3_strand-specific_ENCFF484XJQ_ENCFF372XJQ_f128_f32_+_peaks.bam",1550822,"ENCFF651VHA_strand-specific_f128_f32_+_peaks.bam",12912642,"GNL3_eCLIP","GNL3_control"
"GPKOW","GPKOW_strand-specific_ENCFF739BZK_ENCFF966HIC_f128_f32_+_peaks.bam",4036768,"ENCFF333OLY_strand-specific_f128_f32_+_peaks.bam",17547154,"GPKOW_eCLIP","GPKOW_control"
"GRWD1","GRWD1_strand-specific_ENCFF330PVJ_ENCFF217MRO_f128_f32_+_peaks.bam",8350638,"ENCFF727JVX_strand-specific_f128_f32_+_peaks.bam",5274178,"GRWD1_eCLIP","GRWD1_control"
