"category","splice","hmseekrunique_lensum","nonsig_lensum","funcdomain","pthreshold","fisherp","fisherp_bias","sigperct","perct_diff"
"activator","unspliced",5215,11014,"ASAR6-141chk1","p0.05",0.00134979111233846,"repressor",32.1338344938074,-1.65374300063641
"repressor","unspliced",5777,11321,"ASAR6-141chk1","p0.05",0.00134979111233846,"repressor",33.7875774944438,-1.65374300063641
"activator","spliced",131,667,"ASAR6-141chk1","p0.05",0.043386348668991,"repressor",16.4160401002506,-3.45150956862355
"repressor","spliced",300,1210,"ASAR6-141chk1","p0.05",0.043386348668991,"repressor",19.8675496688742,-3.45150956862355
"activator","unspliced",5910,10319,"ASAR6-141chk2","p0.05",2.88879343298778e-07,"repressor",36.4162918232793,-2.73092698703828
"repressor","unspliced",6693,10404,"ASAR6-141chk2","p0.05",2.88879343298778e-07,"repressor",39.1472188103176,-2.73092698703828
"activator","spliced",190,608,"ASAR6-141chk2","p0.05",0.0155885312028733,"repressor",23.8095238095238,-4.73352254809208
"repressor","spliced",431,1079,"ASAR6-141chk2","p0.05",0.0155885312028733,"repressor",28.5430463576159,-4.73352254809208
"activator","unspliced",5009,11220,"ASAR6-141chk3","p0.05",0.152543935934658,"",30.8645018177337,-0.731684647728091
"repressor","unspliced",5402,11695,"ASAR6-141chk3","p0.05",0.152543935934658,"",31.5961864654618,-0.731684647728091
"activator","spliced",118,681,"ASAR6-141chk3","p0.05",5.67713478285566e-07,"repressor",14.7684605757196,-8.74147319911479
"repressor","spliced",355,1155,"ASAR6-141chk3","p0.05",5.67713478285566e-07,"repressor",23.5099337748344,-8.74147319911479
"activator","unspliced",5810,10419,"ASAR6-141chk4","p0.05",2.03263757246405e-13,"repressor",35.8001109125639,-3.90860991565155
"repressor","unspliced",6789,10308,"ASAR6-141chk4","p0.05",2.03263757246405e-13,"repressor",39.7087208282155,-3.90860991565155
"activator","spliced",177,622,"ASAR6-141chk4","p0.05",3.71243750438333e-05,"repressor",22.1526908635795,-8.04598463310927
"repressor","spliced",456,1054,"ASAR6-141chk4","p0.05",3.71243750438333e-05,"repressor",30.1986754966887,-8.04598463310927
"activator","unspliced",5697,10532,"ASAR6-141chk5","p0.05",7.49512817811202e-10,"activator",35.1038264834555,3.18594615357311
"repressor","unspliced",5457,11640,"ASAR6-141chk5","p0.05",7.49512817811202e-10,"activator",31.9178803298824,3.18594615357311
"activator","spliced",89,710,"ASAR6-141chk5","p0.05",7.20310019397288e-12,"repressor",11.1389236545682,-11.3776326368225
"repressor","spliced",340,1170,"ASAR6-141chk5","p0.05",7.20310019397288e-12,"repressor",22.5165562913907,-11.3776326368225
"activator","unspliced",98,16131,"Blustr-5ss","p0.05",0.109491201857538,"",0.603857292501078,-0.144768277741055
"repressor","unspliced",128,16970,"Blustr-5ss","p0.05",0.109491201857538,"",0.748625570242134,-0.144768277741055
"activator","spliced",12,786,"Blustr-5ss","p0.05",0.0688456727860548,"",1.50375939849624,0.841507742867101
"repressor","spliced",10,1500,"Blustr-5ss","p0.05",0.0688456727860548,"",0.662251655629139,0.841507742867101
"activator","unspliced",497,15733,"e-Ccnd1","p0.05",0.000108799824203682,"repressor",3.06223043746149,-0.774700018174001
"repressor","unspliced",656,16441,"e-Ccnd1","p0.05",0.000108799824203682,"repressor",3.83693045563549,-0.774700018174001
"activator","spliced",29,769,"e-Ccnd1","p0.05",1,"",3.63408521303258,-0.0745240584905971
"repressor","spliced",56,1454,"e-Ccnd1","p0.05",1,"",3.70860927152318,-0.0745240584905971
"activator","unspliced",665,15564,"e-ID1","p0.05",4.31163815194017e-07,"repressor",4.09760305625732,-1.1720191217752
"repressor","unspliced",901,16197,"e-ID1","p0.05",4.31163815194017e-07,"repressor",5.26962217803252,-1.1720191217752
"activator","spliced",80,719,"e-ID1","p0.05",0.22041892772352,"",10.0125156445557,1.60191961806563
"repressor","spliced",127,1383,"e-ID1","p0.05",0.22041892772352,"",8.41059602649007,1.60191961806563
"activator","unspliced",347,15883,"e-Klf6","p0.05",0.00558154131136192,"repressor",2.13801601971657,-0.464779792414209
"repressor","unspliced",445,16652,"e-Klf6","p0.05",0.00558154131136192,"repressor",2.60279581213078,-0.464779792414209
"activator","spliced",20,779,"e-Klf6","p0.05",0.772415042942006,"",2.50312891113892,0.251473281999851
