"g1_geneID","g1_geneName","g1_geneType","NEAT1_r","NEAT1_perct","ttl_pos_r","ttl_neg_r","cor_bias"
"ENSG00000002834.19","LASP1","protein_coding",0.370771574439769,67.9901558654635,5,7,-2
"ENSG00000006062.18","MAP3K14","protein_coding",0.0671956897480497,13.1255127153404,15,3,12
"ENSG00000006576.17","PHTF2","protein_coding",0.429114697269434,76.8990976210008,0,1,-1
"ENSG00000008083.14","JARID2","protein_coding",0.634331286387406,97.5553732567678,3,0,3
"ENSG00000008130.15","NADK","protein_coding",0.566451034468386,93.5192780968007,16,6,10
"ENSG00000009954.11","BAZ1B","protein_coding",0.272944291550564,50.8941755537326,3,6,-3
"ENSG00000011243.19","AKAP8L","protein_coding",0.314009566094687,58.408531583265,6,1,5
"ENSG00000011376.12","LARS2","protein_coding",0.0708078185367699,13.5684987694832,3,2,1
"ENSG00000011485.15","PPP5C","protein_coding",0.343395598814515,63.1501230516817,4,8,-4
"ENSG00000026297.17","RNASET2","protein_coding",0.575598764443549,94.3068088597211,2,2,0
"ENSG00000028137.19","TNFRSF1B","protein_coding",0.348952952033183,64.0032813781788,11,1,10
"ENSG00000029534.22","ANK1","protein_coding",0.580554043522248,94.7169811320755,5,0,5
"ENSG00000040487.13","SLC66A1","protein_coding",0.585879202320139,95.0615258408532,6,0,6
"ENSG00000042062.13","RIPOR3","protein_coding",0.660314556389466,98.5561936013126,0,0,0
"ENSG00000055118.18","KCNH2","protein_coding",0.498402014280836,85.9557013945857,1,0,1
"ENSG00000055483.20","USP36","protein_coding",0.527087130131854,89.5652173913043,5,1,4
"ENSG00000060971.19","ACAA1","protein_coding",0.384342939685716,70.090237899918,6,3,3
"ENSG00000061273.18","HDAC7","protein_coding",0.498564130379699,85.9885151763741,12,2,10
"ENSG00000062822.16","POLD1","protein_coding",0.442609330608245,78.9335520918786,7,3,4
"ENSG00000063245.15","EPN1","protein_coding",0.574961131971247,94.2904019688269,21,2,19
"ENSG00000063587.15","ZNF275","protein_coding",0.285822759108696,53.1911402789171,0,8,-8
"ENSG00000067057.19","PFKP","protein_coding",0.603987549533787,96.2756357670222,3,1,2
"ENSG00000067225.21","PKM","protein_coding",0.243385376605778,44.8236259228876,2,7,-5
"ENSG00000070413.21","DGCR2","protein_coding",0.619464902754833,97.0959803117309,7,2,5
"ENSG00000070476.15","ZXDC","protein_coding",0.542049101430015,91.1730926989336,7,1,6
"ENSG00000070814.22","TCOF1","protein_coding",0.252302086629327,46.5791632485644,0,0,0
"ENSG00000071539.14","TRIP13","protein_coding",0.134844563732474,23.1173092698934,3,11,-8
"ENSG00000072310.18","SREBF1","protein_coding",0.57874540920645,94.5365053322395,10,0,10
"ENSG00000073169.15","SELENOO","protein_coding",0.457509408860777,81.0336341263331,24,1,23
"ENSG00000073417.15","PDE8A","protein_coding",0.574454480007648,94.2411812961444,8,3,5
"ENSG00000073792.16","IGF2BP2","protein_coding",0.439964863155134,78.5890073831009,2,1,1
"ENSG00000074201.9","CLNS1A","protein_coding",0.171382948394067,30.1066447908121,0,6,-6
"ENSG00000074370.19","ATP2A3","protein_coding",0.579146273207142,94.5857260049221,6,5,1
"ENSG00000075643.6","MOCOS","protein_coding",0.379087750454925,69.1222313371616,4,0,4
"ENSG00000078304.20","PPP2R5C","protein_coding",0.597100324795094,95.8982772764561,5,2,3
"ENSG00000079805.19","DNM2","protein_coding",0.50236952893701,86.447908121411,12,5,7
"ENSG00000085733.16","CTTN","protein_coding",0.235451383623603,43.3798195242002,1,3,-2
"ENSG00000086232.13","EIF2AK1","protein_coding",0.520175864349509,88.597210828548,5,1,4
"ENSG00000087157.19","PGS1","protein_coding",0.432506656431767,77.4569319114028,16,1,15
"ENSG00000087269.16","NOP14","protein_coding",0.28795858800101,53.5684987694832,3,5,-2
"ENSG00000090372.15","STRN4","protein_coding",0.52809763495084,89.6800656275636,8,5,3
"ENSG00000090861.17","AARS1","protein_coding",0.445953200327676,79.4093519278097,3,6,-3
"ENSG00000093010.15","COMT","protein_coding",0.576156257903226,94.3560295324036,6,1,5
"ENSG00000093217.11","XYLB","protein_coding",0.474676199696272,83.2321575061526,3,1,2
"ENSG00000095951.18","HIVEP1","protein_coding",0.535138916131756,90.4183757178015,1,0,1
"ENSG00000096433.11","ITPR3","protein_coding",0.349415894977,64.0689089417555,3,6,-3
"ENSG00000096968.14","JAK2","protein_coding",0.432809326386372,77.5389663658737,12,3,9
"ENSG00000099889.14","ARVCF","protein_coding",0.588076754746959,95.2748154224774,12,2,10
"ENSG00000100029.18","PES1","protein_coding",0.191000351790096,33.9622641509434,2,12,-10
"ENSG00000100034.14","PPM1F","protein_coding",0.485865049010492,84.6431501230517,8,1,7
"ENSG00000100084.14","HIRA","protein_coding",0.655368320991939,98.3429040196883,12,2,10
"ENSG00000100280.17","AP1B1","protein_coding",0.358353965047333,65.890073831009,7,2,5
"ENSG00000100376.12","FAM118A","protein_coding",0.523175554104631,89.0566037735849,0,0,0
"ENSG00000100441.10","KHNYN","protein_coding",0.456270029387096,80.8531583264971,22,5,17
"ENSG00000100711.14","ZFYVE21","protein_coding",0.556375624159297,92.7645611156686,5,5,0
"ENSG00000100749.9","VRK1","protein_coding",0.0331426350737588,9.25348646431501,1,0,1
"ENSG00000100991.12","TRPC4AP","protein_coding",0.741293874835115,99.8523379819524,4,3,1
"ENSG00000101057.16","MYBL2","protein_coding",0.425062977350896,76.4068908941755,0,1,-1
"ENSG00000101152.12","DNAJC5","protein_coding",0.583267128035041,94.8810500410172,10,3,7
"ENSG00000101255.13","TRIB3","protein_coding",0.501949650739172,86.3330598851518,0,0,0
"ENSG00000102034.18","ELF4","protein_coding",0.544492274763002,91.5340442986054,8,5,3
"ENSG00000103126.15","AXIN1","protein_coding",0.39165708073358,71.1894995898277,21,6,15
"ENSG00000103264.18","FBXO31","protein_coding",0.560438614097334,93.0598851517637,7,1,6
"ENSG00000103319.12","EEF2K","protein_coding",0.42762054631288,76.636587366694,5,0,5
"ENSG00000103653.17","CSK","protein_coding",0.265140791011857,49.1222313371616,17,3,14
"ENSG00000104365.16","IKBKB","protein_coding",0.414130754122792,74.667760459393,5,3,2
"ENSG00000104689.10","TNFRSF10A","protein_coding",0.301817557208844,56.3412633305988,4,1,3
"ENSG00000104853.16","CLPTM1","protein_coding",0.386963829285404,70.5988515176374,9,0,9
"ENSG00000104897.10","SF3A2","protein_coding",0.433374609910329,77.6538146021329,18,1,17
"ENSG00000105063.19","PPP6R1","protein_coding",0.564399589107539,93.4208367514356,29,10,19
"ENSG00000105221.18","AKT2","protein_coding",0.620480762700967,97.1287940935193,13,4,9
"ENSG00000105245.9","NUMBL","protein_coding",0.362020009188009,66.5135356849877,4,8,-4
"ENSG00000105323.18","HNRNPUL1","protein_coding",0.462277807419946,81.7883511074651,18,6,12
"ENSG00000105329.11","TGFB1","protein_coding",0.468716170174516,82.4774405250205,20,2,18
"ENSG00000105402.8","NAPA","protein_coding",0.498293451245824,85.9064807219032,11,4,7
"ENSG00000105486.15","LIG1","protein_coding",0.220015699957503,40.1968826907301,3,6,-3
"ENSG00000105676.14","ARMC6","protein_coding",0.297919881463161,55.3732567678425,6,1,5
"ENSG00000105889.16","STEAP1B","protein_coding",0.529681404265747,89.811320754717,3,0,3
"ENSG00000106009.16","BRAT1","protein_coding",0.468754699205348,82.4938474159147,5,2,3
"ENSG00000106070.20","GRB10","protein_coding",0.588125595233287,95.2912223133716,1,1,0
"ENSG00000106125.14","MINDY4","protein_coding",0.382309405003119,69.7128794093519,6,0,6
"ENSG00000106263.19","EIF3B","protein_coding",0.411022826970805,74.1755537325677,4,5,-1
"ENSG00000106615.10","RHEB","protein_coding",0.739929197431143,99.8359310910582,4,6,-2
"ENSG00000106683.15","LIMK1","protein_coding",0.0727325971352537,13.8474159146842,3,8,-5
"ENSG00000106785.15","TRIM14","protein_coding",0.359452509238437,66.0541427399508,4,2,2
"ENSG00000107959.17","PITRM1","protein_coding",0.373706641836386,68.4495488105004,1,1,0
"ENSG00000108219.17","TSPAN14","protein_coding",0.535633953814803,90.4840032813782,2,3,-1
"ENSG00000109685.19","NSD2","protein_coding",0.657739121435277,98.4905660377358,2,4,-2
"ENSG00000110514.20","MADD","protein_coding",0.618668747479158,97.0139458572601,4,2,2
"ENSG00000110931.19","CAMKK2","protein_coding",0.586577864388081,95.1599671862182,6,0,6
"ENSG00000111321.11","LTBR","protein_coding",0.205160352313254,36.7186218211649,7,8,-1
"ENSG00000112877.8","CEP72","protein_coding",0.673014490587373,98.9991796554553,8,2,6
"ENSG00000114650.21","SCAP","protein_coding",0.432156373812331,77.4077112387203,4,0,4
"ENSG00000114738.11","MAPKAPK3","protein_coding",0.0967843709418967,16.8498769483183,17,4,13
"ENSG00000114739.14","ACVR2B","protein_coding",0.597863806791938,95.9146841673503,2,5,-3
"ENSG00000115053.17","NCL","protein_coding",0.129022907917138,22.149302707137,5,4,1
"ENSG00000115107.20","STEAP3","protein_coding",0.29543580854422,54.9466776045939,5,0,5
"ENSG00000115677.18","HDLBP","protein_coding",0.569011791382289,93.6997538966366,4,4,0
"ENSG00000116260.17","QSOX1","protein_coding",0.267679485942657,49.6964725184578,2,0,2
"ENSG00000116688.18","MFN2","protein_coding",0.543407470103224,91.3371616078753,14,1,13
"ENSG00000116691.11","MIIP","protein_coding",0.530823152361848,89.8933552091879,15,1,14
"ENSG00000116871.16","MAP7D1","protein_coding",0.359150461633686,66.0049220672683,8,1,7
"ENSG00000117676.14","RPS6KA1","protein_coding",0.481437921048204,84.1181296144381,13,3,10
