"g1_geneID","g1_geneName","g1_geneType","XIST_r","XIST_perct","ttl_pos_r","ttl_neg_r","cor_bias"
"ENSG00000002549.13","LAP3","protein_coding",-0.0243629929445755,6.92556634304207,1,0,1
"ENSG00000003402.21","CFLAR","protein_coding",0.250640102762611,84.6278317152104,15,4,11
"ENSG00000004866.22","ST7","protein_coding",0.224292688780135,79.3203883495146,6,0,6
"ENSG00000006125.18","AP2B1","protein_coding",0.030434417153521,19.0614886731392,4,6,-2
"ENSG00000006831.10","ADIPOR2","protein_coding",0.0878080010832566,36.747572815534,3,1,2
"ENSG00000007392.17","LUC7L","protein_coding",0.254151924895514,85.2427184466019,11,1,10
"ENSG00000007923.17","DNAJC11","protein_coding",0.0694727908888924,30.5339805825243,4,4,0
"ENSG00000009335.19","UBE3C","protein_coding",0.289366464589465,90.4854368932039,2,4,-2
"ENSG00000009413.17","REV3L","protein_coding",0.0745248024787988,32.1844660194175,3,0,3
"ENSG00000011426.11","ANLN","protein_coding",0.161674882730615,62.0550161812298,0,6,-6
"ENSG00000011566.15","MAP4K3","protein_coding",0.0570831450836134,26.4724919093851,8,0,8
"ENSG00000014123.10","UFL1","protein_coding",0.202754826206512,73.8025889967638,3,0,3
"ENSG00000014641.21","MDH1","protein_coding",0.0721353158539476,31.3268608414239,1,2,-1
"ENSG00000015479.20","MATR3","protein_coding",0.296348831236502,91.3915857605178,6,4,2
"ENSG00000016864.19","GLT8D1","protein_coding",-0.0223005387539598,7.33009708737864,6,15,-9
"ENSG00000022976.16","ZNF839","protein_coding",0.0827029362935636,34.9029126213592,4,2,2
"ENSG00000023734.11","STRAP","protein_coding",0.0719618429739465,31.1974110032362,3,0,3
"ENSG00000035681.10","NSMAF","protein_coding",0.280208917203165,89.2233009708738,2,0,2
"ENSG00000036549.13","ZZZ3","protein_coding",0.220546218602589,78.3980582524272,10,0,10
"ENSG00000039650.12","PNKP","protein_coding",0.0914361784044556,38.042071197411,25,3,22
"ENSG00000042753.12","AP2S1","protein_coding",-0.00353295811957258,10.4368932038835,10,3,7
"ENSG00000049656.14","CLPTM1L","protein_coding",0.277813654395766,88.8349514563107,1,1,0
"ENSG00000051382.10","PIK3CB","protein_coding",0.320265767438239,94.2880258899676,1,3,-2
"ENSG00000055044.11","NOP58","protein_coding",0.195569372589716,71.6019417475728,2,2,0
"ENSG00000055211.14","GINM1","protein_coding",0.180596494371765,67.2815533980583,12,3,9
"ENSG00000055483.20","USP36","protein_coding",0.225786151068147,79.6925566343042,5,1,4
"ENSG00000059728.11","MXD1","protein_coding",0.297563970343216,91.5533980582524,8,5,3
"ENSG00000060642.12","PIGV","protein_coding",0.2011319413436,73.2686084142395,5,0,5
"ENSG00000064933.19","PMS1","protein_coding",0.259666833652452,86.1003236245955,4,2,2
"ENSG00000065183.16","WDR3","protein_coding",0.154837012542625,59.6278317152104,0,3,-3
"ENSG00000066136.21","NFYC","protein_coding",0.133756127906436,52.621359223301,6,2,4
"ENSG00000066279.19","ASPM","protein_coding",0.0981547466889284,40.3398058252427,1,0,1
"ENSG00000067829.20","IDH3G","protein_coding",0.132255005094218,51.9741100323625,13,4,9
"ENSG00000068308.15","OTUD5","protein_coding",0.137493165966311,54.126213592233,26,1,25
"ENSG00000070476.15","ZXDC","protein_coding",0.211033935485072,75.9061488673139,7,1,6
"ENSG00000070669.17","ASNS","protein_coding",0.0250184137793201,17.4757281553398,1,6,-5
"ENSG00000071127.18","WDR1","protein_coding",0.0696720411699902,30.5825242718447,2,0,2
"ENSG00000071243.16","ING3","protein_coding",0.317309487218832,93.9482200647249,1,1,0
"ENSG00000071564.19","TCF3","protein_coding",0.110267620315282,43.9644012944984,4,8,-4
"ENSG00000071794.16","HLTF","protein_coding",0.207561670048506,75.0485436893204,1,1,0
"ENSG00000072274.14","TFRC","protein_coding",0.277968239054798,88.8673139158576,6,1,5
"ENSG00000073169.15","SELENOO","protein_coding",0.212955639300761,76.4239482200647,24,1,23
