"seqName","NEAT1chk1_tuc0.05","NEAT1chk1116_tuc0.05","NEAT1chk22_tuc0.05","NEAT1chk910_tuc0.05","gene_type"
"AARS1_chr16_70251983_70289707_-_ENSG00000090861.17_ENSG00000090861.17.unspliced",3444,15636,3567,5195,"protein_coding"
"AARS2_chr6_44298731_44313347_-_ENSG00000124608.5_ENSG00000124608.5.unspliced",2635,2063,6608,379,"protein_coding"
"AARSD1_chr17_42950526_42964498_-_ENSG00000266967.7_ENSG00000266967.7.unspliced",234,5059,1790,1597,"protein_coding"
"ABCA3_chr16_2275881_2340746_-_ENSG00000167972.14_ENSG00000167972.14.unspliced",9001,12615,20068,6332,"protein_coding"
"ABCB10_chr1_229516582_229558707_-_ENSG00000135776.5_ENSG00000135776.5.unspliced",665,29149,2617,20252,"protein_coding"
"ABCB6_chr2_219209772_219218994_-_ENSG00000115657.14_ENSG00000115657.14.unspliced",2149,1879,4647,509,"protein_coding"
"ABCB8_chr7_151028422_151047782_+_ENSG00000197150.13_ENSG00000197150.13.unspliced",4878,1700,11872,250,"protein_coding"
"ABCF2_chr7_151211484_151227205_-_ENSG00000033050.9_ENSG00000033050.9.unspliced",1060,6888,2720,2866,"protein_coding"
"ABCF3_chr3_184186095_184194012_+_ENSG00000161204.12_ENSG00000161204.12.unspliced",1731,3080,1256,2074,"protein_coding"
"ABHD16A_chr6_31686955_31703356_-_ENSG00000204427.12_ENSG00000204427.12.unspliced",1022,7760,4342,2189,"protein_coding"
"ABHD18_chr4_127965315_128039953_+_ENSG00000164074.17_ENSG00000164074.17.unspliced",1856,54363,1210,40813,"protein_coding"
"ABHD2_chr15_89087459_89202355_+_ENSG00000140526.18_ENSG00000140526.18.unspliced",2179,75773,5341,48915,"protein_coding"
"ABHD3_chr18_21650901_21704780_-_ENSG00000158201.10_ENSG00000158201.10.unspliced",1809,31819,542,21390,"protein_coding"
"ABL1_chr9_130713043_130887675_+_ENSG00000097007.20_ENSG00000097007.20.unspliced",3238,112654,9998,72738,"protein_coding"
"ABO_chr9_133233278_133276024_-_ENSG00000175164.16_ENSG00000175164.16.unspliced",7200,17391,12360,11133,"protein_coding"
"ACAA1_chr3_38103129_38137242_-_ENSG00000060971.19_ENSG00000060971.19.unspliced",3663,12082,15383,5641,"protein_coding"
"ACACA_chr17_37084992_37406836_-_ENSG00000278540.5_ENSG00000278540.5.unspliced",3103,242544,6417,180401,"protein_coding"
"ACADM_chr1_75724431_75787575_+_ENSG00000117054.15_ENSG00000117054.15.unspliced",1048,38720,1389,29344,"protein_coding"
