transcript,XIST_r,XIST_perct,NEAT1_r,NEAT1_perct,Bruseq_stability,total_expression,Xsimi_p0.05,Xsimi_p0.01,Xsimi_p0.001,Nsimi_p0.05,Nsimi_p0.01,Nsimi_p0.001,semi_extract
A1BG-AS1_chr19_58347718_58355455_+_ENSG00000268895.6_ENSG00000268895.6.unspliced,-0.000336365,11.06796117,0.13342456,22.93683347,0.145888488,0.184194,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AAGAB_chr15_67200667_67255195_-_ENSG00000103591.13_ENSG00000103591.13.unspliced,0.199833522,72.91262136,0.30291458,56.50533224,0.575440543,0.162397,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AAMP_chr2_218264129_218270178_-_ENSG00000127837.10_ENSG00000127837.10.unspliced,0.093197621,38.65695793,0.270654388,50.40196883,0.250330946,0.163084,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AARS1_chr16_70251983_70289707_-_ENSG00000090861.17_ENSG00000090861.17.unspliced,0.224561921,79.36893204,0.4459532,79.40935193,0.397826577,0.414418,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
AARS2_chr6_44298731_44313347_-_ENSG00000124608.5_ENSG00000124608.5.unspliced,0.049273996,24.22330097,0.316034851,58.83511075,0.163401933,0.6360625,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AARSD1_chr17_42950526_42964498_-_ENSG00000266967.7_ENSG00000266967.7.unspliced,0.207154558,74.96763754,0.407970725,73.78178835,0.318719646,0.1730895,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AASDHPPT_chr11_106075501_106098699_+_ENSG00000149313.11_ENSG00000149313.11.unspliced,0.254215483,85.25889968,0.112834411,19.37653815,0.203227787,0.299275,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABCA3_chr16_2275881_2340746_-_ENSG00000167972.14_ENSG00000167972.14.unspliced,-0.003840263,10.40453074,0.376457791,68.79409352,0.350881758,0.1287975,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
ABCB10_chr1_229516582_229558707_-_ENSG00000135776.5_ENSG00000135776.5.unspliced,0.303398512,92.24919094,0.315021793,58.62182116,0.372161238,0.270659,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ABCB10P4_chr15_28506625_28508808_-_ENSG00000260053.2_ENST00000566803.2.monoexonic.unspliced,0.125131922,49.41747573,-0.107399165,0.935192781,1.005611367,2.106225,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABCB6_chr2_219209772_219218994_-_ENSG00000115657.14_ENSG00000115657.14.unspliced,0.008368963,12.97734628,0.206411145,37.07957342,0.065515438,0.134238,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ABCB8_chr7_151028422_151047782_+_ENSG00000197150.13_ENSG00000197150.13.unspliced,0.191999243,70.72815534,0.367932269,67.57998359,0.361349074,0.3735175,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
