seqName,XISTrA_tuc0.05,XISTrB12_tuc0.05,XISTrD_tuc0.05,XISTrE_tuc0.05,XISTrF_tuc0.05,gene_type
AASDHPPT_chr11_106075501_106098699_+_ENSG00000149313.11_ENSG00000149313.11.unspliced,378,367,876,1917,3567,protein_coding
ABHD16A_chr6_31686955_31703356_-_ENSG00000204427.12_ENSG00000204427.12.unspliced,121,79,545,909,309,protein_coding
ACADM_chr1_75724431_75787575_+_ENSG00000117054.15_ENSG00000117054.15.unspliced,652,678,454,883,2600,protein_coding
ACIN1_chr14_23058564_23095614_-_ENSG00000100813.15_ENSG00000100813.15.unspliced,580,1264,457,2083,2275,protein_coding
ACO2_chr22_41447830_41529273_+_ENSG00000100412.17_ENSG00000100412.17.unspliced,918,562,805,1797,3413,protein_coding
ACSL3_chr2_222860942_222944639_+_ENSG00000123983.15_ENSG00000123983.15.unspliced,561,502,746,4006,4195,protein_coding
ACTR3B_chr7_152759749_152855378_+_ENSG00000133627.18_ENSG00000133627.18.unspliced,949,375,1694,3726,8891,protein_coding
ADAM10_chr15_58588809_58749791_-_ENSG00000137845.15_ENSG00000137845.15.unspliced,536,375,2208,6429,6532,protein_coding
ADIPOR2_chr12_1688574_1788674_+_ENSG00000006831.10_ENSG00000006831.10.unspliced,850,592,1959,5598,8562,protein_coding
AGK_chr7_141551278_141655244_+_ENSG00000006530.18_ENSG00000006530.18.unspliced,434,176,1608,2586,5010,protein_coding
AGO2_chr8_140520156_140635633_-_ENSG00000123908.12_ENSG00000123908.12.unspliced,892,1238,4369,4441,6393,protein_coding
AHCTF1_chr1_246839098_246931948_-_ENSG00000153207.16_ENSG00000153207.16.unspliced,1548,731,535,3792,4895,protein_coding
AKAP1_chr17_57085092_57121346_+_ENSG00000121057.13_ENSG00000121057.13.unspliced,438,523,1308,1066,1790,protein_coding
AKAP9_chr7_91940840_92110673_+_ENSG00000127914.19_ENSG00000127914.19.unspliced,913,354,2441,4928,8256,protein_coding
ALG8_chr11_78095244_78139660_-_ENSG00000159063.14_ENSG00000159063.14.unspliced,128,208,377,1320,1866,protein_coding
ANAPC7_chr12_110372900_110403730_-_ENSG00000196510.14_ENSG00000196510.14.unspliced,419,185,204,1054,950,protein_coding
ANKMY2_chr7_16599779_16645817_-_ENSG00000106524.9_ENSG00000106524.9.unspliced,294,308,479,1209,1099,protein_coding
ANKRD10_chr13_110878540_110915069_-_ENSG00000088448.14_ENSG00000088448.14.unspliced,696,756,571,1852,2388,protein_coding
