seqName,NEAT1chk1_tuc0.05,NEAT1chk1116_tuc0.05,NEAT1chk22_tuc0.05,NEAT1chk910_tuc0.05,gene_type
AAGAB_chr15_67200667_67255195_-_ENSG00000103591.13_ENSG00000103591.13.unspliced,1511,42049,567,38694,protein_coding
AARS1_chr16_70251983_70289707_-_ENSG00000090861.17_ENSG00000090861.17.unspliced,3926,8110,1994,3916,protein_coding
AARSD1_chr17_42950526_42964498_-_ENSG00000266967.7_ENSG00000266967.7.unspliced,1210,2911,1354,1043,protein_coding
ABCA3_chr16_2275881_2340746_-_ENSG00000167972.14_ENSG00000167972.14.unspliced,18643,10912,16489,9013,protein_coding
ABCB10_chr1_229516582_229558707_-_ENSG00000135776.5_ENSG00000135776.5.unspliced,1405,24363,3460,16977,protein_coding
ABCB6_chr2_219209772_219218994_-_ENSG00000115657.14_ENSG00000115657.14.unspliced,6301,1808,5773,475,protein_coding
ABCF1_chr6_30571393_30597179_+_ENSG00000204574.14_ENSG00000204574.14.unspliced,5906,5486,722,3593,protein_coding
ABCF2_chr7_151211484_151227205_-_ENSG00000033050.9_ENSG00000033050.9.unspliced,4157,4757,2778,5854,protein_coding
ABCF3_chr3_184186095_184194012_+_ENSG00000161204.12_ENSG00000161204.12.unspliced,4838,3928,2015,2968,protein_coding
ABHD16A_chr6_31686955_31703356_-_ENSG00000204427.12_ENSG00000204427.12.unspliced,3966,4535,3658,3001,protein_coding
ABHD2_chr15_89087459_89202355_+_ENSG00000140526.18_ENSG00000140526.18.unspliced,10605,76449,3983,64102,protein_coding
ABL1_chr9_130713043_130887675_+_ENSG00000097007.20_ENSG00000097007.20.unspliced,12411,91350,7170,79177,protein_coding
ABO_chr9_133233278_133276024_-_ENSG00000175164.16_ENSG00000175164.16.unspliced,13162,16290,14572,10510,protein_coding
ACAA1_chr3_38103129_38137242_-_ENSG00000060971.19_ENSG00000060971.19.unspliced,11413,11157,11330,4404,protein_coding
ACACA_chr17_37084992_37406836_-_ENSG00000278540.5_ENSG00000278540.5.unspliced,12207,219805,2352,195655,protein_coding
ACAD9_chr3_128879596_128924003_+_ENSG00000177646.20_ENSG00000177646.20.unspliced,8812,14902,4329,8255,protein_coding
ACBD6_chr1_180269653_180502954_-_ENSG00000230124.8_ENSG00000230124.8.unspliced,3543,180703,4137,170779,protein_coding
ACCS_chr11_44065925_44084237_+_ENSG00000110455.14_ENSG00000110455.14.unspliced,3498,7535,3484,2212,protein_coding
ACIN1_chr14_23058564_23095614_-_ENSG00000100813.15_ENSG00000100813.15.unspliced,8709,21496,219,19365,protein_coding
ACO2_chr22_41447830_41529273_+_ENSG00000100412.17_ENSG00000100412.17.unspliced,21768,25648,11345,14839,protein_coding
ACSL3_chr2_222860942_222944639_+_ENSG00000123983.15_ENSG00000123983.15.unspliced,5822,65522,603,61764,protein_coding
ACSL4_chrX_109624244_109733403_-_ENSG00000068366.21_ENSG00000068366.21.unspliced,3855,88250,806,83487,protein_coding
ACTB_chr7_5526409_5563902_-_ENSG00000075624.17_ENSG00000075624.17.unspliced,15571,3496,10991,1558,protein_coding
ACTN4_chr19_38647649_38731589_+_ENSG00000130402.14_ENSG00000130402.14.unspliced,32559,16720,27094,8924,protein_coding
ACTR3B_chr7_152759749_152855378_+_ENSG00000133627.18_ENSG00000133627.18.unspliced,13886,64673,5815,51172,protein_coding
ACTR5_chr20_38748460_38772520_+_ENSG00000101442.10_ENSG00000101442.10.unspliced,3979,14889,605,11688,protein_coding
ACVR2B_chr3_38453890_38493142_+_ENSG00000114739.14_ENSG00000114739.14.unspliced,8174,21979,10754,17331,protein_coding
ADAM10_chr15_58588809_58749791_-_ENSG00000137845.15_ENSG00000137845.15.unspliced,3981,125169,2207,115274,protein_coding
ADAM15_chr1_155050566_155062775_+_ENSG00000143537.14_ENSG00000143537.14.unspliced,8364,1354,6693,558,protein_coding
ADAMTS14_chr10_70672506_70762441_+_ENSG00000138316.11_ENSG00000138316.11.unspliced,44353,28619,33089,10615,protein_coding
ADAMTS3_chr4_72280969_72569221_-_ENSG00000156140.11_ENSG00000156140.11.unspliced,2931,252266,1227,237652,protein_coding
ADCY7_chr16_50246137_50318135_+_ENSG00000121281.13_ENSG00000121281.13.unspliced,33374,15693,25119,7285,protein_coding
ADGRV1_chr5_90529344_91164437_+_ENSG00000164199.18_ENSG00000164199.18.unspliced,14627,531265,4408,502962,protein_coding
ADIPOR2_chr12_1688574_1788674_+_ENSG00000006831.10_ENSG00000006831.10.unspliced,3073,78100,1019,73084,protein_coding
ADPGK_chr15_72751294_72785846_-_ENSG00000159322.18_ENSG00000159322.18.unspliced,2689,21018,459,17392,protein_coding
AEN_chr15_88621337_88632281_+_ENSG00000181026.15_ENSG00000181026.15.unspliced,6597,2283,3299,1849,protein_coding
AFAP1-AS1_chr4_7754077_7778928_+_ENSG00000272620.2_ENSG00000272620.2.unspliced,9331,3453,7563,1274,lncRNA
AFDN_chr6_167826893_167972023_+_ENSG00000130396.22_ENSG00000130396.22.unspliced,4834,129675,3944,117962,protein_coding
AFF1_chr4_86935002_87141039_+_ENSG00000172493.23_ENSG00000172493.23.unspliced,8456,148238,1536,135618,protein_coding
AFF4_chr5_132875395_132963634_-_ENSG00000072364.13_ENSG00000072364.13.unspliced,1049,55851,662,53211,protein_coding
AFG3L1P_chr16_89972581_90002161_+_ENSG00000293510.2_ENSG00000293510.2.unspliced,9532,10225,4549,4386,lncRNA
AFG3L2_chr18_12328944_12377227_-_ENSG00000141385.12_ENSG00000141385.12.unspliced,4532,27470,4196,21942,protein_coding
AFMID_chr17_78187358_78207702_+_ENSG00000183077.16_ENSG00000183077.16.unspliced,4332,2094,2075,1693,protein_coding
AGAP3_chr7_151085831_151144436_+_ENSG00000133612.20_ENSG00000133612.20.unspliced,35187,8432,27010,3078,protein_coding
AGK_chr7_141551278_141655244_+_ENSG00000006530.18_ENSG00000006530.18.unspliced,6991,79276,1087,70174,protein_coding
AGO1_chr1_35869808_35930532_+_ENSG00000092847.14_ENSG00000092847.14.unspliced,5243,32937,2753,29595,protein_coding
AGO2_chr8_140520156_140635633_-_ENSG00000123908.12_ENSG00000123908.12.unspliced,44212,36850,34449,26790,protein_coding
AGO3_chr1_35930718_36072500_+_ENSG00000126070.20_ENSG00000126070.20.unspliced,2251,90887,261,81538,protein_coding
AGPAT1_chr6_32168212_32178096_-_ENSG00000204310.13_ENSG00000204310.13.unspliced,3639,3521,3771,1974,protein_coding
AGPAT3_chr21_43865223_43987592_+_ENSG00000160216.21_ENSG00000160216.21.unspliced,43823,41096,33462,24502,protein_coding
AGPAT5_chr8_6708642_6761503_+_ENSG00000155189.12_ENSG00000155189.12.unspliced,764,47357,678,43395,protein_coding
AGPS_chr2_177392746_177567024_+_ENSG00000018510.18_ENSG00000018510.18.unspliced,5224,148826,739,132213,protein_coding
AGTRAP_chr1_11736084_11754802_+_ENSG00000177674.16_ENSG00000177674.16.unspliced,7654,4038,7048,355,protein_coding
AIG1_chr6_143060496_143341058_+_ENSG00000146416.19_ENSG00000146416.19.unspliced,3949,224654,1595,195555,protein_coding
AIMP2_chr7_6009255_6023834_+_ENSG00000106305.10_ENSG00000106305.10.unspliced,1830,3829,1604,3135,protein_coding
AKAP10_chr17_19904302_19978343_-_ENSG00000108599.15_ENSG00000108599.15.unspliced,3418,45123,1575,37912,protein_coding
AKAP1_chr17_57085092_57121346_+_ENSG00000121057.13_ENSG00000121057.13.unspliced,11502,15257,7469,9285,protein_coding
AKAP8L_chr19_15380050_15419141_-_ENSG00000011243.19_ENSG00000011243.19.unspliced,7843,15805,5690,9233,protein_coding
AKAP8_chr19_15353385_15379815_-_ENSG00000105127.10_ENSG00000105127.10.unspliced,9829,3825,9148,3511,protein_coding
AKR1A1_chr1_45550543_45570049_+_ENSG00000117448.14_ENSG00000117448.14.unspliced,5615,4372,1696,1195,protein_coding
AKR7A2_chr1_19301991_19312144_-_ENSG00000053371.14_ENSG00000053371.14.unspliced,4265,2512,3902,1508,protein_coding
AKT2_chr19_40230317_40285536_-_ENSG00000105221.18_ENSG00000105221.18.unspliced,23029,16224,18230,9419,protein_coding
ALDH1A2_chr15_57953424_58497866_-_ENSG00000128918.15_ENSG00000128918.15.unspliced,20303,392664,16333,348480,protein_coding
ALDH1B1_chr9_38392702_38398661_+_ENSG00000137124.8_ENSG00000137124.8.unspliced,2004,2523,2178,815,protein_coding
ALDH4A1_chr1_18871430_18902724_-_ENSG00000159423.17_ENSG00000159423.17.unspliced,14696,4436,13552,872,protein_coding
ALKBH5_chr17_18183078_18209954_+_ENSG00000091542.9_ENSG00000091542.9.unspliced,7072,8700,4609,5490,protein_coding
AMDHD2_chr16_2520357_2531422_+_ENSG00000162066.16_ENSG00000162066.16.unspliced,5561,1805,4165,375,protein_coding
AMFR_chr16_56361452_56425545_-_ENSG00000159461.15_ENSG00000159461.15.unspliced,7350,47827,6890,37299,protein_coding
AMMECR1L_chr2_127861630_127885967_-_ENSG00000144233.12_ENSG00000144233.12.unspliced,4665,13191,2943,10853,protein_coding
AMPD2_chr1_109616104_109632051_+_ENSG00000116337.20_ENSG00000116337.20.unspliced,8894,4656,8863,621,protein_coding
ANAPC4_chr4_25377263_25418498_+_ENSG00000053900.11_ENSG00000053900.11.unspliced,887,35803,1037,33449,protein_coding
ANAPC7_chr12_110372900_110403730_-_ENSG00000196510.14_ENSG00000196510.14.unspliced,2206,14549,1306,11633,protein_coding
ANK1_chr8_41653220_41896741_-_ENSG00000029534.22_ENSG00000029534.22.unspliced,66054,86954,49413,51521,protein_coding
ANKLE2_chr12_132725503_132761832_-_ENSG00000176915.15_ENSG00000176915.15.unspliced,11548,11649,5997,7869,protein_coding
ANKMY1_chr2_240479422_240569209_-_ENSG00000144504.16_ENSG00000144504.16.unspliced,32576,34250,24640,26173,protein_coding
ANKRD10_chr13_110878540_110915069_-_ENSG00000088448.14_ENSG00000088448.14.unspliced,1646,31446,1186,27798,protein_coding
ANKRD11_chr16_89267619_89490561_-_ENSG00000167522.18_ENSG00000167522.18.unspliced,69500,94419,48550,65005,protein_coding
ANKRD12_chr18_9136228_9285985_+_ENSG00000101745.17_ENSG00000101745.17.unspliced,4093,116783,2108,106002,protein_coding
ANKRD13D_chr11_67289300_67302485_+_ENSG00000172932.16_ENSG00000172932.16.unspliced,3066,6920,3760,3598,protein_coding
