transcript,XIST_r,XIST_perct,NEAT1_r,NEAT1_perct,Bruseq_stability,total_expression,Xsimi_p0.05,Xsimi_p0.01,Xsimi_p0.001,Nsimi_p0.05,Nsimi_p0.01,Nsimi_p0.001,semi_extract,gene_type
A1BG-AS1_chr19_58347718_58355455_+_ENSG00000268895.6_ENSG00000268895.6.unspliced,0.003992808,10.75703656,0.053134228,12.6557377,0.145888488,0.184194,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,lncRNA
AAGAB_chr15_67200667_67255195_-_ENSG00000103591.13_ENSG00000103591.13.unspliced,0.190431534,69.6861857,0.243550219,46.95081967,0.575440543,0.162397,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
AAMP_chr2_218264129_218270178_-_ENSG00000127837.10_ENSG00000127837.10.unspliced,0.076305574,31.51083792,0.227813765,43.8852459,0.250330946,0.163084,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
AARS1_chr16_70251983_70289707_-_ENSG00000090861.17_ENSG00000090861.17.unspliced,0.215502036,76.90067939,0.489932729,85.62295082,0.397826577,0.414418,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,protein_coding
AARS2_chr6_44298731_44313347_-_ENSG00000124608.5_ENSG00000124608.5.unspliced,0.07676822,31.64024588,0.322733731,61.24590164,0.163401933,0.6360625,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
AARSD1_chr17_42950526_42964498_-_ENSG00000266967.7_ENSG00000266967.7.unspliced,0.199816563,72.53316079,0.42923416,77.67213115,0.318719646,0.1730895,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
AASDHPPT_chr11_106075501_106098699_+_ENSG00000149313.11_ENSG00000149313.11.unspliced,0.237230983,81.70494985,0.123790251,23.36065574,0.203227787,0.299275,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,protein_coding
ABCA3_chr16_2275881_2340746_-_ENSG00000167972.14_ENSG00000167972.14.unspliced,0.004251362,10.83791653,0.384631291,70.83606557,0.350881758,0.1287975,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,protein_coding
ABCB10_chr1_229516582_229558707_-_ENSG00000135776.5_ENSG00000135776.5.unspliced,0.305306639,92.5105144,0.313650415,59.70491803,0.372161238,0.270659,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
ABCB10P4_chr15_28506625_28508808_-_ENSG00000260053.2_ENST00000566803.2.monoexonic.unspliced,0.119943202,46.19864122,-0.08581091,1.655737705,1.005611367,2.106225,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,processed_pseudogene
ABCB6_chr2_219209772_219218994_-_ENSG00000115657.14_ENSG00000115657.14.unspliced,0.03134623,17.76124232,0.20490977,39.27868852,0.065515438,0.134238,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,protein_coding
