file,qT,nT,knum,total_n,r_median,r_std,len_median,len_std,top50_r_median,top50_r_std,top50_len_median,top50_len_std
ASAR6-141chk1,0.99,0.9,5,240758,0.2051346,0.108433515,357,275.6347543,0.50290304,0.011385858,2655,824.8458969
ASAR6-141chk2,0.99,0.9,5,244481,0.21763453,0.11801616,384,327.1428444,0.5317185,0.011944472,3000,652.1219825
ASAR6-141chk3,0.99,0.9,5,244734,0.22797884,0.10212014,381,339.9662243,0.51280034,0.008712373,3062.5,660.3997665
ASAR6-141chk4,0.99,0.9,5,232551,0.24582669,0.12858807,405,393.7039423,0.5896959,0.009658165,3971,809.5839744
ASAR6-141chk5,0.99,0.9,5,251846,0.1884192,0.106447466,436,407.1361065,0.4696955,0.012135467,3011.5,947.286279
Blustr-5ss,0.9,0.9,5,67696,0.087570295,0.056980688,74,49.78381386,0.3071047,0.015186585,73,61.10981591
e-Ccnd1,0.99,0.9,5,363624,0.031307552,0.057883143,259,263.1308379,0.26296872,0.013671282,860,512.7319225
e-ID1,0.99,0.9,5,311623,0.037004106,0.07278257,263,267.1138109,0.31678608,0.009943455,1221.5,494.3748311
e-Klf6,0.93,0.9,5,43990,0.108340286,0.03552148,128,63.38913272,0.22827435,0.008564681,118.5,39.63582218
e-Med13l,0.9,0.93,5,35922,0.15635492,0.0655913,43,35.84430966,0.35906714,0.013870319,31,7.975587753
e-Sp3,0.99,0.93,5,67723,0.108395375,0.04297981,193,130.8990905,0.25747448,0.011564587,189.5,142.9580694
e-YY1,0.99,0.93,5,126158,0.113257505,0.07735997,182,172.3462767,0.39146954,0.010823335,1157,331.693201
FIRRE-RRD,0.9,0.93,5,31821,0.086958066,0.06775726,48,39.43039334,0.3100207,0.08118974,37.5,53.49953271
HOTTIP-MLL,0.99,0.9,5,206550,0.09875072,0.077837706,343,261.3040827,0.36680442,0.010217584,2067,846.9211319
HSat3_antisense,0.9,0.9,5,2526,0.16734116,0.0877484,29,22.556506734573826,0.5018501,0.019932907,36,20.77811348510735
HSat3_sense,0.9,0.9,5,2485,0.16843253,0.08710908,29,22.67914406447583,0.49887276,0.01907531,35.5,20.833252266508943
JPX-9,0.9,0.99,5,10289,0.48042035,0.12243415,78,26.9490669,0.66267884,0.05603644,104,12.55866235
MALAT1chk1,0.99,0.9,5,160814,0.17696854,0.09028686,314,183.1890147,0.42143244,0.063534044,1000.5,423.2595464
MALAT1chk2,0.99,0.9,5,160946,0.13361144,0.058608547,300,160.1537208,0.32092422,0.06112716,547,403.2348477
MALAT1chk3,0.99,0.9,5,230836,0.147915,0.07350677,333,214.5027308,0.34624684,0.063540205,1280.5,506.0229564
MALAT1chk4,0.99,0.9,5,250790,0.1895082,0.10387559,350,245.3770151,0.45420665,0.042407967,1792,411.3884048
MALAT1chk5,0.99,0.9,5,240203,0.17111701,0.099638164,377,286.534791,0.41359895,0.049919378,2078.5,817.1051832
MALAT1chk6,0.99,0.9,5,250240,0.16335538,0.08627762,368,274.0702508,0.38697052,0.07192956,1813.5,743.0403758
MALAT1chk7,0.99,0.93,5,96198,0.13262552,0.055284165,287,141.9864352,0.2758116,0.12870082,583,285.6196275
MALAT1chk8,0.99,0.9,5,172671,0.11557758,0.05500154,296,149.4696947,0.27252606,0.12112471,477.5,339.0376528
MALAT1chk9,0.99,0.96,5,31083,0.19691154,0.050795894,288,122.1807094,0.3149355,0.09447198,404.5,189.4865958
MALAT1E,0.99,0.9,5,183664,0.15164748,0.056962185,308,172.9395589,0.33064112,0.056733645,826,485.1400111
MALAT1M,0.99,0.9,5,245006,0.1277506,0.06667179,355,250.2420086,0.31725815,0.08439528,1278,788.5616435
MEG3-NRE,0.93,0.9,5,169621,0.08122769,0.052155424,98,72.01290327,0.30528682,0.011811666,84.5,53.09427088
ncRNA-a7,0.96,0.9,5,113965,0.0796186,0.041954618,209,117.1879996,0.22652969,0.008656322,231,158.4788301
NEAT1chk1,0.99,0.9,5,124010,0.13234799,0.095151134,293,214.7149159,0.43980145,0.06873817,1542.5,750.4363235
NEAT1chk10,0.99,0.9,5,222382,0.25870216,0.11778187,357,295.183764,0.6014954,0.032880735,3017,856.1152493
NEAT1chk11,0.99,0.9,5,240791,0.21965908,0.113911845,368,308.989565,0.5214112,0.0389404,2549,767.3660665
NEAT1chk12,0.99,0.9,5,220998,0.17039524,0.07611326,332,216.8311675,0.40262872,0.07441728,1744.5,734.0687772
NEAT1chk13,0.99,0.9,5,198927,0.15065396,0.06849311,312,180.8058722,0.33777866,0.077669755,1018,383.7908915
NEAT1chk14,0.99,0.93,5,107566,0.116417006,0.046643443,295,165.7776727,0.2640862,0.08126779,652,402.9289049
NEAT1chk15,0.99,0.9,5,212488,0.19325626,0.09853451,329,213.7383344,0.45856723,0.06384262,1582,639.7148193
NEAT1chk16,0.99,0.9,5,237970,0.20975798,0.08861592,368,325.305248,0.5108088,0.052777916,3291.5,889.2235121
NEAT1chk17,0.99,0.9,5,211051,0.13252243,0.070348725,332,205.2386883,0.36791143,0.070199475,1316.5,549.0993804
NEAT1chk18,0.99,0.99,5,25963,0.22855799,0.03802422,260,96.20525396,0.34020203,0.09152933,265,128.8760164
NEAT1chk19,0.99,0.96,5,11899,0.15770426,0.056204572,252,116.7641948,0.27449468,0.101407565,308.5,139.2721437
NEAT1chk2,0.99,0.93,5,38430,0.117934175,0.041726373,267,132.1320528,0.24842584,0.08577907,308,211.2803105
NEAT1chk20,0.99,0.93,5,120746,0.12939952,0.046823606,311,173.7396185,0.2863019,0.089932114,579,396.9396433
NEAT1chk21,0.99,0.9,5,147954,0.096572146,0.063270904,314,231.8590926,0.3303138,0.08870565,1335.5,616.4244499
NEAT1chk22,0.99,0.9,5,181710,0.06995525,0.08482422,332,261.564314,0.37306148,0.08038862,1849.5,830.8479343
NEAT1chk3,0.99,0.9,5,187600,0.12678489,0.05857515,312,177.0328799,0.31367317,0.07572246,663,532.3235035
NEAT1chk4,0.99,0.9,5,213117,0.20938736,0.087486275,337,222.4950118,0.43740904,0.058657594,1822,600.8796449
NEAT1chk5,0.99,0.9,5,215636,0.08431727,0.045892894,322,194.5547231,0.26424944,0.09135693,526.5,412.0877013
NEAT1chk6,0.99,0.93,5,37937,0.09955977,0.047855243,264,120.3852854,0.21708262,0.10539968,285,182.310659
NEAT1chk7,0.99,0.9,5,215635,0.23084903,0.1003415,342,244.3231972,0.49760222,0.067839324,2032.5,561.5651143
NEAT1chk8,0.99,0.93,5,62541,0.11847077,0.05121215,271,123.4471883,0.26753062,0.08237234,486.5,217.2621974
NEAT1chk9,0.99,0.9,5,230618,0.22807798,0.11070547,374,317.6841915,0.54964614,0.040843427,2662.5,874.0457526
NKILA-SRSFNRE,0.9,0.9,5,57260,0.12477024,0.048568666,73,47.06282975,0.28772962,0.011175334,87.5,61.02937326
NXF1-enChr,0.9,0.9,5,124622,0.12531245,0.046822727,53,45.33384271,0.30751604,0.054490227,30.5,20.22275946
PRRX2-eRNA,0.9,0.9,5,32694,0.12618382,0.08022174,99,43.84324164,0.37798303,0.010109259,85.5,7.185791536080072
PVT1-22,0.9,0.96,5,37006,0.3974026,0.122637615,65,27.08373561845027,0.6113863,0.013233399,76,12.965739469848991
SEMA3C-eRNA,0.99,0.9,5,349615,0.10106519,0.06382478,328,328.429963,0.28546193,0.007152997,1142,480.603824
XIST-PfIMI,0.99,0.9,5,147530,0.19329071,0.079811096,284,132.7870982,0.41580057,0.1037352,1058,585.0525587
XISTint1,0.96,0.96,5,25536,0.1505365,0.09082671,109,73.05446397,0.35617378,0.10696722,104.5,76.22392275
XISTint10,0.99,0.9,5,154970,0.079694465,0.04403691,290,139.9368683,0.23676378,0.14081243,448,266.1707722
XISTint11,0.99,0.9,5,233050,0.23654045,0.10892476,383,340.9759328,0.53389037,0.068739496,2800.5,819.1012902
XISTint12,0.99,0.9,5,206465,0.21506238,0.097566776,322,196.7129234,0.46485674,0.09953205,1750,448.57781
XISTint13,0.99,0.9,5,248793,0.19263068,0.0896039,363,274.585932,0.4313035,0.10547042,2071,496.1181714
