"query","query_coords","top5RBP","top5RBP_adjpval","top5RBP_pval","top5hitpct","top5rpm","top5fc","hit_totalcount","transcript_totalcount","medlen","AARS","AATF","ABCF1","ADAT1","AGGF1","AKAP1","AKAP8L","APEX1","APOBEC3C","AQR","BUD13","CPEB4","CPSF6","CSTF2T","DDX1","DDX21","DDX24","DDX3X","DDX42","DDX43","DDX47","DDX51","DDX52","DDX55","DDX6","DGCR8","DHX30","DROSHA","EEF2","EFTUD2","EIF3G","EIF4E","EIF4G2","ELAC2","ELAVL1","EWSR1","EXOSC10","EXOSC5","FAM120A","FASTKD2","FMR1","FTO","FUS","FXR1","FXR2","GARS","GEMIN5","GNL3","GPKOW","GRWD1","GTF2F1","HLTF","HNRNPA1","HNRNPC","HNRNPK","HNRNPL","HNRNPM","HNRNPUL1","HNRNPU","IGF2BP1","IGF2BP2","ILF3","KHDRBS1","KHSRP","LARP4","LARP7","LIN28B","LSM11","MATR3","MBNL1","METAP2","METTL1","MORC2","MTPAP","NCBP2","NIPBL","NOLC1","NONO","NPM1","NSUN2","PABPC4","PCBP1","PHF6","PPIL4","PRPF8","PTBP1","PUM1","PUM2","PUS1","QKI","RBFOX2","RBM15","RBM22","RNF187","RPS10","RPS11","RPS3","RPS6","RYBP","SAFB2","SAFB","SBDS","SDAD1","SERBP1","SF3B1","SF3B4","SLBP","SLTM","SMNDC1","SND1","SRSF1","SRSF7","SRSF9","SSB","SUPV3L1","TAF15","TARDBP","TBRG4","TIA1","TRA2A","TROVE2","U2AF1","U2AF2","UCHL5","UPF1","UTP18","UTP3","WDR3","WDR43","WRN","XRCC6","XRN2","YBX3","YWHAG","ZC3H11A","ZC3H8","ZNF622","ZNF800","ZRANB2"
"XISTint1","XIST_int1_0_316","RBM15;UCHL5;RBM22;YWHAG;HNRNPC","1;1;1;1;1.85733883382363e-24","1;0.66554970282;0.713808176866686;1;3.71467766764727e-25",0.2,"675.8217;302.3825;145.4243;71.7449;50.8328","152.1633;68.6349;33.5275;17.0474;12.37",27923,3615,140,0.999999999999984,1,1,2.83424293902998e-05,0.999919092215612,1,1,1,1,1,0.9999973506488,0.0783148424211614,0.999999999949359,1,1,1,0.670758937005224,0.999999999997275,1,0.999999999999493,1,1,1,1,0.999999999999999,1,1,1,1,1,0.999999994606304,1,1,1,0,1,0.9999994682395,4.16703956987093e-42,0.999999949983095,0.999990867675861,1,0.999999994941088,1,1,1,0.999999999999966,1,0.937966022876474,9.81009171672234e-15,0.91075957532956,1,0.0041865005338832,1,3.71467766764727e-25,1,6.28324604441754e-27,0.999999999997652,0.999999999999989,1,8.83584698959878e-05,0.999999999999997,1,0.0245771956579293,7.3104452737766e-259,0.997927363964313,1,0.0420213695224673,1,2.15578925591955e-66,1,1,0.999999999999682,0.999999952657374,1,1,0.999999999978828,1,1,0.99987535213638,0.955605722786213,0.99999999999997,1,1,0.999999741844465,0.999999999999999,0.21139849792851,0.999559983576412,0.00046575275616839,0.999981706665849,3.96261332545941e-23,0.999992067756388,1,0.713808176866686,1,1,1,0.99999999999981,1,1,1,0.998597074445649,0.99999999984953,1,0.999999999853072,0.959417927327894,0.999999998807019,0.999847944285645,1,1,0.453066858400456,1,0.999997387979855,1,0.999995361327319,0.999999957044053,1,1,1,0.999961714555786,0.999999999999947,0.395110056718759,0.960530677655923,9.71279246373717e-10,0.66554970282,0.999999802862195,1,1,0.99999999969474,0.999999999971231,1,0.99577771997611,1,0.99999999985635,1,0.99999672161701,1,0.358078496181826,0.997325666609321,0.999999999645345
"XISTrA","XIST_rA_316_743","RBM15;NIPBL;UCHL5;SDAD1;SRSF1","1.20700630759996e-11;3.73095191698843e-06;5.72793348028983e-05;2.02446291519761e-05;1.07229096762049e-08","2.41401261519993e-12;2.23857115019306e-06;5.72793348028983e-05;1.61957033215809e-05;4.28916387048196e-09",1,"2302.9227;319.9974;282.7897;260.8828;200.6509","224.931;32.1158;28.4978;26.3677;20.5108",5384,2582,125,0.00863048090339189,8.89454730565964e-10,0.0414902649623593,3.76638936528588e-46,0.0597583229649501,4.18428521622566e-05,1.00988490776925e-05,3.49445441184125e-12,0.000149442662581976,6.20764411248808e-06,1.45643454625879e-10,0.0167025909714386,0.00332068270544211,9.47029970062821e-08,4.79712730619795e-09,6.35187196655354e-07,6.8994220758272e-05,1.0527177899905e-22,6.52126558700211e-15,3.94452755372417e-09,4.00481716471125e-09,4.86017006708671e-07,5.91814081122258e-11,3.4042504096927e-05,3.76245347879971e-05,3.19409159220146e-11,4.51357278152238e-08,2.31909323820294e-24,2.92709402197775e-16,3.46728801585888e-07,8.76585892975181e-11,1.03483946701495e-18,7.88993077082742e-06,3.32699802680753e-17,2.10963118315262e-170,7.99714153412329e-05,1.17457749415068e-08,1.31130917844414e-31,0.00188712456154485,0.000200112637992483,3.81477663914678e-13,3.04220528387631e-14,0.993409359548496,2.75904778157532e-08,1.54611773839747e-14,2.1594241192483e-10,4.41130095343817e-23,7.08241045416027e-06,7.9639819678067e-18,0.00100372150790684,0.000663667854040753,0.169572799248823,1,1.41472654819831e-59,0.0112211876433321,0.999965220913371,1.60272956592573e-18,0.162847763573577,0.999999999974414,0.165430543652444,4.68486256106021e-07,0.999997822221488,1,2.13657595935873e-08,0.000208895514604244,1.29638413141876e-10,0.0338363912207277,4.09677170848551e-05,4.49015944558041e-10,0.0459042660101466,2.05798473768793e-08,0.262908723983888,1.32102400740858e-37,2.21565669316356e-11,1.01930926703464e-21,2.23857115019306e-06,0.00502846850671068,1.37093580789792e-15,0.000213202792550242,0.00186081565224503,0.0123496291076202,0.000677677039856087,0.000229472719655771,0.00254267002066339,1.16533594159169e-12,8.76236386518801e-11,4.35761142583959e-05,2.20858369223647e-05,3.81729392317537e-06,0.278930755464254,0.00234170386098079,2.41401261519993e-12,9.93696938223103e-07,0.472828818739105,1.01842822137135e-05,1.46619008824865e-05,9.05747448091848e-09,5.22853379707838e-12,0.0325705618664975,1,0.433944627308484,9.08393241250848e-08,1.61957033215809e-05,0.000302035723849616,1.37539772436438e-08,0.0428238037458781,0.0357095302611515,0.000118863634647307,4.54782574464081e-07,1.54574236171101e-05,4.28916387048196e-09,3.15165491008632e-08,7.2456868780929e-11,0.000993442606645366,0.00243774781895446,0.999937430870432,8.49522158349785e-05,1.14325044890209e-05,1.41449093858211e-29,3.7193711526463e-05,1.9727220303892e-12,5.07458481919473e-37,1.81127097027862e-36,5.72793348028983e-05,0.46079413694215,0.000425522591137747,8.46360942415177e-08,0.156827753801793,1.68366811487709e-07,6.28704525279227e-14,5.61552011847357e-12,1.25236619448294e-13,6.06938331183733e-05,8.66115454746948e-07,0.189346437041029,0.000256179148137409,1.98274344279843e-06,0.00356600574743205,7.56269902470154e-10
"XISTrF","XIST_rF_743_1807","HNRNPM;RBM15;EXOSC5;UCHL5;FXR2","1.19379023895672e-97;0.0117208656580084;1.44711003541446e-85;0.000294053875842716;1.99638541115115e-08","2.38758047791344e-98;0.0117208656580084;5.78844014165783e-86;0.000235243100674173;1.19783124669069e-08",1,"2292.1648;1570.2157;1478.4924;1338.911;547.3371","82.0025;56.4896;53.2482;48.3156;20.3423",2695,1610,296,1.24859199708908e-10,2.13196205013069e-23,0.0913290341252619,2.65818037198552e-65,0.00899986095294805,0.00230222168906516,2.2027127400185e-23,7.35883477934066e-09,0.000415510977816362,1.26761497681818e-08,0.000231821111989298,0.358618073565437,2.31891500697417e-08,5.77387060087687e-46,2.76344844962661e-39,1.635905960455e-09,0.0026226743123701,5.701844863429e-11,1.41304203759394e-14,0.000189419694988224,2.07084683874861e-27,1.19451353579844e-27,6.95859007460743e-34,0.00180168648964236,3.12068902784744e-18,2.07215348336675e-09,1.00336384034773e-26,1.3286244117838e-31,7.92755440076015e-07,6.89088668592507e-19,2.42323329919354e-13,4.5349228436064e-10,2.42822531260661e-36,2.68873898451885e-70,0.98786706829948,1.03458138329534e-45,1.26092200604619e-07,5.78844014165783e-86,5.16180030570389e-14,3.74156061374684e-23,2.98411243751891e-09,1.26671532442199e-24,2.62357230504388e-36,0.00231389827025363,1.19783124669069e-08,1.09892147871818e-05,1.22954156636336e-19,0.00567289531091793,1.44373408305614e-12,0.000490511231508694,3.42908033179626e-43,0.0499209940295321,1.73246799625828e-29,0.999979290907455,0.999990937848015,1,2.38758047791344e-98,2.10493305414632e-19,1.1509257715023e-31,1.45798334153876e-05,0.000399282968653358,0.84801674970536,0.999999999999971,0.000337698143061972,4.09700778734202e-07,4.02056001675975e-08,0.106062243590538,3.29479497082153e-08,1.7465211628219e-08,0.0353032907282516,0.000349922632752955,3.7543935423492e-07,2.0539963382701e-56,1.40976435347152e-09,1.65213740931642e-18,0.0476293276225789,9.24654466477359e-10,9.76488121396831e-38,8.49208931128846e-05,0.0051405705588387,0.118153776811506,0.247270783829569,1.67744837386407e-14,0.000759860968396954,4.94720489755328e-08,0.0853232971051414,0.00623301534812378,0.000741871786696905,8.49149883296745e-06,0.826374264575573,2.78474406027494e-34,0.0117208656580084,0.0336139567819435,0.86559067273989,2.03701846606754e-09,6.00705478984025e-07,0.000216939387472833,2.01411294596115e-09,0.386155621211989,6.98244711689763e-12,6.98020741002552e-06,0.000717031572883047,0.345549166099359,0.658270670745105,7.36505691957658e-15,0.0104219327544151,0.00291363115323253,5.10120795685944e-16,1.19311587274873e-13,0.00193963954180387,1.2639651205055e-08,6.18764986280653e-12,2.05089597844912e-08,0.0089934738170444,1.12408812840658e-06,2.96661889366503e-29,3.36065726925064e-40,6.36117105175129e-33,1.73367759292563e-25,6.6654875539233e-06,1.90474759335649e-08,1.53301040760993e-05,0.350076020407384,0.000235243100674173,0.0516899170695856,0.000157790127046909,2.47675322582087e-05,1.63550582624716e-05,0.0151367567205253,1.38351669529592e-14,7.20136254237129e-07,9.45797642441964e-24,0.209753218264268,1.6197798772805e-06,2.207649758782e-06,2.51245192642543e-09,0.0202011931938256,0.0337375420560878,5.51138449079611e-30
"XISTint2","XIST_int2_1807_1951","EXOSC5;HNRNPM;TIA1;HNRNPK;UCHL5","1.44323141052239e-08;2.44343965335723e-24;1.51787432019707e-30;2.41750344126117e-111;0.19163211608669","1.15458512841791e-08;1.46606379201434e-24;6.07149728078829e-31;4.83500688252235e-112;0.19163211608669",0.8,"199.972;106.2703;77.4418;65.1659;58.32","48.5402;26.2641;19.4106;16.4922;14.8646",12638,3945,50,0.0419417879134103,0.0188462135205328,0.00086340700516283,0.0257007166268836,0.4390935309024,4.24199968201052e-06,0.00066295069564883,0.000101135641123904,0.0101983425954934,2.25011762692973e-06,6.35398487873056e-06,0.225708982373833,0.473101822595434,2.75249108825264e-11,5.62597455759754e-19,0.000247665458488986,7.01448329482644e-06,0.00831088652688254,3.08291040899154e-05,5.18891429885911e-09,6.24270561983674e-05,3.57801021074004e-06,3.68584060990919e-08,1.02240824469958e-07,0.0180103626159993,6.29592775933111e-17,6.63116453541092e-05,0.000487637265096997,1.85602528861365e-07,0.0242061475718431,0.0902216678627001,4.19800530328274e-06,7.85809570382495e-06,2.74081287117481e-10,0.999979346797151,2.96820985304598e-10,0.00809440158170711,1.15458512841791e-08,7.29678419502773e-06,0.987848282629057,6.89147703748176e-10,0.230378143274609,0.212689309419637,2.53746461178434e-09,1.23921017345225e-10,0.00136010509509977,7.74225194918774e-08,0.570868695160885,0.822904926777164,0.165589978302135,2.85024860234329e-05,0.995766208764397,0.145312980088234,0.999999998038874,4.83500688252235e-112,0.0104453520040343,1.46606379201434e-24,0.000772459520804007,0.0102134526347387,0.00392250451875709,9.81841809042246e-09,4.33854272952852e-07,1,1.31162055869684e-10,0.988018636442707,0.0111551567548552,0.131786200108515,7.60843362677181e-09,2.83009651975821e-22,2.24639215020705e-11,5.21011196805909e-09,0.962409895904939,1.72736791821159e-06,1.42402377492251e-06,5.60287621806577e-06,0.0843162983891218,2.63951129100574e-07,9.68788724755518e-47,0.300900661364316,0.84215253217135,1.418855338468e-05,2.2115204159775e-17,2.30435174120861e-13,0.277481306759559,2.64479250148737e-10,7.47047769346884e-08,0.0243431664402842,0.475424464344962,1.06944349640658e-05,0.00407920573174283,0.00754078999046607,0.000259634906908427,0.00025547646564327,0.314207707293657,0.000183263175891094,9.80167260683324e-06,7.76038856348111e-05,1.01978324163201e-13,0.0543252191956656,0.999999999998913,0.446705352075859,0.000242034158106758,0.000285467322687483,0.035646808015089,0.0311718560381702,0.0146349985735891,0.0124817221697627,0.000198974448562167,5.51971372715845e-07,0.000765843786154974,4.29856313444364e-09,0.00196083256971954,5.25332328847259e-07,0.185948299150653,0.150391316524136,0.80389092253497,0.000157344565918661,0.0372202605210419,6.07149728078829e-31,0.00482192934060742,0.00291745825494262,8.32813820684525e-08,8.41397879805955e-08,0.19163211608669,0.000403537722048703,0.00203585425889523,0.0311756822968482,0.015205765361452,0.132595165896585,1.88267768945133e-05,0.869051964467134,8.73240552086478e-13,4.82470494139882e-06,0.000522152187057642,0.173072020140097,0.142484801069035,0.00153074145831827,0.0725866241631776,2.28348842398313e-09
"XISTrB1","XIST_rB1_1951_2041","HNRNPK;ILF3;CSTF2T;PCBP1;DROSHA","2.13288195331852e-119;0.999902582870581;1.5181869685715e-32;5.69196170543027e-57;7.46952100278194e-26","4.26576390663704e-120;0.999902582870581;9.10912181142901e-33;2.27678468217211e-57;5.97561680222555e-26",0.8,"41.2885;17.5834;10.6802;8.2477;6.8758","145.9918;62.747;38.5053;29.9633;25.1457",6542,3286,50,8.62728328741083e-05,1.16174310309974e-14,1.07200322836455e-25,7.81981892431087e-05,0.352312680788914,2.745137725242e-14,9.23757229454133e-06,2.80086401375219e-43,5.06451892206853e-14,5.94753907490031e-17,0.248383714668263,0.139309681736665,0.1614889329417,9.10912181142901e-33,6.63426781595415e-61,1.59697279429053e-15,0.999638526951418,2.6567807453838e-46,1.81117491637851e-45,5.21233140742626e-09,1.43581905163435e-34,2.32258654412306e-33,3.53292918273795e-19,3.5301894124359e-20,4.24099857820661e-10,2.87428398664842e-28,1.97671392083694e-35,5.97561680222555e-26,8.99974868191017e-30,5.65265295610123e-06,1.82673991490139e-18,5.31928137555599e-61,5.70322811871513e-35,2.27106558500536e-39,1,2.71832064939331e-37,0.000105014526256162,0.998497096483489,2.26052641785579e-06,0.00207261709695898,1.20891984483694e-22,1.45850816432826e-12,2.98186444335194e-05,3.2518309380756e-23,4.9179130692762e-44,4.14401836696357e-13,3.08544312055829e-43,0.000249048559376167,0.999981477817646,0.70174265073632,1.86336900501014e-18,0.99999999999934,0.999958464976042,1,4.26576390663704e-120,0.999999999999634,3.3808136495112e-13,0.243301155843177,0.99714951330886,0.978530843030875,9.80386272657841e-33,0.999902582870581,1,1,0.482395769597608,4.39133396891495e-41,0.999989173224661,1.39529844412802e-18,0.999999635805602,7.52289215001161e-17,2.85412596195409e-22,0.958293147204967,1.20622237406466e-31,1.72508949377351e-11,8.66573178234034e-34,3.71828383696446e-05,3.31174258603711e-11,9.34817149868855e-56,0.00123553187989498,0.0230598018121453,1.21578928709042e-08,2.27678468217211e-57,2.25531233736697e-33,0.921023868409638,3.23838081985182e-16,2.05875165190521e-05,3.91331177753195e-06,0.6940380308692,2.12984730582292e-11,0.117012955808119,0.856612350901863,1.82351645029632e-26,0.000391718765063676,0.0597291531499041,2.98785026615761e-16,3.88676803049722e-21,1.3311983023417e-21,9.19480521292401e-57,1.05409950555829e-15,1,0.999993317967226,5.87665060004088e-17,6.78512492767336e-29,2.23865008076906e-16,0.0341064967713439,0.0318823187221724,3.68544499804432e-11,8.45361089114146e-53,9.79475724012687e-15,0.535746867497519,2.03426664709807e-20,5.31142914897032e-10,1.07464693528334e-53,1.91103176953039e-08,0.00613262119611143,0.999998699498865,1.50283121102581e-10,0.00234145687710497,6.07161704005471e-46,7.82874482806651e-06,0.00140692213244256,1.74827878027918e-19,0.206596774768293,0.989349284444751,0.741606923361489,1.06573070407742e-10,8.29911352991776e-17,0.00088836159056413,0.0057396193580026,3.09553499172184e-17,0.878010535911923,6.04799233976746e-66,3.3579924081377e-09,5.13942651619376e-21,0.0595171650865433,0.00194358008798125,0.223046863352205,0.00104813378144599,5.79829815331589e-24
"XISTint3","XIST_int3_2041_2781","HNRNPM;HNRNPK;KHSRP;EXOSC5;ILF3","1;1;0;1.4710395316209e-73;1","1;1;0;5.8841581264836e-74;1",0.4,"306.4245;179.9498;118.3448;85.7545;85.3208","30.5043;18.3266;12.3949;9.2569;9.2152",30256,3207,1161,1,1,1,1,1,1,1,1,1,1,1,2.10528232860966e-19,1,1,1,1,0.99995956449974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,5.8841581264836e-74,1,1,1,1,1,1,1,1,1,1,2.20575612651734e-61,0.999999999999999,1,8.14648425838872e-06,1,2.91352651901054e-43,1,5.831897131059e-174,1,1,1,1.79162152634889e-08,1,1,3.34987465675576e-151,0,1,1,0.022144312757763,1,9.31269608416033e-118,1,1,1,1,1,1,1,1,1,1,0.999999890734289,1,1,1,1,1,1,1,2.0814798210185e-32,1,1.61908529855564e-182,1,1,0.0743858240447575,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999999909,1,1,1,1,1,1,1,1,1,1,1,0.659927374140058,1.42763302511424e-119,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999992485872,1,1
"XISTrB2","XIST_rB2_2781_2919","HNRNPK;DROSHA;DDX42;PUM1;DDX47","9.09193900037195e-125;1.64535434987627e-24;1.67428196830089e-43;9.54512103616876e-08;1.02528462723682e-34","1.81838780007439e-125;1.31628347990102e-24;6.69712787320356e-44;9.54512103616876e-08;6.15170776342091e-35",1,"350.6136;58.5477;16.1884;14.9146;9.4526","100.8688;17.6767;5.6111;5.2483;3.6925",6295,3329,46,0.00115314841724712,8.50876735000595e-12,8.40706049292909e-25,1.43159725102246e-07,0.984240961759776,5.38730098872946e-21,0.000586460576728652,8.02905264385546e-40,6.02701590747983e-07,1.99687725616849e-15,0.251886592382642,0.941855630488835,0.970198619059067,3.63740786411418e-36,3.15979136468986e-60,4.71980995018428e-17,0.999999762063175,1.5037899879645e-43,6.69712787320356e-44,4.03230761839826e-06,6.15170776342091e-35,3.042708565891e-39,6.88167832949615e-19,3.39192601014574e-23,1.04404953958994e-06,1.96642245415423e-31,4.99038692168519e-24,1.31628347990102e-24,5.6483811891017e-35,3.04993962545317e-05,1.28733598771252e-19,3.64091899869972e-67,5.00938231954147e-31,1.48079741871127e-44,1,8.55217132243313e-49,0.03387040567283,0.992668135879877,0.00288502604448162,0.240434837918851,2.63650956228065e-21,1.53495475250909e-16,9.62795479033018e-05,4.1834398080541e-19,9.70157947713912e-44,4.23541980195715e-16,1.13649551172687e-43,0.118240875368244,0.99999999500043,0.981154114333077,1.50330283826747e-17,1,0.431915615617605,1,1.81838780007439e-125,0.999999797002843,4.4605421511178e-21,0.19794607609203,0.141787495261767,0.999832552379215,1.49810615180811e-30,0.988879087664361,1,1,0.58827139004942,2.95220418510053e-36,0.999826557154981,4.11695822900621e-18,0.0668040675548824,1.33378501397063e-21,5.76312374921937e-20,0.964141068686194,1.14250694527343e-33,2.60184432000708e-11,5.80477861809416e-36,3.82245133702219e-07,3.69313777033036e-14,5.0989544230696e-82,0.0668040267993079,0.0123392078296741,8.97041414368675e-10,3.29884844053886e-49,7.5165914796489e-38,0.696176601228871,7.40008386045469e-15,0.000525003010768636,9.54512103616876e-08,0.875388422366239,0.000479662213059289,0.0778776318354026,0.99793707894824,3.68622608467666e-25,7.19006164757379e-09,0.0384259152861991,3.04734217838805e-19,1.66951645160597e-16,4.14340970414055e-14,2.62252022264571e-53,2.93190506595735e-16,1,0.984101910359215,1.0728288506554e-09,1.20334847329881e-27,2.73476085013796e-15,0.335063636401494,0.105995135805863,0.000299591012477207,6.0616299462903e-56,4.05175025941998e-16,0.776381330952391,7.40846939883622e-19,0.00243708372339373,2.78116013349422e-51,7.94779521444467e-10,0.195034275951406,0.999993849261914,3.77208874469409e-08,0.00151439085824885,5.23042939422176e-54,7.5876297992542e-05,4.29850798251737e-10,1.05264442123305e-16,0.0521921165487637,0.999999135051081,0.185297828576682,1.61357477168243e-09,1.13970182690764e-15,0.00078559809411826,0.50922349829025,4.87100308272072e-17,0.600453670699684,1.43698850665554e-75,9.33979132686712e-08,2.92086007664977e-16,0.0863637392217898,0.00323813908958279,0.242379422570493,8.20512680035967e-05,1.11716765783821e-21
"XISTint4","XIST_int4_2919_4516","HNRNPK;HNRNPU;DDX42;DROSHA;ILF3","1;1;1;1;1","0.999999999992549;1;1;1;1",0,"687.9125;224.6321;39.2311;38.9086;36.5675","29.2588;10.2277;2.6116;2.5983;2.5022",27435,3287,386,1,1,1,0.999999999318442,1,1,1,1,1,1,1,0.999971777091932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.2037704535064e-191,1,1,7.78508934069671e-177,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999999999,1,1,0.999999999992549,4.68552754300564e-197,2.25693269191744e-08,1,1,0.969676463035209,1,1,0.00943695397144189,0,1,1,0.999995928684853,1,0,1,1,1,1,1,1,1,1,1,1,0.999999913137496,1,1,1,1,1,2.98960080796397e-15,1,0.88467095708876,1,1.85176186411601e-95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999999936,1,1,1,1,1,1,1,1,1,1,1,1,0.0202401051984691,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"XISTint5","XIST_int5_4516_6113","HNRNPU;HNRNPK;LIN28B;HNRNPL;HNRNPA1","1;1;1;2.74739007742977e-193;1","1;0.999981423983668;0.995159199703831;5.49478015485954e-194;1",0.2,"173.9745;123.8782;108.0825;55.7087;54.2986","8.5213;6.3555;5.6726;3.4084;3.3474",20255,2972,439,1,1,1,1,1,1,1,1,1,1,1,0.785727138182574,1,1,1,1,0.999999999999993,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,5.12792890383023e-47,1,1,1,1,1,1,1,1,1,1,0.99999999999987,1,1,1,1,1,0.999981423983668,5.49478015485954e-194,0.999999973686247,1,1,0.449618368663076,1,1,0.0681337354777504,0,1,1,0.995159199703831,1,1.27668176665797e-273,1,1,1,1,1,1,1,1,1,1,0.999997877531521,1,1,1,1,1,5.6620279537221e-43,1,0.000649604049630199,1,3.78243567276376e-97,1,1,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999951394,1,1,1,1,1,1,1,1,0.999999955127688,1,1,0.999999999999324,2.72113811164557e-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"XISTrD","XIST_rD_6113_8140","HNRNPK;HNRNPU;DDX42;HNRNPL;HNRNPA1","1.88911292654838e-58;0.999888379727325;0.306466780212417;4.8478996526757e-13;0.999888379727325","3.77822585309676e-59;0.999888379727325;0.18388006812745;1.93915986107028e-13;0.999868379896032",0.4,"1372.0742;274.1589;132.548;117.404;69.279","47.4764;10.2866;5.4898;4.9768;3.3467",1299,964,258,0.0733174882348123,2.70943747446697e-05,0.0950223692902041,6.4128074556739e-06,1.90721476008634e-05,0.000176639263462498,0.0026354399984418,0.0662313469911108,0.0594460372767619,0.100964769872599,0.83051461638763,0.996768436357953,0.707004089965525,1.24246724343003e-08,1.01895298462903e-05,0.418272542508478,0.109003273653655,0.609840978215476,0.18388006812745,0.703562006545783,5.84665926962217e-09,0.00379927581133902,1.16890974073324e-05,0.0154390829159884,0.398782374868077,2.44637781865263e-06,3.92176114344615e-05,9.61526506512896e-05,0.00166886121428037,0.629362570754102,0.420289416445157,0.120636126467121,2.51059193487583e-10,6.08684141259169e-12,0.99942628260428,0.0183568377656314,0.928658333202196,0.658191217883799,0.0184203171766318,0.990647741448569,0.418735623208566,0.890444040214692,0.925937195197468,0.098573969013557,0.0428302183175829,0.00206231530898601,0.00750107423510067,0.916066515498512,0.999879144514684,0.985098434647559,1.92203808862871e-08,0.999999942420274,0.999868379896032,0.999999999999999,3.77822585309676e-59,1.93915986107028e-13,0.282820258972844,0.231267021633192,0.999888379727325,2.28645015102016e-09,0.0131228411826225,7.97265624789685e-10,0.999999999999866,0.325920134037541,0.999988360762567,0.0663586117254868,0.996915843209132,0.183531223718007,1.31717840835573e-13,0.00937372743960501,0.0220237789208784,0.999993655307385,1.10122764972547e-06,0.514836183146556,0.0284648204429734,0.195842122545474,0.738551906691994,2.53271470030585e-05,0.132851756711976,0.771937074143239,0.176738920765598,3.01203887354361e-15,0.00526069564419658,0.999921191037322,0.557063659731677,1.56833581947213e-18,0.732569001103873,0.577070152665372,0.0379970228844061,0.0442434959719461,0.020582619268022,0.786494073084818,0.99280371653357,0.999987147067116,0.65735126654633,0.222570233746463,0.795137950553424,0.00870508992218187,0.962593275743412,0.999999999998868,0.998823674557591,0.323070154692903,0.221279814665924,0.203591118289816,0.18715995313805,0.647916597259756,0.0226159581078826,0.15680269780684,0.433655038356576,0.153983530196162,0.270616644790114,0.00012704713940262,0.000973468131447624,0.922930598337803,0.434912567481159,0.999823903423384,3.07646417846028e-25,0.300311740483696,0.0476716837651867,0.973257268757608,0.0405758913153194,0.0826044906512644,0.000721565430838415,0.987221875075231,0.00227499118603998,0.13050103668886,0.135006189185553,0.639917804224611,0.719345085051728,0.000931734845028946,0.978973272907006,0.000101826385192715,0.0892555138904073,0.22224674763212,0.992231095434926,0.039799185481791,0.98002057106781,0.987531699270288,0.000119319623120892
