seqName,NEAT1chk1_tuc0.01,NEAT1chk1116_tuc0.01,NEAT1chk22_tuc0.01,NEAT1chk910_tuc0.01,gene_type
AARS1_chr16_70251983_70289707_-_ENSG00000090861.17_ENSG00000090861.17.unspliced,971,2125,614,1098,protein_coding
ABCA3_chr16_2275881_2340746_-_ENSG00000167972.14_ENSG00000167972.14.unspliced,12184,4214,7056,2922,protein_coding
ABO_chr9_133233278_133276024_-_ENSG00000175164.16_ENSG00000175164.16.unspliced,8372,8773,5271,7119,protein_coding
ACAA1_chr3_38103129_38137242_-_ENSG00000060971.19_ENSG00000060971.19.unspliced,5484,3031,4041,2411,protein_coding
ACTN4_chr19_38647649_38731589_+_ENSG00000130402.14_ENSG00000130402.14.unspliced,11995,3357,8360,1305,protein_coding
ACVR2B_chr3_38453890_38493142_+_ENSG00000114739.14_ENSG00000114739.14.unspliced,5386,10952,3319,10968,protein_coding
ADAMTS14_chr10_70672506_70762441_+_ENSG00000138316.11_ENSG00000138316.11.unspliced,17228,3140,6229,2564,protein_coding
ADCY7_chr16_50246137_50318135_+_ENSG00000121281.13_ENSG00000121281.13.unspliced,21763,6501,15145,4489,protein_coding
AEN_chr15_88621337_88632281_+_ENSG00000181026.15_ENSG00000181026.15.unspliced,1283,346,1128,1258,protein_coding
AGAP3_chr7_151085831_151144436_+_ENSG00000133612.20_ENSG00000133612.20.unspliced,24152,1078,10638,478,protein_coding
AGO2_chr8_140520156_140635633_-_ENSG00000123908.12_ENSG00000123908.12.unspliced,21403,16491,14428,12689,protein_coding
AGPAT3_chr21_43865223_43987592_+_ENSG00000160216.21_ENSG00000160216.21.unspliced,20147,13843,5931,13363,protein_coding
AKAP8L_chr19_15380050_15419141_-_ENSG00000011243.19_ENSG00000011243.19.unspliced,5631,6442,2275,5260,protein_coding
AKT2_chr19_40230317_40285536_-_ENSG00000105221.18_ENSG00000105221.18.unspliced,18327,5266,6806,5434,protein_coding
ANK1_chr8_41653220_41896741_-_ENSG00000029534.22_ENSG00000029534.22.unspliced,28843,20717,10025,13081,protein_coding
ANKMY1_chr2_240479422_240569209_-_ENSG00000144504.16_ENSG00000144504.16.unspliced,20084,18128,11192,12011,protein_coding
ANKRD11_chr16_89267619_89490561_-_ENSG00000167522.18_ENSG00000167522.18.unspliced,33956,21073,8339,20377,protein_coding
ANKRD13D_chr11_67289300_67302485_+_ENSG00000172932.16_ENSG00000172932.16.unspliced,2115,4309,539,3598,protein_coding
ANKRD23_chr2_96824526_96857934_-_ENSG00000163126.15_ENSG00000163126.15.unspliced,6576,1856,2161,1178,protein_coding
ANKS3_chr16_4696510_4734378_-_ENSG00000168096.15_ENSG00000168096.15.unspliced,6535,4552,2010,5670,protein_coding
ANXA11_chr10_80150889_80205572_-_ENSG00000122359.18_ENSG00000122359.18.unspliced,6799,6602,2254,7268,protein_coding
AP1B1_chr22_29327680_29388583_-_ENSG00000100280.17_ENSG00000100280.17.unspliced,6231,3660,5219,778,protein_coding
AP3D1_chr19_2100988_2164468_-_ENSG00000065000.20_ENSG00000065000.20.unspliced,22778,1968,15015,647,protein_coding
ARMC6_chr19_19033575_19060311_+_ENSG00000105676.14_ENSG00000105676.14.unspliced,2809,2888,3348,3546,protein_coding
ARPC4-TTLL3_chr3_9793082_9835401_+_ENSG00000250151.9_ENSG00000250151.9.unspliced,3010,1741,2156,2304,protein_coding
ARVCF_chr22_19969896_20016823_-_ENSG00000099889.14_ENSG00000099889.14.unspliced,19338,3108,15495,4499,protein_coding
ASB1_chr2_238426742_238452250_+_ENSG00000065802.12_ENSG00000065802.12.unspliced,2015,7946,706,8312,protein_coding
ASPH_chr8_61500556_61714640_-_ENSG00000198363.18_ENSG00000198363.18.unspliced,1141,133406,797,139179,protein_coding
ATAD3A_chr1_1512162_1534685_+_ENSG00000197785.14_ENSG00000197785.14.unspliced,10474,1114,5137,480,protein_coding
