query,length,lenmin,lenmax
XISTrA,427,100,1800
XISTrF,1064,200,6000
XISTrB1,90,25,800
XISTrB2,138,25,1000
XISTrD,2027,200,6000
XISTrE,664,150,2800
XISTint1,316,75,1500
XISTint2,144,25,1000
XISTint3,740,185,3000
XISTint9,580,145,2500
rest,1500,200,6000
