"g1_geneID","g1_chr","g1_start","g1_end","g1_width","g1_strand","g1_geneType","g1_geneName","cor_r","g2_geneID","g2_chr","g2_start","g2_end","g2_width","g2_strand","g2_geneType","g2_geneName","distance","transcript","XIST_r","XIST_perct"
"ENSG00000149313.11","chr11",106075501,106098699,23199,"+","protein_coding","AASDHPPT",0.832063235027558,"ENSG00000170903.12","chr11",105995623,106022403,26781,"-","protein_coding","MSANTD4",-79878,"AASDHPPT_chr11_106075501_106098699_+_ENSG00000149313.11_ENSG00000149313.11.unspliced",0.254215483480585,85.2588996763754
"ENSG00000149313.11","chr11",106075501,106098699,23199,"+","protein_coding","AASDHPPT",1,"ENSG00000149313.11","chr11",106075501,106098699,23199,"+","protein_coding","AASDHPPT",0,"AASDHPPT_chr11_106075501_106098699_+_ENSG00000149313.11_ENSG00000149313.11.unspliced",0.254215483480585,85.2588996763754
"ENSG00000204427.12","chr6",31686955,31703356,16402,"-","protein_coding","ABHD16A",0.74041238066045,"ENSG00000206344.9","chr6",31197715,31211696,13982,"+","lncRNA","HCG27",491660,"ABHD16A_chr6_31686955_31703356_-_ENSG00000204427.12_ENSG00000204427.12.unspliced",0.190281023478705,70.1294498381877
"ENSG00000204427.12","chr6",31686955,31703356,16402,"-","protein_coding","ABHD16A",0.841405618649947,"ENSG00000204525.18","chr6",31268749,31272130,3382,"-","protein_coding","HLA-C",431226,"ABHD16A_chr6_31686955_31703356_-_ENSG00000204427.12_ENSG00000204427.12.unspliced",0.190281023478705,70.1294498381877
"ENSG00000204427.12","chr6",31686955,31703356,16402,"-","protein_coding","ABHD16A",0.568254847429271,"ENSG00000288813.2","chr6",31271396,31272869,1474,"+","lncRNA","ENSG00000288813",430487,"ABHD16A_chr6_31686955_31703356_-_ENSG00000204427.12_ENSG00000204427.12.unspliced",0.190281023478705,70.1294498381877
"ENSG00000204427.12","chr6",31686955,31703356,16402,"-","protein_coding","ABHD16A",0.411780397801418,"ENSG00000214892.4","chr6",31275572,31278754,3183,"+","processed_pseudogene","USP8P1",424602,"ABHD16A_chr6_31686955_31703356_-_ENSG00000204427.12_ENSG00000204427.12.unspliced",0.190281023478705,70.1294498381877
"ENSG00000204427.12","chr6",31686955,31703356,16402,"-","protein_coding","ABHD16A",0.832521945706535,"ENSG00000234745.14","chr6",31353872,31367067,13196,"-","protein_coding","HLA-B",336289,"ABHD16A_chr6_31686955_31703356_-_ENSG00000204427.12_ENSG00000204427.12.unspliced",0.190281023478705,70.1294498381877
"ENSG00000204427.12","chr6",31686955,31703356,16402,"-","protein_coding","ABHD16A",0.310343430370986,"ENSG00000277402.1","chr6",31355224,31355316,93,"-","miRNA","MIR6891",348040,"ABHD16A_chr6_31686955_31703356_-_ENSG00000204427.12_ENSG00000204427.12.unspliced",0.190281023478705,70.1294498381877
"ENSG00000204427.12","chr6",31686955,31703356,16402,"-","protein_coding","ABHD16A",0.425332952357004,"ENSG00000285647.2","chr6",31356506,31376268,19763,"+","lncRNA","ENSG00000285647",327088,"ABHD16A_chr6_31686955_31703356_-_ENSG00000204427.12_ENSG00000204427.12.unspliced",0.190281023478705,70.1294498381877
"ENSG00000204427.12","chr6",31686955,31703356,16402,"-","protein_coding","ABHD16A",0.402611260692318,"ENSG00000271581.1","chr6",31356647,31357637,991,"+","transcribed_unprocessed_pseudogene","ENSG00000271581",345719,"ABHD16A_chr6_31686955_31703356_-_ENSG00000204427.12_ENSG00000204427.12.unspliced",0.190281023478705,70.1294498381877
"ENSG00000204427.12","chr6",31686955,31703356,16402,"-","protein_coding","ABHD16A",0.365801815741251,"ENSG00000293281.1","chr6",31360865,31367354,6490,"-","lncRNA","ENSG00000293281",336002,"ABHD16A_chr6_31686955_31703356_-_ENSG00000204427.12_ENSG00000204427.12.unspliced",0.190281023478705,70.1294498381877
